id,eng__001,eng__002,eng__003,eng__004,eng__005,afr__001,afr__002,afr__003,afr__004,zul__001,zul__002,zul__003,zul__004,xho__001,xho__002,xho__003,xho__004,xho__005,ssw__001,ssw__002,ssw__003,ssw__004,ssw__005,nde__001,nde__002,nde__003,nde__004,tsn__001,tsn__002,tsn__003,tsn__004,tsn__005,tsn__006,nso__001,nso__002,nso__003,nso__004,nso__005,nso__006,sot__001,sot__002,sot__003,ven__001,ven__002,ven__003,tso__001,tso__002,tso__003
dsac_multi_ict_00097,sender,,,,,afsender,,,,umthumeli,,,,umthumeli,umntu oposayo,,,,umtfumeli,,,,,umthumeliposo,,,,moromedi,,,,,,moromedi,,,,,,moromedi,,,mumurumeli,,,murhumeri,,
dsac_multi_ict_00098,server,,,,,bediener,,,,inhlokosiqoqelalwazi yohleloxhumano,iseva,,,ikhompyutha engundoqo wothungelwano,iseva,,,,ingunguluchumano,iseva,,,,isithwalithungelelwano,iseva,,,sefara,khomphiuthatheo,,,,,sebara,sevara,sekgokaganyadikhomphyutha,sekgokaganyadikhomphiutha,,,sefepedi,,,seva,,,xiphamela-tikhomphyuta,,
dsac_multi_ict_00099,signal n.,,,,,sein,,,,isizwambiko,,,,umqondiso wonxibelelwano,,,,,isiginali,,,,,isizwambiko,,,,setsibosi,,,,,,temoši,,,,,,leqhubu,,,signaḽa,,,mpfumawulo,,
dsac_multi_ict_00100,signal distribution,,,,,seindistribusie,,,,ukusakazwa kwesizwambiko,,,,uhambiso lomqondiso wonxibelelwano,,,,,sisabalalisi sesiginali,,,,,ukukhanjiswa kwesizwambiko,,,,phetisatsibosi,,,,,,phatlalatšo ya temoši,,,,,,kabo ya maqhubu,,,phaḓaladzo ya signaḽa,,,vuhangalasa-mpfumawulo,,
dsac_multi_ict_00101,smart card,,,,,slimkaart,knapkaart,,,ikhadimininingwane,,,,ikhadi lonaniselwano,,,,,simathikhadi,likhadimahlakaniphane,,,,ikaradamininingwana,,,,sehunolameraba,karatakgwebisano,,,,,karataselotatshedimošo,smatekhate,,,,,semate khate,,,garaṱa ya simathi,simathikhadi,,khadi,karata,
dsac_multi_ict_00102,SMS,short messaging service,short message service,,,SMS,kortboodskapdiens,,,uhlelombiko olufinyeziwe,i-sms,,,imbalelwano ngeselula,imbalelwano ngomafumaneka naphi,imbalelwano ngomathunyw’asabele,imbalelwano ngeselfowuni,iSMS,i-SMS,,,,,umlayezorhunyezo,i-SMS,,,tirelo ya melaetsakhutshwe,SMS,,,,,tirelo ya melaetšakopana,,,,,,tshebeletso ya molaetsa o mokgutshwanyane,sms,tswibila,tshumelo ya mulaedza mupfufhi,SMS,,SMS,,
dsac_multi_ict_00103,software,,,,,programme,programmatuur,sagteware,,uhlelokusebenza lwesiqoqelalwazi,isofthiwe,,,iiprogram zekhompyutha,,,,,luhlelokusebenta,,,,,ingaphakathimtjhiningqondo,,,,didiriswanolo {khomphiutha},dikarolofefo,,,,,mananeotirišo a khomphyutha,mananeotirišo a khomphiutha,,,,,dinolo,,,softhiwee,,,sofutiwere,,
dsac_multi_ict_00104,sound card,,,,,klankkaart,,,,ikhadimsindo lesiqoqelalwazi,,,,ikhadi lesandi,,,,,likhadimsindvo,,,,,ikaradamdumo,,,,karatasedumisi,,,,,,karatamodumo ya khomphyuthara,karatamodumo ya khomphiuthara,saontekhate,,,,karete ya medumo,,,garaṱa ya mubvumo,,,khadi ra mpfumawulo,,
dsac_multi_ict_00105,stakeholder,,,,,belanghebbende,,,,obambiqhaza,,,,umntu onomdla ochaphazelekayo,iqela elinomdla elichaphazelekayo,,,,umhlanganyeli,bahlanganyeli,umbambichaza,,,umhlanganyeli,,,,moamegi,monnaleseabe,,,,,moamegi,,,,,,mothahaselli,,,mushelamulenzhe,,,mukhumbeki,,
dsac_multi_ict_00106,tariff,,,,,tarief,,,,inkokhelo emisiwe,,,,imali ehlawulelwa inkonzo,irhafu yenkonzo,,,,linani lelibekiwe,,,,,imbadelo ebekiweko,,,,kelotefo,,,,,,tefelotirelo,tharifi,,,,,tharifi,tefello,,mbadelotiwa,ndifhotiwa,,hakelo,,
dsac_multi_ict_00107,technology,,,,,tegnologie,,,,ubuchwepheshe,,,,ubuchwepheshe,iteknoloji,,,,buchwepheshe,ithekhinoloji,,,,ithekhinoloji,,,,thekenoloji,,,,,,theknolotši,,,,,,theknoloji,,,thekhnoḽodzhi,,,thekinoloji,,
dsac_multi_ict_00108,telecommunications,,,,,telekommunikasiewese,,,,ezokuxhumana ngezingcingo,,,,unxibelelwano ngefowuni,unxibelelwano ngemfonomfono,unxibelelwano ngomnxeba,,,tekuchumanisana,,,,,ithintaniswanoliqha,,,,tlhaeletsanokgakala,,,,,,dikgokaganokgole,thelekhomiunikheišene,thelekhomyunikheišene,,,,dikgokahano tsa mehala,,,vhudavhidzanikule,vhudavhidzani ha kule,,vutihlanganisi {hi swihlanganiswa},,
dsac_multi_ict_00109,telemedicine,,,,,telemedisyne,,,,ukwelapha ngobuchwepheshe bezokuxhumana,,,,unxibelelwano kwezonyango,,,,,luchumanokwelapha,,,,,ukwelapha ngethintaniswanoliqha,,,,kalafitlhaeletsano,,,,,,kgokaganyokalafikgole,thelemedisene,,,,,kalafo ka mohala,,,dzilafho nga vhudavhidzani,,,vutshunguri hi swa vutihlanganisi,,
dsac_multi_ict_00110,television,TV,,,,televisie,TV,,,isiteshi sikamabonakude,,,,umabonakude,,,,,mabonakhashane,mabonekudzeni,ithelevishini,,,irherhomabonwakude,,,,tlhagisotshwantsho,,,,,,thelebišene,thelevišese,,,,,thelevishene,TV,,theḽevishini,TV,,thelevhixini,TV,
dsac_multi_ict_00111,television,television set,TV set,television,,televisie,TV,televisiestel,TV-stel,umabonakude,,,,umabonakude,,,,,mabonakhashane,mabonekudzeni,ithelevishini,i-TV,,ithelevitjhini,umabonwakude,,,thelebišene,,,,,,thelebišene,thelevišene,,,,,thelevishene,,,sethe ya theḽevishini,,,thelevhixini,,
dsac_multi_ict_00112,television licence,TV licence,,,,televisielisensie,TV-lisensie,,,ilayisense kamabonakude,,,,ilayisenisi kamabonakude,iphepha-mvume likamabonakude,ilaysensi kamabonakude,,,ilayisensi yethelevishini,,,,,ilayisensi yethelevitjhini,ilayisensi kamabonwakude,,,tshupatetla ya thelebišene,laesense ya thelebišene,,,,,laesense ya thelebišene,laesense ya thelevišene,laesentshe ya thelebišene,laesentshe ya thelevišene,,,laesense ya thelevishene,,,ḽaisentsi ya theḽevishini,,,layisense ya thelevhixini,,
dsac_multi_ict_00113,transmit,,,,,send,,,,ukusakaza,,,,ukuthumela,ukugqithisa,ukuhambisa,ukudlulisa,,sabalalisa,,,,,rhatjha,,,,gasa,,,,,,gaša,romela,phatlalatša,,,,hasa,,,rathisa,,,haxa,fambisa,
dsac_multi_ict_00114,troubleshooting,,,,,foutopsporing,foutsporing,,,ukuthungatha inkinga {kusiqoqelilwazi},,,,ukuphanda inkathazo,ukufumanisa ingxaki,ukukhangela ingxaki,,,kutfungatsa inkinga,,,,,ukuzunywa bulungiswa kwemitjhapho,,,,tshekatshekotshiamiso,,,,,,go nyakišiša le go phošolla,,,,,,ditokiso,,,vhulugisi,,,ndzulamiso-xitironiki,,
dsac_multi_ict_00115,video,,,,,video,,,,ukuqoshwa kwesithombe sevidiyo,,,,isishicileli-miboniso,,,,,ividiyo,,,,,ividiyo,,,,kgatisotshwantsho,,,,,,kgatišo ya medumo le ditshwantšho,,,,,,vidiyo,,,u dzhia vidio,,,vhidiyo,,
dsac_multi_ict_00116,video cassette recorder,VCR,video recorder,video cassette player,video,videomasjien,,,,isiqophamakhasethi sevidiyo,,,,umatshini wevidiyo,,,,,sidlali makhasethi e-vidiyo,sidlali ma-VCR,umshini wevidiyo,i-VCR,,isibonisisidlalisimdumo,i-VCR,isigadangisi sevidiyokhasede,,kgatisatshwantsho,setshwantshikgatisi,,,,,seralokakhasete ya bidio,seralokakhasete ya vidio,sebapalakhasete ya vidio,seralokakhasete ya vidio,segatišadikhasete tša vidio,,motjhini wa vidiyo,,,VCR,tshirekhodavidio,tshitambavidio,muchini wa vhidiyo,,
dsac_multi_ict_00117,video tape,video cassette,,,,videoband,videokasset,,,ikhasethi yevidiyo,,,,itheyipu yomboniso,ikhasethi yevidiyo,ividiyo,,,ithephu yevidiyo,,,,,ividiyokhasede,,,,bideo theipi,theipi ya setshwantshikgatisi,,,,,khasete ya bidio,khasete ya bitio,khasete ya vidio,,,,vidiyokhasete,,,theiphi ya vidio,,,khasete ya vhidiyo,,
dsac_multi_ict_00118,virtual,,,,,virtueel,,,,isingamfanekiso sesiqoqelalwazi,,,,eqikelelwayo,ecingelwayo,ethekelelwayo,,,ngebuchwepheshemungcwi,,,,,-sabukhona,,,,setshwantshokgopolo,,,,,,sekaphelohlangwa ke khomphyutha,sekaphelohlangwa ke khomphiutha,,,,,sekannete,sethetsa,,tshiedziswa tsha kholekhole,,,xipfampfarhutwa {hi khomphyuta},,
dsac_multi_ict_00119,webmaster,,,,,webmeester,werfmeester,,,umlawuli wesizindalwazi,,,,ingcali kulawulo lweintanethi,,,,,umlawuliwebhu,,,,,usowebhusayidi,usobunzinzolwazi,,,mosefaramogolo,,,,,,molaodi wa sefepikgokanyi inthaneteng,wepmastara,,,,,molaodi wa inthanete,,,rawebe,,,n’wa-webusayiti,,
dsac_multi_ict_00120,web page,,,,,webblad,,,,ikhasi lesizindalwazi,,,,iphepha elikwi-intanethi,,,,,likhasiwebhu,,,,,ikhasi lobunzinzolwazi,ikhasi lewebhusayidi,,,tsebe ya inthanete,,,,,,letlakala la inthanete,webpheitši,weppheitši,,,,leqephe la inthanete,,,siaṱari ḽa webe,,,pheji ra webusayiti,,
dsac_multi_ict_00121,website,,,,,webwerf,webruimte,webtuiste,,isizindalwazi,,,,iwebhusayithi,isiza solwazi,isiza seintanethi,,,iwebhusayithi,,,,,ubunzinzolwazi,iwebhusayidi,,,setsha sa inthanete,webesaete,,,,,setsha sa inthanete,websaete,wepsaete,,,,setsha sa inthanete,,,websaithi,,,webusayiti,,
dsac_multi_ict_00122,wide area network,WAN,,,,wyeareanetwerk,WAN,,,uhleloxhumano olusabalele,uhleloxhumano olumgamubanzi,,,isitishi samaza selizwe lonke,,,,,luhlelochumano lolumgamubanti,i-WAN,,,,ithungelelwanothintano elibanzi,i-WAN,,,kgokaganokatologano,,,,,,kgokagano ye e nabilego,netweke ye e nabilego,,,,,marangrang a phatlalletseng,,,WAN,vhuṱumanyi ha mupo ho ṱanḓavhuwaho,,WENE,vuhlanganisi bya tikhomphyuta hi ku anama,ntirhisano wa tikhomphyuta hi ku anama
dsac_multi_ict_00123,wireless,,,,,draadloos,,,,ukuxhumana okungenantambo,,,,unxibelelwano kungasetyenziswa zintambo,unxibelelwano olungenazintambo,unxibelelwano olungenazingcingo,,,iwayilesi,,,,,ukurhatjha ngezizwambiko,,,,tlhaeletsanokhubu,tlhaeletsano ka radio,,,,,kgašo ya maphoto,kgašo ya ntle le metato,,,,,mhlokathapo,,,khasho nga radio,waiḽese,radio,wayilese,,
dsac_multi_ict_00124,wireless application protocol,WAP,,,,draadloseapplikasie-protokol,WAP,,,uhlelokusebenza lwezokuxhumana olungenantambo,,,,iprogram yekhompyutha engasebenzisi zingcingo zonxibelelwano,iprogram yekhompyutha engasebenzisi zintambo zonxibelelwano,,,,i-WAP,luhlelokusebentisa lwetekuchumana,luhlelonchubo lwekusebenta kwewayilesi,,,i-WAP,ikghonakalisothintwano eline-inthanethi,,,thulaganotlhaeletsanokhubu,,,,,,lenaneotirišo la kgokagano ntle le metato,,,,,,metlaetutswe e se nang thapo,,,WAP,zwishumiswa zwoṱhe zwa waiḽese,,WEPE,,
dsac_multi_ict_00125,World Wide Web,WWW,,,,Wêreldwye Web,WWW,wêreldwye web,www,isizindalwazi sokuxhumana somhlaba jikelele,,,,uthungelwano lwehlabathi kwi-intanethi,i-WWW,,,,i-WWW,,,,,iWebhusayidi yePhasi Zombelele,ubuNzinzolwazi bePhasi Zombelele,,,inthanete ya lefatshe ka bophara,,,,,,kgokagano ya lefaselohle inthaneteng,,,,,,marangrang a phatlalletseng,www,,webe yo ṱanganyaho shango,,,www,Webe ya Misava Angarhelo,
