id,eng__001,eng__002,eng__003,eng__004,eng__005,afr__001,afr__002,afr__003,afr__004,zul__001,zul__002,zul__003,zul__004,xho__001,xho__002,xho__003,xho__004,xho__005,ssw__001,ssw__002,ssw__003,ssw__004,ssw__005,nde__001,nde__002,nde__003,nde__004,tsn__001,tsn__002,tsn__003,tsn__004,tsn__005,tsn__006,nso__001,nso__002,nso__003,nso__004,nso__005,nso__006,sot__001,sot__002,sot__003,ven__001,ven__002,ven__003,tso__001,tso__002,tso__003
dsac_multi_ict_00056,infrastructure,,,,,infrastruktuur,,,,ingqalasizinda {kwezokuxhumana},,,,izinxibelelanisi zeekhompyutha,,,,,sakhiwonchanti,,,,,umthangalasisekelo,,,,mafaratlhatlha,,,,,,lenaneokgoparara,,,,,,moralo wa theknoloji,moralo wa motheo,,themamveledziso ya vhuṱumanyi ya khomphyutha,,,switirhisiwa,,
dsac_multi_ict_00057,input n.,,,,,toevoer,inset,,,ulwazi olufakiwe,,,,iinkcukacha ezifakiweyo,,,,,lufuntolwati,,,,,okufakwako,ifakelo,,,setsenngwa,tshedimosetsotsenngwa,,,,,tshedimošo ka khomphyutheng,tshedimošo ka khomphiutheng,,,,,lehlahlelo,phepelo,,mafhungodzheniswa,zwiengedzwa,,xinghenisiwa,,
dsac_multi_ict_00058,input v.,,,,,toevoer,invoer,,,-faka ulwazi,,,,ukufaka iinkcukacha,,,,,funta lwati,,,,,faka,fakela,,,-tsenya tshedimosetso,,,,,,tsenya tshedimošo khomphyutheng,tsenya tshedimošo khomphiutheng,,,,,hlahlela,fepela,,-dzhenisa mafhungo,-engedza mafhungo,,nghenisa,,
dsac_multi_ict_00059,install,,,,,installeer,,,,-xhuma,-faka,,,ukufakela,,,,,faka,,,,,-faka,,,,gokela,tsenya,,,,,beakanya,hloma,,,,,kgwesa,kenya,,kwea,,,ku nghenisa,,
dsac_multi_ict_00060,installation,,,,,installering,installasie,,,ukuxhuma,ukufaka,,,ufakelo,,,,,kufaka,,,,,ukufaka,,,,kgokelo,tsenyo,,,,,go beakanya,go hloma,,,,,kgweso,ho kenya,,u kwea,khweo,,ngheniso,,
dsac_multi_ict_00061,interactive,,,,,interaktief,,,,uxhumanokwamukelana,uxhumanonanelwano,,,ezinxibelelanayo,,,,,luchumano lolundlelambili,,,,,kwethintanonikelwano,,,,tshedimosetsano,,,,,,kgokagano,,,,,,tshebeletsano,,,fhindulana na,,,ntirhisano,,
dsac_multi_ict_00062,Internet,,,,,Internet,internet,,,uhleloxhumano lomhlaba,i-intanethi,,,i-intanethi,,,,,i-inthanethi,,,,,ithungelelwanohlanganiso,i-inthanethi,,,Inthanete,,,,,,inthanete,,,,,,inthanete,,,inthanethe,,,inthanete,,
dsac_multi_ict_00063,internet café,cyber café,,,,internetkafee,kuberkafee,netkafee,,ingosihwebo ngohleloxhumano,,,,ikhefi yeintanethi,,,,,likhefi le-inthanethi,,,,,isitodlwana sethungelelwanohlanganiso,,,,borekisetsointhanete,,,,,,khefi ya inthanete,,,,,,khefi ya inthanete,,,khefi ya inthanethe,,,khefi ya inthanete,,
dsac_multi_ict_00064,intranet,,,,,intranet,binnenet,,,uhleloxhumano lwangaphakathi,,,,uthungelwano ngaphakathi,i-intranethi,,,,i-inthranethi,,,,,ithungelelwanohlanganiso langekhaya,i-inthranethi,,,interanete,,,,,,inthranete,,,,,,intranete,,,inthranethe,,,inthiranete,,
dsac_multi_ict_00065,landline,,,,,landlyn,,,,ucingo lwasendlini,ucingo lwamakhebuli,,,ucingo lonxibelelwano,ifowuni yasendlini,,,,intsambo yekuchumana,,,,,umtato onzinzileko,,,,mogalafatshe,,,,,,motato wa ka ntlong,mogala wa ka ntlong,,,,,mohala wa fatshe,,,ḽaini ya luṱingo,ḽendiḽaini,,rinqingho ra le ndlwini,riqingho ra le ndlwini,
dsac_multi_ict_00066,laptop,,,,,skootrekenaar,,,,isiqoqelalwazi esiphathekayo,isiqoqelalwazi esingabekwa emathangeni,umathangeni,,ikhompyutha ephathwayo,,,,,matsangeni,,,,,umtjhiningqondo ophathwako,,,,khomphiuthafarwa,lepothopo,,,,,lepthopo,,,,,,lepthopo,,,khomphyuthakhwalwa,ḽepithopho,,xixingiwa,,
