id,eng__001,eng__002,eng__003,afr__001,afr__002,afr__003,zul__001,zul__002,zul__003,zul__004,xho__001,xho__002,xho__003,xho__004,xho__005,xho__006,ssw__001,ssw__002,ssw__003,ssw__004,nde__001,nde__002,nde__003
dsac_ns_nguni_00628,direct sunlight,,,direkte sonlig,,,ukuhla,,,,ilanga,elangeni,,,,,kukhanja ngco kwelilanga,,,,umkhanyo welanga obunqopha,,
dsac_ns_nguni_00629,disc,disk <US>,,skyf,,,ucwephendilinga,idiskhi,,,icwecwe,,,,,,idiski,,,,idiski,,
dsac_ns_nguni_00630,disc floret,disk floret,,skyfblommetjie,,,umucu wembali,,,,iintyatyanjana zentyatyambo,,,,,,idiskiflorethi,,,,ithuthumbo elidarhileko,,
dsac_ns_nguni_00631,disease,,,siekte,,,isifo,,,,isifo,,,,,,sifo,,,,ubulwelwe,ukugula,
dsac_ns_nguni_00632,disinfectant,,,ontsmetmiddel,,,isibulalimagciwane,,,,isibulala ntsholongwane,,,,,,sibulalimagciwane,,,,isibulalambewu yobulwelwe,,
dsac_ns_nguni_00633,disintegrate,,,disintegreer,,,-hlakaza,-khumuza,-cozulula,,ukudiliza,ukudilika,,,,,hlukanisa,hlakata,,,phadlha,tshurha,
dsac_ns_nguni_00634,disintegration,,,disintegrasie,,,ukuhlakaza,ukukhumuzeka,,,ukudiliza,ukudilika,,,,,kuhlakata,,,,ukuphadlha,ukutshurha,
dsac_ns_nguni_00635,dispense v.,,,resepteer,,,-aba,-nikeza,-khipha,,ukunika amayeza,ukukhupha amayeza,,,,,nika umutsi,,,,phuthelisa,,
dsac_ns_nguni_00636,disperse,,,verstrooi,,,-sakaza,-hlakaza,,,sasaza,ukuchitheka,,,,,kuhlakaka,kusakateka,,,rhatjha,rhatjheka,
dsac_ns_nguni_00637,displace,,,verplaas,,,-gudluza,,,,shenxisa,beka endaweni ya,,,,,kutsatsa indzawo,kuvala,,,ngenela,,
dsac_ns_nguni_00638,dissolve v.,,,oplos,,,-ncibilikisa,-ncibikalisa,,,nyibilikisa,,,,,,ncibilika,,,,ncibilika,,
dsac_ns_nguni_00639,distance,,,afstand,,,ibanga,,,,umgama,,,,,,libanga,,,,ibanga,ubude,
dsac_ns_nguni_00640,distillation,,,distillasie,,,ukuthonsisa,ukuconsisa,ukujulukisa,,ucoco-manzi,,,,,,kucenga ngekubilisa,kuhluta ngekubilisa,,,idistiletjhini,itjhubisomrhwamuko,
dsac_ns_nguni_00641,distilled water,,,gedistilleerde water,,,amanzi amsulwa,,,,amanzi acociweyo,,,,,,emanti lahlotjisiwe ngekubiliswa,,,,amanzi wetjhubisomrhwamuko,,
dsac_ns_nguni_00642,distilling flask,,,distilleerfles,,,ibhodlela lokujulukisa,,,,iflaski ecocayo,,,,,,libhodlela lekuhluta ngekubilisa,,,,itjhethe elitjhubisa umrhwamuko,,
dsac_ns_nguni_00643,divide,,,verdeel,,,-hlukanisa,,,,ahlula,,,,,,hlukanisa,,,,-ahlukanisa,,
dsac_ns_nguni_00644,dividers,,,verdeelpasser,,,isilinganisomdwebo,,,,idivayida,,,,,,silinganisimdvwebo,,,,isasasilinganisi,,
dsac_ns_nguni_00645,division,,,verdeling,,,ukwehlukanisa,,,,ulwahlulo,ukwahlula,,,,,kwehlukanisa,,,,ukuhlukanisa,,
dsac_ns_nguni_00646,3-D object,three-dimensional object,,3-D-voorwerp,driedimensionele voorwerp,,umontathu,isilinganisontathu,,,umacala mathathu,,,,,,simotsatfu,3 D,,,into ehlangothintathu,okuhlangothintathu,
dsac_ns_nguni_00647,domestic animal,,,huisdier,,,isilwane sasekhaya,imfuyo,,,isilwanyana sasekhaya,,,,,,sifuyo,silwane lesifuywako,,,ifuyo,,
dsac_ns_nguni_00648,domesticate,,,mak maak,,,-fuya,,,,ukuqhelisa,ukufuya,,,,,kutfobisa,,,,fuya,magisa,
dsac_ns_nguni_00649,donkey,,,donkie,,,imbongolo,,,,idonki,imbongolo,iesile,,,,imbongolo,,,,udumbana,idonki,
dsac_ns_nguni_00650,dove {birds},,,duif,,,ijuba,,,,ihobe,,,,,,lituba,,,,ijuba,izuba,
dsac_ns_nguni_00651,dowel,,,houtnael,klinkbout,,isihlanganisi sokhuni,,,,isikhonkwane somthi esingenantloko,,,,,,liphini lelukhuni,,,,idowela,isikhonkwani,
dsac_ns_nguni_00652,dowel stick,,,tappen,,,isikhonkwane sokuhlanganisa ukhuni,,,,induku,intonga,,,,,sikhonkhwane sekubamba,,,,intonga eyidowela,,
dsac_ns_nguni_00653,down n.,,,dons,,,amaqubu,,,,imbuphu,,,,,,sihluphe,,,,iinsibaboyana,,
dsac_ns_nguni_00654,download v. {computers},,,aflaai,,,-thwebula {ngokwesiqoqelilwazi},,,,khuphela,,,,,,tsatsela,,,,dlulisela,,
dsac_ns_nguni_00655,down-river adv.,,,stroomaf,,,ngokwewusa umfula,iya ezansi nomfula,ngokwehlisa ngomfula,,ngasechwebeni,ohla nomsinga,,,,,ngekulandzela umfula,,,,ngokwehla nomlambo,,
dsac_ns_nguni_00656,downwind,,,windaf,,,umoya owehlayo,,,,ngasemoyeni,,,,,,inkhombandlela yemoya,,,,-ya nomoya,,
dsac_ns_nguni_00657,downy adj.,,,sag,,,noboya,okumaqubu,,,enembuphu,,,,,,-sasihluphe,,,,-neensibaboyana,,
dsac_ns_nguni_00658,dragonfly,,,naaldekoker,,,ujekamanzi,,,,ugqamanzi,,,,,,jekamanti,,,,isiqobotjhelo,,
dsac_ns_nguni_00659,drain n.,,,riool,,,ipayipi lemfucuza,ipayipi lamanzi,,,umbhobho,,,,,,liphayiphi,umsele,,,idreyini,,
dsac_ns_nguni_00660,drainage,,,dreinering,,,uhlelo lokudonsa amanzi,uhlelo lokudonsa imfucuza,uhlelodonsamfucuza,uhlelodonsamanzi,umjelo wogutyulo,umbhobho wogutyulo,,,,,sikhipho,simunyo,,,irherho lokudreyina,,
dsac_ns_nguni_00661,draught n.,,,trek,,,ihelehele,umnyelele,,,umoya ohlabayo,umoya ongenayo,,,,,lihelehele,,,,iphephethomoya omakhaza,,
dsac_ns_nguni_00662,draw v.,,,teken,,,-dweba,,,,zoba,,,,,,dvweba,,,,thala,,
dsac_ns_nguni_00663,drill n.,,,boor,,,umshini wokubhola,ibhola,,,ibhola,ibhora,,,,,libhola,,,,ibhoro,,
dsac_ns_nguni_00664,drill bit,,,boorpunt,,,isiphehlo sebhola,,,,incam yebhola,incam yebhora,,,,,umshini welibhola,,,,isungulo lebhoro,,
dsac_ns_nguni_00665,drilling,,,boorwerk,,,ukubhola,,,,ukubhola,ukubhora,,,,,kubhola,,,,ukubhora,,
dsac_ns_nguni_00666,drinkable water,,,drinkbare water,,,amanzi aphuzekayo,amanzi angaphuzeka,,,amanzi aselwayo,,,,,,emanti lanatsekako,,,,amanzi adliwako,,
dsac_ns_nguni_00667,drive pulley,,,dryfkatrol,,,isonjwana lebhande,,,,isinyusi,ivili lesantya,,,,,iphuli,,,,ividlwana lebhandesikhambisipahla,,
dsac_ns_nguni_00668,driving belt,,,dryfband,,,isiphendulamasondo,,,,ibhanti lokuqhuba,,,,,,siphendvulasondvo,,,,ibhandesikhambisi,,
dsac_ns_nguni_00669,droop v.,,,afhang,,,-yenda,-lenga,,,jinga,,,,,,tebha,lenga,,,lembelela,,
dsac_ns_nguni_00670,drop n.,,,druppel,,,ithonsi,iconsi,,,ithontsi,ichaphaza,iqabaza,,,,litfonsi,,,,ithosi,,
dsac_ns_nguni_00671,drop v.,,,val,,,-iwa,,,,ukuhlela,ukuwisa,ukuhla,,,,ehla,-wa,,,-wisa,-ehlisa,
dsac_ns_nguni_00672,drop bottle,,,drupfles,,,ibhodlela eliconsisayo,,,,ibhotile yamaqabaza,ibhotile yamathontsi,ibhotile yamachaphaza,ibhotile yokuqabaza,ibhotile yokuchaphaza,ibhotile yokuthontsiza,sitfonsisi,,,,ibhodlelosithontisi,,
