id,eng__001,eng__002,eng__003,afr__001,afr__002,afr__003,zul__001,zul__002,zul__003,zul__004,xho__001,xho__002,xho__003,xho__004,xho__005,xho__006,ssw__001,ssw__002,ssw__003,ssw__004,nde__001,nde__002,nde__003
dsac_ns_nguni_00001,abdomen,,,abdomen,,,isisu,inxasisu,,,amanqe,amazants’esisu,,,,,sisu,,,,isisu,,
dsac_ns_nguni_00002,absorb,,,absorbeer,,,-munca,-donsa,-habula,,ukufunxa,ukutsala,,,,,munya,,,,ginya,munya,
dsac_ns_nguni_00003,absorption n.,,,absorbering,absorpsie,,ukumunca,ukudonsa,ukuhabula,,ufunxo,utsalo,,,,,kumunya,,,,ukuginya,ukumunya,
dsac_ns_nguni_00004,acacia,,,akasia,,,umkhambathi,umunga,,,iintlobo zeminga,,,,,,singa,,,,i-akhatjhiya,,
dsac_ns_nguni_00005,access n. {computers},,,toegang,,,okuvumeleka,ukukwazi ukungena,ukugunyazwa,ukufinyelela,ukungena kwikhompyutha,okuvula ikhompyutha,,,,,imvume,kutfola indlela,,,ilungelo,,
dsac_ns_nguni_00006,access v.,,,toegang verkry,,,-vumeleka,-ngena,-finyelela,-gunyaza,ukungena,okuvula,,,,,vumeleka,ngena,,,fikelela,,
dsac_ns_nguni_00007,accumulate,,,ophoop,akkumuleer,,-qongelela,-andisa,,,ukunyusa,ukukhulisa,,,,,congelela,butsela,,,buthelela,anda,
dsac_ns_nguni_00008,accumulator {battery},,,akkumulator,opgaarbattery,,isigcinamlilo,ilahle likagesi,,,ibhetri,isigcini-mbane,,,,,sicongeleli,sibutseligezi,,,isimumathimlilo,,
dsac_ns_nguni_00009,accumulator {computer},,,akkumulator,,,isigcinalwazi {isiqoqelilwazi},,,,isigcini-lwazi sekhompyutha,,,,,,sicongeleli,,,,isilulumbalo,,
dsac_ns_nguni_00010,accurate,,,akkuraat,noukeurig,,-ngqo,-nembayo,-shayakhona,,chanekile,,,,,,-nembako,,,,-nembako,,
dsac_ns_nguni_00011,acid n.,,,suur,,,uketshezi olushisayo,i-esidi,,,iasidi,,,,,,mamunywane,i-esidi,,,isidlavuzi,i-esidi,
dsac_ns_nguni_00012,acid rain,,,suurreën,,,imvula ene-esidi,,,,imvula eneasidi,,,,,,imvula lene-esidi,,,,izulusidlavuzi,,
dsac_ns_nguni_00013,acrylic paint,,,akrielverf,,,upende oxutshwa namanzi,upende osebenzisa amanzi,,,ipeyinti enesiseko esingamanzi engasukiyo,,,,,,ipendi yemanti,,,,ipende yamanzi,,
dsac_ns_nguni_00014,acrylic resin,,,akrielhars,,,ingxube yokwenza upulastiki,ingxube yokwenza ucwazi,inhlama yokwenza ucwazi,inhlama yokwenza upulastiki,intlaka yokwenza iplastiki,,,,,,i-akhrayiliki resini,,,,ikghomu yokuzenzela,,
dsac_ns_nguni_00015,additive,,,bymiddel,,,isinongo,,,,isinongi,,,,,,sinongo,,,,isinungo,,
dsac_ns_nguni_00016,adhesive,,,kleefmiddel,,,inomfi,,,,isincamathelisi,,,,,,sinamatselisi,,,,-namathiselako,inovu,
dsac_ns_nguni_00017,adventitious root,fibrous root,bushy root,bywortel,,,impandemxhantela,,,,ingcambu ehlakahlaka,,,,,,imphandzechakela,,,,umrabhu otantelako,umrabhu orarelako,
dsac_ns_nguni_00018,aeroplane,,,vliegtuig,,,ibhanoyi,indiza,,,inqwelomoya,,,,,,indizamshini,,,,isiphaphamtjhini,uflayi,
dsac_ns_nguni_00019,agent {e.g. chemical},,,agens,,,isiguquli,isididiyeli,,,isiguquli,,,,,,siguculi,sintjintjabunjalo,,,isenzisi,,
dsac_ns_nguni_00020,agricultural product,,,landbouproduk,,,umkhiqizo wezolimo,,,,imveliso yolimo,,,,,,umkhicito wetekulima,,,,ivezo lezokulima,,
dsac_ns_nguni_00021,agriculture,,,landbou,,,ezolimo,,,,ezolimo,ulimo,,,,,tekulima,,,,umsebenzi wokulima,,
dsac_ns_nguni_00022,air,,,lug,,,umoya,,,,umoya,,,,,,umoya,,,,ummoya,,
dsac_ns_nguni_00023,air bubble n.,bubble,,blasie,lugblasie,,igwebu,,,,iqamza,,,,,,ligwebu,,,,igwebu,,
dsac_ns_nguni_00024,air-conditioning,,,lugversorging,,,ukuhlehla komoya,ukulawulwa komoya,,,ulawulo-qondo lomoya,,,,,,kuntjintja umoya,,,,isithlodlhimmoya,,
dsac_ns_nguni_00025,aircraft,,,lugvaartuig,,,indizamshini,,,,inqwelomoya,inqwelontaka,,,,,incolamoya,,,,isiphaphamtjhini,uflayi,
dsac_ns_nguni_00026,air current,,,lugstroom,,,umsinga womoya,,,,umsinga-moya,,,,,,umsinga wemoya,,,,umsinga wommoya,,
dsac_ns_nguni_00027,air-cushion,,,lugkussing,,,isikhwama somoya,,,,umqamelo womoya,,,,,,sibambamoya,,,,isijamisi esisibambammoya,,
dsac_ns_nguni_00028,air drill,,,druklugboor,,,ibhola,isibholi,idrili,,isigqobhozi somoya,isembi somoya,,,,,libholamoya,,,,ibhoro yommoya,,
dsac_ns_nguni_00029,air flow,,,lugstroming,,,ukuheleza komoya,ukushweza komoya,,,ijelo lomoya,ukuhamba komoya,,,,,kuheleta kwemoya,,,,ukukhamba kommoya,,
dsac_ns_nguni_00030,air pollution,,,lugbesoedeling,,,ukungcola komoya,ukunukubezeka komoya,,,ungcoliseko lomoya,,,,,,kungcola kwemoya,kunukubeteka kwemoya,,,ukusilaphazeka kommoya,,
dsac_ns_nguni_00031,airport,,,lughawe,,,isikhumulo sezindiza,ishashalazi lendiza,,,isikhululo seenqwelomoya,,,,,,inkhundla yetindiza,sikhumulo setindiza,,,idoyelo leenkhwelommoya,,
dsac_ns_nguni_00032,air receiver {technology},,,lughouer,,,isigubhu somoya,,,,isamkeli-moya,,,,,,silondvolotamoya,,,,isimumathimmoya,,
dsac_ns_nguni_00033,air reservoir,,,lugreservoir,,,isigcinamoya,,,,isigcini-moya,,,,,,silulumoya,,,,isibulungimmoya,,
dsac_ns_nguni_00034,airtight adj.,,,lugdig,,,-ngangenimoya,,,,evingcela umoya,,,,,,valeke-ngci,,,,-ngavumeli mmoya,,
dsac_ns_nguni_00035,albatross,,,albatros,,,i-albhathrosi,,,,ingabangaba,,,,,,i-albhathrosi,,,,i-albatrosi,,
dsac_ns_nguni_00036,alcohol,,,alkohol,,,uketshezi oludakisayo,isidakisi,,,isinxilisi,,,,,,i-alkhoholi,,,,isiwumeli,i-alkhoholi,
dsac_ns_nguni_00037,alcoholic drink,,,alkoholiese drank,,,isiphuzo esidakisayo,utshwala,,,isiselo esinxilisayo,utywala,,,,,sinatfo lesine-alkhoholi,tjwala,,,utjwala,isiselo esiwunyelweko,
dsac_ns_nguni_00038,alkali,,,alkali,,,i-alikhali,,,,isithomalalisi bumuncu,,,,,,i-alkhalayi,,,,iintjhuqisi,,
dsac_ns_nguni_00039,alkaline adj.,,,alkalies,,,-njenge alikhali,,,,ethomalalisa ubumuncu,,,,,,-ne-alkhalayi,,,,-tjhuqisako,,
dsac_ns_nguni_00040,alligator,,,alligator,kaaiman,,ingwenya yaseMelika naseShayina,i-aligetha,,,uhlobo lwengwenya olufumaneka eMelika,,,,,,i-aligetha,,,,umhlobo othileko wegulukudela,umhlobo othileko wengwenya,
dsac_ns_nguni_00041,alloy,,,allooi,legering,,inhlanganisela yezinsimbi,,,,umxube weentsimbi,,,,,,insimbinhlanganisela,i-aloyi,,,i-aloyi,isimbimvango,
dsac_ns_nguni_00042,aloe,,,aalwyn,,,inhlaba,,,,ikhala,umhlaba,,,,,inhlaba,,,,isikghopha,,
dsac_ns_nguni_00043,aloe flower,,,aalwynblom,,,uvovo,imbali yenhlaba,,,imvomvo,intyatyambo yekhala,,,,,vovovo,imbali yenhlaba,,,ithuthumbo lesikghopha,,
dsac_ns_nguni_00044,alternating current {electricity},,,wisselstroom,,,ukuphambana kwamandla kagesi,,,,umsinga wombane oqakathayo,,,,,,umsinga lontjintjako,,,,itlelezo elidlheganako,,
dsac_ns_nguni_00045,altitude,,,hoogte,,,ukuphakama,,,,umphakamo,ukuphakama,,,,,kuphakama,,,,iphakamolwandle,,
dsac_ns_nguni_00046,aluminium,Al,,aluminium,Al,,i-aluminiyamu,,,,ialuminiyami,,,,,,i-aluminiyamu,,,,i-aluminiyamu,,
dsac_ns_nguni_00047,ammeter {electricity},amperemeter,,ammeter,ampèremeter,,isilinganisamandla sikagesi,i-amitha,isikalamandla sikagesi,,isibali-mandla ombane,,,,,,sikalagezi,,,,isilinganisomlilo,i-amitha,
dsac_ns_nguni_00048,ammonia,,,ammoniak,,,i-amoniya,,,,iamoniya,,,,,,i-amoniya,,,,i-amoniya,,
dsac_ns_nguni_00049,ammonium chloride,,,ammoniumchloried,,,i-amoniyamu klorayidi,,,,iklorini eneamoniya,,,,,,amoniyamuklorayidi,,,,i-amoniyamutlorayidi,,
dsac_ns_nguni_00050,ammonium nitrate,,,ammoniumnitraat,,,i-amoniyamu nayithreyithi,,,,isichumiso,,,,,,amoniyamunayithrethi,,,,i-amoniyamunayithrethi,,
dsac_ns_nguni_00051,ampere {electricity},amp,,ampère,,,isibalagesi,i-empu,,,iqondo lombane,,,,,,i-emphu,,,,i-ampere,,
dsac_ns_nguni_00052,amphibian,,,amfibie,,,isilwane esiphila emanzini nasemhlabeni,i-amfibhiyeni,,,isihlali mhlabeni nasemanzini,,,,,,siphilavenimantini,,,,isirhwerhwe,isirhwarhwa,
dsac_ns_nguni_00053,amplifier,,,versterker,,,isandisamsindo,i-empulifaya,,,isandisi sandi,,,,,,sikhulisamsindvo,,,,isikhuphulamdumo,i-amplifaya,
dsac_ns_nguni_00054,anaemia,,,bloedarmoede,anemie,,ukusweleka kwegazi,ukuntuleka kwegazi,i-anemiya,,ubuthathaka begazi,ianimiya,,,,,umphelangati,sifo sekuphela ingati,,,umomela,,
dsac_ns_nguni_00055,anatomy,,,anatomie,,,umumo womzimba,isayensi yomumo womzimba,,,ufundo ngesakhiwo somzimba,imo yomzimba,,,,,sifundvomtimba,,,,isayensi yejamo lomzimba,i-anathomi,
dsac_ns_nguni_00056,anchor n. {shipping},,,anker,,,ihange,,,,iankile,,,,,,sisimsio,sikhonkhwanemkhumbi,,,isikhonkwani,i-angere,
dsac_ns_nguni_00057,anchor v.,,,anker gooi,,,-zinzisa umkhumbi,-misa umkhumbi,,,ukubophelela inqanawe,,,,,,simisa,,,,angera,,
dsac_ns_nguni_00058,angle n. <symbol <>,,,hoek <simbool <>,,,igumbi,i-engele,i-engela,,iengile,ikona,idolo,,,,i-engeli,,,,ihugu,i-engela,
dsac_ns_nguni_00059,anhydrous adj.,,,anhidries,,,-komile,,,,eyomileyo,engenamanzi,,,,,-ngenamanti,,,,-nganamanzi,,
dsac_ns_nguni_00060,animal,,,dier,,,isilwane,,,,isilwanyana,isilo,,,,,silwane,,,,isilwana,inyamazana,
dsac_ns_nguni_00061,animal manure,,,mis,,,umquba,,,,umgquba,,,,,,umcuba,,,,umsuqwa,umtjhuqwa,
dsac_ns_nguni_00062,animal skin,,,huid,vel,,isikhumba sesilwane,,,,ufele,isikhumba,,,,,sikhumba,lugogo,,,isikhumba sesilwana,isikhumba senyamazana,
dsac_ns_nguni_00063,annual plant,,,eenjarige plant,,,isitshalo esinyakanye,,,,isityalo sonyaka,,,,,,sitjalomnyaka,,,,isitjalo esimnyakanye,,
dsac_ns_nguni_00064,anode,,,anode,,,ikhanda lentambo lesifazane,i-anodi,,,ianodi,ingono yebhetri ephawulwe ngodibanisa,,,,,i-anodi,,,,ilithiduna,,
dsac_ns_nguni_00065,ant,,,mier,,,intuthwane,,,,imbovane,,,,,,intfutfwane,incangosi,,,ubutjhontjhwani,unontsitsinyani,
dsac_ns_nguni_00066,antelope,buck,,wildsbok,,,umgakla,impofu,,,imbabala,isilwanyana esibubhokhwe,,,,,imbabala,,,,imbuzimmango,,
dsac_ns_nguni_00067,antenna,,,antenne,voeler,,uphondomuzwa,inzwangomoya,,,iimpondo,,,,,,luphondvomiva,,,,iphonjwana,,
dsac_ns_nguni_00068,antenna {of radio},aerial,,antenne,lugdraad,,uthi,usiba,uthinongwana,,ucingo,ieriyeli,,,,,i-eriyeli,,,,isikhambisimazamdumo,isiba,
dsac_ns_nguni_00069,anther,,,helmknop,anter,,isikhiqazimpova,,,,ubunkunzi bentyatyambo,iqumbi,,,,,badvunambali,,,,umgodlana wepova,,
dsac_ns_nguni_00070,ants’ nest,,,miernes,,,umgodi wezintuthwane,isiduli sezintuthwane,,,isiduli seembovane,isiqalane,,,,,sikhehle setintfutfwane,,,,isiwulu sabotjhwentjhwani,,
dsac_ns_nguni_00071,apparatus,,,apparaat,,,insizakusebenza,,,,izixhobo,,,,,,tinsita,,,,isisetjenziswa,,
dsac_ns_nguni_00072,apple,,,appel,,,ihhabhula,i-aphula,,,iapile,,,,,,lihhabhula,li-apula,,,i-apula,ihabhula,
dsac_ns_nguni_00073,appliance,,,toestel,,,ithuluzi,,,,isixhobo,,,,,,insita,,,,isisetjenziswa,,
dsac_ns_nguni_00074,apricot,,,appelkoos,,,ibhilikosi,,,,iaprikosi,,,,,,i-aphrikhothi,,,,umtjhidlana,ibhilikosi,uburilani
dsac_ns_nguni_00075,aquarium,,,akwarium,,,ithangi lezinhlanzi,,,,iakhwariyami,indawo yokugcina iintlanzi,,,,,i-akhwariyamu,,,,i-akhwariyamu,,
dsac_ns_nguni_00076,arachnid,,,spinagtige,,,isicabucabu,,,,izinambuzane ezimilenze isibhozo,,,,,,nyawosiphohlongo,i-arashinida,,,isinyakazi,,
dsac_ns_nguni_00077,arch n.,,,boog,,,igobela,,,,igophe,,,,,,insika legobekile,,,,igobela,,
dsac_ns_nguni_00078,arch v.,,,buig,,,-goba,,,,ukwenza igophe,,,,,,goba,,,,goba,,
dsac_ns_nguni_00079,arch bridge,,,boogbrug,,,ibhuloho eliyigobela,,,,ibhulorho eligophe,umchankcatho oligophe,,,,,libhuloho lensika legobekile,,,,ibhulorhogobela,,
dsac_ns_nguni_00080,architect,,,argitek,,,umdwebizakhiwo,,,,umyili wezakhiwo,,,,,,umdvwebitakhiwo,,,,umtlamimakhiwo,,
dsac_ns_nguni_00081,area,,,oppervlakte,,,indawo,,,,umlinganiselo wendawo,,,,,,indzawo,,,,ubungako bendawo,,
dsac_ns_nguni_00082,argon,,,argon,,,uhlobo lomoya olungenabungozi,i-agoni,,,igesi engenamandla,,,,,,i-agoni,,,,i-agoni,,
dsac_ns_nguni_00083,arrow,,,pyl,,,umcibisholo,,,,utolo,,,,,,butjoki,umcibisholo,,,umsubela,itjhobi,
dsac_ns_nguni_00084,arthropod,,,geleedpotige,,,izilwanyana ezingenamgogodla,,,,oonomalungwana,,,,,,inswelamgogodla,,,,ikalaqephe,,
dsac_ns_nguni_00085,artificial,,,kunsmatig,,,-kokuzenzela,okwenziwe,,,uzenzele,,,,,,umfutiselo,,,,-enziweko,,
dsac_ns_nguni_00086,artificial fertiliser,,,kunsmis,,,umanyolo wokuzenzela,,,,uzenzele wesichumiso,,,,,,manyolo wemfutiselo,,,,isivundisi sokwenziwa,umanyoro,
dsac_ns_nguni_00087,artificial magnet,,,kunsmagneet,,,uzibuthe wokuzenzela,uzibuthe wokuzakhela,,,uzenzele kamazibuthe,,,,,,tibutse wemfutiselo,,,,uzibuthe wokwenziwa,,
dsac_ns_nguni_00088,artificial product,,,nagemaakte produk,kunsmatige produk,,umkhiqizo wokuzenzela,umkhiqizo wokuzakhela,,,uzenzele wemveliso,,,,,,umkhicito wemfutiselo,,,,ivezo lokwenziwa,,
dsac_ns_nguni_00089,asbestos,asb,,asbes,,,itsheboya,u-asibhestasi,,,iasbhestosi,,,,,,itjeboya,litjeboya,maboya,,ilitjeboya,,
dsac_ns_nguni_00090,ascorbic acid,vitamin C,,askorbiensuur,,,isakhamzimba esinguvithamini C,i-esikobhikhi esidi,,,ivithamini C,,,,,,i-askobhiki esidi,vithamini C,,,ivithamini C,,
dsac_ns_nguni_00091,asexual reproduction,,,aseksuele voortplanting,,,ukuzala kungahlangenwe,,,,ukuzala kungaditywananga ngesini,,,,,,kutalisa ngekungahlangani ngebulili,,,,ukuzandisa,,
dsac_ns_nguni_00092,astronaut,,,ruimtevaarder,,,usomkhathi,,,,usomajukujuku,,,,,,somkhatsi,,,,usomkayi,,
dsac_ns_nguni_00093,atmosphere,,,atmosfeer,lugruim,,umkhathimpilo,,,,ulwantwentwe lomoya,,,,,,umkhatsi,,,,i-athimosfere,,
dsac_ns_nguni_00094,atom,,,atoom,,,umsukantozonke,,,,iathom,,,,,,i-athomi,,,,imbumbulo,i-athomu,
dsac_ns_nguni_00095,atomic energy,,,atoomenergie,,,umfutho womsukantozonke,,,,amandla eathom,,,,,,emandla e-athomi,,,,amandla wembumbulo,amandla we-athomu,
dsac_ns_nguni_00096,attract v.,,,aantrek,,,-donsa,-heha,,,tsala,bizela,,,,,dvonsa,heha,,,dosa,,
dsac_ns_nguni_00097,attraction,,,aantrekking,,,ukudonsa,ukuheha,,,umtsalane,umbizelo,,,,,kuheha,kudvonsa,,,ukudosa,,
dsac_ns_nguni_00098,attribute,,,eienskap,,,uphawu,umfuziselo,,,isimo,uphawu,ubunjani,,,,luphawu,lufuto,,,ubunjalo,,
dsac_ns_nguni_00099,automatic control,,,outomatiese beheer,,,isilawuli esizishintshayo,,,,ulawulo lombane oluzenzekelayo,,,,,,umshini lotintjintjako,,,,izombelezo elizilawulako,,
dsac_ns_nguni_00100,autotrophic adj.,,,outotroof,,,-gayazidlele,-khiqizazidlele,,,ezizenzela ukutya,,,,,,-tikhicitelako,,,,-zondlako,,
dsac_ns_nguni_00101,autumn,,,herfs,,,ikwindla,,,,ukwindla,,,,,,likwindla,,,,isiruthwana,,
dsac_ns_nguni_00102,average n.,,,gemiddeld,,,isilinganiso esimaphakathi,,,,umyinge,,,,,,silinganisomkhatsini,sibalomkhatsini,,,i-avareji,,
dsac_ns_nguni_00103,awl,,,els,,,usungulo,,,,inyatyhoba,isilanda,,,,,lusungulo,,,,isungulo,,
dsac_ns_nguni_00104,axil,,,oksel,,,isikhala,okuvuleka kwebhaxa,,,isikhondo sesebe,,,,,,liphaca,,,,i-engele,i-ekzili,
dsac_ns_nguni_00105,axis {plants},,,aksis,,,umqumbe,imfumbe,,,isiqu esintshulayo,,,,,,lihlumela,,,,isiqu,,
dsac_ns_nguni_00106,axis {measurement},,,as,aslyn,,imigqa ka-X no-Y,,,,umgca ohamba embindini,,,,,,injila,,,,i-eksisi,,
dsac_ns_nguni_00107,axis {movement},,,spil,as,,inkabamudwa,,,,umzila wokujikeleza umhlaba,,,,,,injila,i-eksisi,,,isikazombelo,,
dsac_ns_nguni_00108,baboon,,,bobbejaan,,,imfene,,,,imfene,,,,,,imfene,,,,ifene,,
dsac_ns_nguni_00109,bacterium,,,bakterie,,,igciwane,,,,intsholongwane,,,,,,ibhakhthiriya,,,,umulwana,ibhaktheriya,
dsac_ns_nguni_00110,bait,,,aas,,,isilutho,isiyengo,,,isigcayiseli,isithiyiseli,isilobi,,,,sitsiyi,,,,isilulubezo,,
dsac_ns_nguni_00111,bakelite,,,bakeliet,,,isifukameli,isigubezeli,,,ibheyikhilayithi,,,,,,sivikeli,,,,ubheyikhilayithi,,
dsac_ns_nguni_00112,baking powder,,,bakpoeier,,,isikhukhumalisi,,,,igwele lokuxova,umgubo wokunyusa,,,,,sikhukhumalisi,,,,ipuyere yokubhaga,,
dsac_ns_nguni_00113,balance n. {apparatus},,,massameter,,,isilinganisi,isikali,,,isikali,,,,,,silinganiso,sikalo,,,isilinganisi,,
dsac_ns_nguni_00114,balance n. {equilibrium},,,balans,,,uzinzo,,,,ukuzinza,,,,,,kusimama,kutinta,,,ukulingana,,
dsac_ns_nguni_00115,balance v.,,,balanseer,,,-linganisa,-kala,,,lungelelanisa,,,,,,kala,linganisa,,,linganisa,nzinzisa,dzimelelisa
dsac_ns_nguni_00116,balloon,,,ballon,,,ibhaluni,,,,ibhaloni,,,,,,ibhaluni,,,,ibhaloni,,
dsac_ns_nguni_00117,bandage,,,verband,,,ibhandishi,,,,ibhandeji,isibophi nxeba,,,,,libhandishi,,,,ibhanditjhi,,
dsac_ns_nguni_00118,barbed hook,,,weerhaak,,,ihhukumciji,ihhukunhlendla,,,irhengqe,,,,,,lihhuka,,,,ihugu emsubela,,
dsac_ns_nguni_00119,bare patch,,,kaal kol,,,uqwathule,,,,ibala,umkhuthuka,itshanda,,,,umcotfuka,imphandla,lucacadvu,,igagadu,ibala,
dsac_ns_nguni_00120,bare wire,,,kaal draad,,,intambo kagesi ehlubule,,,,ucingo lombane oluze,,,,,,luwayela loluhlubile,liduduzi lelihlubekile,,,umkhungo,,
dsac_ns_nguni_00121,bark n.,,,boombas,,,ixolo,igxolo,,,ixolo,,,,,,ligcolo,,,,iqolo,,
dsac_ns_nguni_00122,bar magnet,,,staafmagneet,,,uzibuthe onxane,isitini sikazibuthe,,,umazibuthe,,,,,,sitini satibutse,,,,uzibuthe ositina,,
dsac_ns_nguni_00123,barn,,,skuur,,,ishede,,,,istali,ishedi,,,,,ligushede,lihhisi,,,umrhoso,isilulu,
dsac_ns_nguni_00124,barn owl,,,kerkuil,,,isikhova,,,,isikhova,inkovana,,,,,umsomi,,,,isirhulurhulu somrhoso,,
dsac_ns_nguni_00125,base,,,basis,,,isisekelosithako,ikhemikhali eyisisekelo,,,ichiza lokwenza ityuwa,,,,,,ibheyisi,,,,isitjhuqisi,,
dsac_ns_nguni_00126,battery,,,battery,,,ilahle,ibhethri,,,ibhetri,,,,,,lilahle,ibhethri,,,ibhethri,,
dsac_ns_nguni_00127,battery holder,battery box,,batterykas,,,isiqukathilahle,isiqukathibhethri,,,ibhokisi yebhetri,,,,,,sibambabhethri,,,,ibhokisi lebhethri,,
dsac_ns_nguni_00128,beach,,,strand,,,usebe lolwandle,ibhishi,,,unxweme,itheku,,,,,lugu,libhishi,,,ibhitjhi,,
dsac_ns_nguni_00129,beady eye {e.g. of a bird or mouse},,,kraalogie,,,iso elihlabayo,,,,iliswana elikhazimlayo,,,,,,liso lelibukhali,,,,ilihlo elimngoma,,
dsac_ns_nguni_00130,beak,,,bek,,,unoqhwaku,unoqhaku,,,umlomo wentaka,,,,,,umlomo wenyoni,,,,umlomo wenyoni,,
dsac_ns_nguni_00131,beaker,,,beker,,,isitsha sokukala,ingilazi yokukala,,,ibhikha,,,,,,sikalingilazi,,,,ibhigiri,,
dsac_ns_nguni_00132,beam n.,,,straal,,,umsebe,,,,umtha,,,,,,umsebe,,,,umsebe,,
dsac_ns_nguni_00133,bean,,,boon,,,ubhontshisi,,,,imbotyi,,,,,,libhontjisi,,,,ihluma,ibhontjisi,
dsac_ns_nguni_00134,beard {tuft of hairs or bristles on certain plants},,,baard,,,intshakaza,,,,ubulembu,intshatshoba,,,,,sishakato,,,,itjhatjhani,,
dsac_ns_nguni_00135,beard {hair growing on the skin},,,baard,,,intshebe,,,,iindevu,,,,,,silevu,,,,iindevu,,
dsac_ns_nguni_00136,bee,,,by,,,inyosi,,,,inyosi,,,,,,inyosi,,,,inyosi,,
dsac_ns_nguni_00137,beech,,,boekenhout,beukehout,,ubande,ibhishithi,,,umthi oneenqoba ezingunxantathu,,,,,,ibhitji,,,,umhlobo othileko kasinjana,,
dsac_ns_nguni_00138,beehive,,,byekorf,,,indlu yezinyosi,,,,itsili,iphahlothi,,,,,imphalu,,,,isirurhu seenyosi,,
dsac_ns_nguni_00139,bell-jar,,,klokglas,,,ujeke wesampula,ujeke wesiboniselo,,,ijagi,ijoko,,,,,lijeke lemasampula,,,,idiko,iqobho,
dsac_ns_nguni_00140,belt,,,band,,,ibhande,,,,ibhanti,,,,,,libhande,,,,umutja,,
dsac_ns_nguni_00141,bench,,,werkbank,bank,,ibhentshi,,,,ibhentshi,,,,,,libhentji,litafula lekusebentela,,,ibhentji,,
dsac_ns_nguni_00142,bench hook,,,bankhaak,,,ibhaxa,,,,isixhasi-msarho,,,,,,liphaca lekusahela,sibambisibhentji,,,isigunadzeli,,
dsac_ns_nguni_00143,bend v.,,,buig,,,-goba,-gobisa,,,goba,,,,,,goba,,,,goba,,
dsac_ns_nguni_00144,bent adj.,,,gebuig,,,-gobile,,,,egobileyo,,,,,,gobekile,gotjiwe,,,-gobeneko,,
dsac_ns_nguni_00145,benzine {chemical substance},,,bensien,,,ibhenzini,,,,ibhenzina,,,,,,ibhenzini,,,,ibhenzini,,
dsac_ns_nguni_00146,beta carotene,,,betakaroteen,,,isikhuthazamzimba,ibhethakharathini,,,isiniki mbala esisisakhi mzimba,,,,,,ibhethakharothini,,,,isasarulanisi,,
dsac_ns_nguni_00147,bicarbonate of soda,,,koeksoda,natriumbikarbonaat,,usota,,,,isoda yekhabhonethi,,,,,,ikhukhisoda,,,,isidlavuzisibilisi,,
dsac_ns_nguni_00148,bicycle,,,fiets,,,ibhayisikili,,,,ibhayisekile,,,,,,libhayisikili,umlelenjani,,,itsikiri,ibhayisikili,
dsac_ns_nguni_00149,bilharzia,,,bilharzia,,,isichenene,,,,umanzabomvu,,,,,,umtfundzangati,,,,isichenene seengazi,ibhilihaziya,
dsac_ns_nguni_00150,bind v.,,,bind,,,-hlanganisa,,,,bopha,,,,,,hlanganisa,namatselisa,,,thungelelana,,
dsac_ns_nguni_00151,binoculars,,,verkyker,,,isibonakude,izipopolo,,,isibonisi kude,,,,,,sibonisakhashane,,,,amabonakude,,
dsac_ns_nguni_00152,biodegradable adj.,,,bioafbreekbaar,,,-okubolayo ngokwemvelo,,,,ezibolayo ngokwendalo,,,,,,-nemboziso,-vundzisako,,,-zonakalelako,ngokunganangozi,
dsac_ns_nguni_00153,bird,,,voël,,,inyoni,,,,intaka,,,,,,inyoni,,,,inyoni,,
dsac_ns_nguni_00154,birdbath,,,voëlbad,,,inhlambanyoni,,,,ibhafu yeentaka,,,,,,libhavu letinyoni,,,,isidudeliinyoni,,
dsac_ns_nguni_00155,bird of prey,,,roofvoël,,,inyoni ephila ngenyama,,,,intaka ephila ngamaxhoba,,,,,,inyoni lesidlanyama,,,,inyoni edla ezinye,,
dsac_ns_nguni_00156,birth,,,geboorte,,,ukuzala,ukuzalwa,,,ukuzala,,,,,,kutalwa,,,,ukubeletha,ukuzala,
dsac_ns_nguni_00157,birth weight,,,geboortegewig,,,isisindo sokuzelwe,,,,ubunzima bemveku,,,,,,sisindvokutalwa,,,,ubudisi bokubelethwa,,
dsac_ns_nguni_00158,bitch,,,teef,,,insikazi yokusanja,,,,injakazi,,,,,,injakati,,,,inja esikazi,,
dsac_ns_nguni_00159,black,,,swart,,,-mnyama,,,,mnyama,,,,,,-mnyama,,,,inzima,,
dsac_ns_nguni_00160,blackjack,,,knapsekêrel,,,uqadolo,,,,umhlabangubo,,,,,,chuchuza,,,,umonyani,umatsetsani,
dsac_ns_nguni_00161,black oystercatcher,,,swart oestervanger,,,indlambaza,,,,intaka etya oonokrwece,,,,,,inyoni lesidlambaza,,,,utlhame,,
dsac_ns_nguni_00162,blacksmith,,,grofsmid,ystersmid,,umkhandinsimbi,,,,umkhandi weentsimbi,umkhandi wesinyithi,,,,,umfuli wensimbi,umcandvulinsimbi,,,umfuli,umkhandi weensimbi,
dsac_ns_nguni_00163,blade {fixed structure},,,blad,,,uphephela,,,,incakuba,,,,,,sibhelekeca,,,,ilemu,,
dsac_ns_nguni_00164,blade {leaf},,,blaar,,,icembe,iqabunga,,,isiqu segqabi,,,,,,licembe,,,,ikari,,
dsac_ns_nguni_00165,blade {cutting tool},,,lem,,,ukudla komkhonto,ukudla kommese,,,incakuba,,,,,,kudla kwemukhwa,,,,isilemu,,
dsac_ns_nguni_00166,blanket,,,kombers,,,ingubo yokulala,,,,ingubo,,,,,,ingubo,,,,ingubo,,
