id,eng__001,eng__002,eng__003,eng__004,afr__001,afr__002,afr__003,afr__004,zul__001,zul__002,zul__003,zul__004,xho__001,xho__002,xho__003,xho__004,xho__005,ssw__001,ssw__002,ssw__003,ssw__004,ssw__005,nde__001,nde__002,nde__003,tsn__001,tsn__002,tsn__003,nso__001,nso__002,nso__003,nso__004,sot__001,sot__002,sot__003,ven__001,ven__002,ven__003,ven__004,ven__005,tso__001,tso__002,tso__003,tso__004
dsac_multi_math_00041,any number,,,,enige nommer,,,,noma iyiphi inombolo,,,,naliphi na inani,,,,,nobe yiphi inombolo,,,,,enye nenye inomboro,,,palo nngwe le nngwe,,,nomoro efe goba efe,palo efe goba efe,,,palo efe kapa efe,,,nomboro iṅwe na iṅwe,,,,,nomboro yin’wana ni yin’wana,,,
dsac_multi_math_00042,applicable,,,,toepaslik,,,,okuhambisanayo,okusondelene,okuthintanayo,,elungele,efanele,efaneleyo,,,-sebentisekako,,,,,sebenzisekako,phatheleneko,fanelekako,maleba,,,dirišetšwa,lebane le tirišetšo,,,sebetse,,,shumiswa,shumisea,,,,tirhisiwa eka,,,
dsac_multi_math_00043,apportion,,,,toedeel,verdeel,,,ukucaza,,,,yabela,ahlula,aba,,,hlukanisela,yaba,,,,aba,,,aroganya,,,abaganya,,,,aba,,,-kovhanya,,,,,-avanyisa,,,
dsac_multi_math_00044,approximate,,,,benader(d),,,,sondelene,cishe,,,esondeleyo,aphantse,,,,-sondzele,,,,,-tjhideleneko,,,lekanyetsa,,,kaba,nyakile,batamela,,atametsang,,,-anganya,u linganisa,,,,kumbetela,,,
dsac_multi_math_00045,approximately,,,,ongeveer,omtrent,naastenby,,cishe,,,,malunga,phantse,ngokusondeleyo,,,phose,-cishe,,,,pheze,,,- ka nnang,,,kabago,nyakilego,batametšego,,- ka ba,- ka bang,,-anganyela,hu nga vha,,,,kwalomuya,kwalomu ka,,
dsac_multi_math_00046,approximation sign <≈>,,,,benaderingsteken,,,,uphawu lokusondezela,uphawu lokuyela ngakhona,,,uphawu,,,,,luphawusilinganiso,,,,,itshwayotjhideza,,,letshwaotekanyetso,,,leswaopatametšo,,,,letshwao le atametsang,,,tshiganyanganyeli,,,,,mfungho wa nkumbetelo,,,
dsac_multi_math_00047,April,,,,April,,,,uMbasa,u-Ephreli,,,u-Apreli,uTshazimpuzi,u-Epreli,,,Mabasa,Apreli,,,,u-Apreli,Usihlabantangana,,Moranang,,,Aprele,,,,Mmesa,,,Lambamai,,,,,Dzivamisoko,,,
dsac_multi_math_00048,area {amount of space measured in e.g. square metres},,,,area,oppervlakte,,,indawo,ubungako bendawo,,,ummandla,i-eriya,,,,i-eriya,bungakondzawo,,,,ubungako bendawo,,,boalo,,,sekgoba,,,,erea,,,nyalo,fhethu,,,,vuandlalo,,,
dsac_multi_math_00049,area {particular part},,,,gebied,,,,ingxenye yendawo,,,,ummandla,indawo,inxalenye yendawo,,,indzawo,siyilo,,,,ingcenye yendawo,,,kgaolo,,,tikologo,,,,erea,,,vhupo,,,,,ndhawu,xivandla,,
dsac_multi_math_00050,arithmetic,,,,rekenkunde,rekene,,,umunxa wezibalo,,,,izibalo,,,,,tibalo,,,,,iimbalo,,,dipalo,,,thutapalo,dipalo,,,aretmethiki,,,ḓivhambalo,,,,,ntivo-nhlayo,tinhlayo,,
dsac_multi_math_00051,arithmetic technique,,,,rekenkundige tegniek,,,,isu lokubala,isu lezibalo,,,ubuchule bezibalo,ubugcisa,ubuchule bokubala,,,lisukubala,,,,,itheknikhi yeembalo,,,bothekenikipalo,,,mokgwa wa thutapalo,,,,thekeniki ya aretmethiki,,,thekheniki ya ḓivhambalo,,,,,endlele ra ntivo-nhlayo,,,
dsac_multi_math_00052,around,,,,rondom,in die rondte,,,zungeza,emacaleni onke,,,jikelezile,jikeleza,,,,-tungelete,,,,,-zombelezako,,,dikologa,,,go dikologa,go dikanetša,,,ho potoloha,,,-mona na,,,,,rhendzeleka,,,
dsac_multi_math_00053,arrange,,,,rangskik,,,,hlela,,,,cwangcisa,lungisa,lungelelanisa,,,hlelembisa,hlela,,,,hlela,,,rulaganya,,,beakanya,,,,hlophisa,,,-dzudzanya,-vhekanya,,,,xaxameta,veketela,,
dsac_multi_math_00054,array,,,,skikking,,,,uhlelo ngononina,,,,misa ngezintlu,ucwangciso-manani,ulungelelaniso-manani,,,luhlelembiso,,,,,irhemo,,,tatelano,,,tokologanyo,go lokologanya,,,letoto,,,mutevhe,mbekanywa,,,,nxaxamelo,,,
dsac_multi_math_00055,ascend,,,,styg,,,,(e) nyuka,,,,nyuka,ukunyuka,,,,enyuka,khuphuka,,,,nyuka,khuphuka,phakama,tlhatloga,,,namelela,,,,nyoloha,,,-gonya,,,,,tlakuka,tlhandluka,,
dsac_multi_math_00056,ascending order,,,,stygende orde,,,,ukuhlela ngendlela enyukayo,,,,indlela enyukayo,ucwangciso ngokunyukayo,ngendlela enyukayo,,,ngekwenyuka,ngekukhuphuka,ngekukhula,,,irhemo elikhuphukako,,,tlhatlogelotatelano,,,maemo a go namelela,mokgwa wa go namelela,,,tlhahlamano e nyolohang,,,thevhekano ya u gonyisa,,,,,nxaxamelo wa ntlhandluko,nxanxamelo wa ntlakuko,,
dsac_multi_math_00057,ask,,,,vra,,,,buza,,,,buza,,,,,buta,,,,,buza,,,botsa,,,botšiša,,,,botsa,,,-vhudzisa,,,,,vutisa,,,
dsac_multi_math_00058,as many as,,,,soveel as,,,,ngobuningi,,,,ngokobuninzi,izininzi kangangoko,,,,ngange,nganga,,,,ngobunengi ngo,,,bontsikgonego,,,ka bontšhi,,,,ka bongata,,,vhunzhi nga hune,,,,,swo tala tanihi,,,
dsac_multi_math_00059,assignment,,,,opdrag,taak,,,umsebenzi,,,,umsebenzi wophando,,,,,umsebenti,,,,,umsebenzi okhethelweko,,,tiro,,,mošomo,modiro,,,asaenmente,,,mushumoavhelwa,asainimenthe,mushumo,,,ntirho,asayinimente,,
dsac_multi_math_00060,associative property,grouping property,,,assosiatiewe eienskap,,,,ukuhlela ngokuvumelana,,,,indlela yokubala,uphawu lonxulumaniso,,,,umtsetfo wekugcogca,,,,,ihlelo lokukhambelanako,,,mokgwanyalanyo,,,molawanatlhopho,tlhophotlhakantšho le tlhophokatišo,molawanakgetho,,molawana wa tlhophiso ya dipalo,,,mulayo wa u vhekanya,mavhekanyele a u kuvhanganya,,,,nawu wo ntlawahata,matirhisele ku ya hi ku fana ka swilo,,
dsac_multi_math_00061,asterisk <symbol *>,,,,sterretjie,asterisk,,,uphawu olusankanyezi,,,,inkwenkwezana,i-asterikhi,,,,inkhanyetana,i-asteriski,,,,ikwekwezana,,,naletsana,,,naletšana,,,,naletsana,,,luswayo ṋaledzi,,,,,xinyeletana,asiteriki,,
dsac_multi_math_00062,asterisk key,,,,sterretjiesleutel,asterisksleutel,,,inkinobho enophawu olusankanyezi,,,,iqhosha elinenkwenkwezana,,,,,sifacatonkhanyetana,,,,,ikunujana yekwekwezana,,,konoponaletsana,,,khii ya naletšana,,,,konopo ya naletsana,,,khii ya luswayo ṋaledzi,,,,,batheni ya xinyeletana,,,
dsac_multi_math_00063,asymmetric,,,,asimmetries,,,,okungalingani nhlangothi zombili,,,,ngafaniyo,ukungalingani-macala,,,,-ngalingene,,,,,-ngalinganiko,,,ka go sa lekane,,,di sa swanego,di sa lekanego,,,tse sa nyalaneng,,,zwi sa lingani,,,,,ku nga yelani,,,
dsac_multi_math_00064,at once {immediately},,,,dadelik,,,,kanye,njengamanje,,,ngesiquphe,ngokukhawuleza,,,,nyalo,masinyane,,,,njenganje,,,ka gangwe,,,ka pejana,,,,hanghang,,,nga luthihi,nga khathihi,,,,xikan’wekan’we,,,
