id,eng__001,eng__002,afr__001,afr__002,afr__003,xho__001,xho__002,xho__003,ssw__001,ssw__002,ssw__003,nde__001,nde__002,nde__003,nde__004,tsn__001,tsn__002,tsn__003,nso__001,Tshivenda__-,nso__002,sot__-,nso__003,ven__001,ven__002,ven__003,ven__004,tso__001,tso__002,tso__003
dsac_multi_engine_00036,back vent {plumbing},,slukpyp,isikhiphamoya,,isithinteli buyelomva logutyulo,,,liphayiphikuphefumulisa,,,iphayiphusiphefumulisi,,,,khemisimorago,,,sethibelakelelomorago,,,,,tshibvisamunukho,,,,xisivelankhulukelandzhaku,,
dsac_multi_engine_00037,balcony,,balkon,,,ibhalkhoni,iveranda ephezulu,,livulande lelisetulu,ibhalikhoni,,amathuri aphezulu,amawoba aphezulu,,,mokatakogodimo,,,mathudigodimo,,palekhone,,,tshiingamo,baḽikhoni,,,vhurandantlhandluko,balikhoni,
dsac_multi_engine_00038,balloon framed wall,,houtraammuur,,,udonga oluyintsika,,,luhlakamhhodlelo,,,ikghokgho,umthelo,,,kgatlapudula,,,sethekgamoago,,,,,muhanga,,,,khumbixibaluni,,
dsac_multi_engine_00039,baluster,,baluster,styl,,intsika emfutshane,ibhalusta,,insika lemfishane,ibhalusta,,isika efitjhani,ibhalusta,,,matshegetso,balusta,,kokwanalepheko,,palusetere,,,baḽastara,,,,phuphunsirhelelo,balusitara,
dsac_multi_engine_00040,balustrade,,balustrade,,,ungqameko lokubambelela,ibhalustreyidi,,insika yekusima,ibhalustredi,,umthangala webhalusta,ibhalustreyidi,,,maitshegetso,,,boikokotlelo,,palusetereiti,,,balustradi,,,,xiphuphunsirhelelo,balusitiredi,
dsac_multi_engine_00041,banister {stairway},bannister,baluster,,,ungqameko lokubambelela kwizitepusi,ibhanista,,insika yekubambelela etitepisini,ibhanista,,ububambelelo bebhalusta,ibhanista,,,maitshegetso,,,seikokotlelo,,,,,banistara,,,,xikhomelelonaneko,,
dsac_multi_engine_00042,barge {support},,barg,,,ibhaji,isixhasiluphahla,,sisekelimngcengcema weluphahla,ibhaji,,isisekelimqoqomfulelo,,,,baje,,,sethekgatlhaka,,sethekgathulelo,,,tshitsireledzi,,,,baji,,
dsac_multi_engine_00043,barge board,,windveer,,,ibhodi yebhaji,ibhodi esisikhuselimaplanga,,ibhodi lesisekelimngcengcema weluphahla,ibhodi yebhaji,,ibhodi yesisekelimqoqomfulelo,,,,botobaje,,,pototšhireletšo,,patšepoto,,,bodotsireledzi,,,,bajibodo,,
dsac_multi_engine_00044,baseboard,,vloerlys,,,isiketingi,,,siphetsalubondza lesiphasi,siketingi,,umphethoboda ophasi,isiketinghi,,,bototlase,seketing,,sekheithing,,,,,sketiṅi,,,,xiketin'i,besibodo,
dsac_multi_engine_00045,base course,,voetlaag,kroonlaag,,isandlalelo sepavmente,,,siyilo lesimahhadlahhadla,,,umqinisosisekelo wepheyivimente,,,,boalotlase,,,boalokgwara,,,,,mbembamutheo,,,,khoso ya tshaku,,
dsac_multi_engine_00046,base shoe {flooring},,voetlat,,,umphetho wesiketingi,umqukumbelo wesiketingi,umququmbelo wesiketingi,siphelelisi sesiphetsalubondza,sihlanganisisiphetfo selubondza,,isihlanganisi somphethoboda,nomgangadelo,isihlanganisi somphethoboda nefluru,,kotadikotlase,,,seapešasekheithing,,,,,phendelasketiṅi,,,,xikhavisatshaku,xisasekisatshaku,
dsac_multi_engine_00047,bat {brick},,passteen,,,isitena esicandwe ngokobude,,,sitini lesiganyuliwe,sitini lesiphunguliwe,,isitina esiphunguliweko,ibhethi,,,setenathwane,bete,,setenamankgagane,,,,,tshidinakhudanyamulemalema,,,,xitinamangadyana,,
dsac_multi_engine_00048,batt {fibreglass},,matras,,,ifayibhaglasi yokhuselozakhiwo,,,sivikelisimokushisa,,,i-insuleyitha emlumani,,,,sebugakago,,,kobotšhireletšakago,,,,,tshilangulamufhiso,,,,nkumbamasirhelelamuako,,
dsac_multi_engine_00049,batten {wood},,lat,klamp,strook,iplanga elide elimxinwa,,,libalelo,lutfungo,,ibalelo elincani,,,,lebalelo,,,palelo,,,,,mbalelo,,,,rimbalelo,,
dsac_multi_engine_00050,batter {wall},,terughelling,walsskuinste,,udonga olulithambeka,,,sikhalakutjeka kwelubondza,,,ihlangothi leboda elitjhigamileko,,,,loseka,batha,,sekgobatshekamo,,,,,mutsheṱo,,,,muceto,,
dsac_multi_engine_00051,bay window,,erker,komvenster,,ifestile ephumele ngaphandle,,,lifasitelo leliphumele ngaphandle,,,ifesidere eliphumele ngaphandle,,,,lerotoga,,,lefaseterempopotlo,,lefaseteretšweledi,,,fasiṱerebambukwa,,,,fasiteremphohlo,,
dsac_multi_engine_00052,beam {support},,balk,,,umqadi,,,insika levundlile,,,ibhimu,,,,tlhomeso,lerapa,,sethekgithapamo,,pimo,,,bimu,,,,bimi,,
dsac_multi_engine_00053,bearing wall,,dramuur,draagmuur,,isisekelisakhiwo,,,sisekelisakhiwo,sisimisisakhiwo,,ibodasisekeli,,,,lerwala,,,lebotothekgi,,,,,luvhondokhwali,,,,khumbi ro rhwala,,
dsac_multi_engine_00054,berm,,berm,,,induli enguzenzele,uqolo olunguzenzele,,lugidzi lwekwentiwa,lusentse lwekwentiwa,,umndunduma,,,,potwana,totoma - itirelo,,ntotomamaitirelo,,,,,ndundumandangamaḓi,,,,xihungutankhukhulo,,
dsac_multi_engine_00055,bevel {instrument},,swaaihaak,swei,,ibhevele,,,ibheveli,,,isikwere esivulekako,ibheveli,,,sebetlakhutlo,bevele,,sekweretshekamo,,pefele,,,beveḽe,,,,bevhele,,
dsac_multi_engine_00056,bifold door,,voudeur,opvoudeur,,ucango olusongeka kabini,,,sivalo lesigocekako,sivalogobeka,,umnyango obhincekako,ibadi elibhincekako,,,lebati la mamenopedi,,,lebatimenegagobedi,,,,,vothiphethwakavhili,,,,rivantimpetsekambirhi,,
dsac_multi_engine_00057,billet,,knuppellys,,,ibhilethi,umqadi wesinyithi,,ibhilethi,,,ibhilethi,,,,bilete,,,pilete,,,,,biḽethe,,,,biliti,,
dsac_multi_engine_00058,bitumen,,bitumen,,,itela,itha,ibhitumeni,tiyela,sikontiyela,,isikontiri,,,,nkgotuwe,bitšhumene,,sekontiri,,,,,tshigonṱiri,bithumene,,,xikontiri,,
dsac_multi_engine_00059,bleeding {concrete},,bloei,,,ungcwengeko,,,kutomisakufoma kwakhonkholo,,,ukuphefumula kwekhonkhridi,,,,motswenatsweno,,,runya,,,,,tsitsimo,,,,mpfempfo,,
dsac_multi_engine_00060,blinding {layer of concrete},,slytlaag,,,isandlalelo sesilebhu,,,sendlalelosiyilo,,,isilebhesendlalelo,isilebhemleyo,,,boaletso,,,boalo,,,,,luvhembathangi,,,,khonkiretiandlalelo,,
dsac_multi_engine_00061,blind nailing,,blindbespykering,versteekte bespykering,,ukubethelela isikhonkwane sifihlakale,,,lubetselosipikili lolufihlakele,lubetselosipikili lolungabonakali,,ukubethela isipikiri sifihleke,ukubethela isipikiri singabonakali,,,kokoteloteng,,,bokokotelwafihlwa,,,,,muombelokhunye,,,,nswaswametaxipikiri,ndzondzometaxipikiri,
dsac_multi_engine_00062,block,,blok,,,ibhloko,,,ibhulokhi,,,ibhlogo,,,,boloko,,,poloko,,,,,buḽoko,,,,buloko,,
dsac_multi_engine_00063,block out <n.>,,uitblokking,,,ushiyosikhewu kulwakhiwo,,,indzawo lengakafaneli kukhonkhwa,,,isivembelikhonkhridi,,,,bothibelwa,,,sekgobahlokakhonkoriti,,,,,tshikhalatsiedzwa,,,,xivandlankakhonkhireti,,
dsac_multi_engine_00064,blotter,,monsterneming,,,ukumbela ukusampula umhlaba,ukumba,,kuhlatiya umhlaba,kusampula umhlaba,,ukuhlaziya ihlabathi,ukusampula ihlabathi,,,phato,,,go bora,,poro,,,vhubwandingo,vhubwelandingo,,,mbhoramisava,,
dsac_multi_engine_00065,blueprint <n.>,,bloudruk,,,umfanekiso ngqo,umcephe ucandiwe,,umfanekisontfo,sitfombentfo,,iphephamgwalo,,,,kgatisotheo,,,kgatišothalwa,,,,,pulanendovhololwa,,,,khopi ya pulani,,
dsac_multi_engine_00066,blue staking <n.>,,markering,,,ukuphawula okungaphantsi komhlaba,,,kubekisa,kubeka luphawu,,ukubekisa kokungaphasi komhlaba,,,,botshwayadikepelwa,,,tshwaotlhahlo,,,,,tsumbathemamveledziso,tswayothemamveledziso,,,xilemukisaxiyimbelwa,,
dsac_multi_engine_00067,bonnet roof,,kapdak,,,uphahla oluneveranda,,,luphahlajikelele lolusavulande,,,umfulelo osamathuri,,,,thulelo ya bonete,,,tlhakatšhollelahlakorenne,,thulelotšhollelahlakorenne,,,ṱhanga ya bashasha,ṱhanga ya bonethe,,,lwangutlhandlekelano,lwanguxibonete,
dsac_multi_engine_00068,boom {mounted on e.g. a truck, vehicle},,kraanarm,,,ilori esisifunquli,,,ilorisiphakamisi,silayishi,,ilorisigugi,,,,seroritsogwana,,,loritsogwana,,,,,tshiendedzimagagule,,,,xitlakuleri,,
dsac_multi_engine_00069,boom {access control},,sluitboom,sperboom,valboom,umvalo,,,umcabosilawulititfutsi,umvalosilawulititfutsi,,isiqabeliinkoloyi,isivimbeliinkoloyi,isikhandeliinkoloyi,,mopakwana,,,letsogwanapheko,,,,,bango,bumu,,,xihingandlela,,
dsac_multi_engine_00070,bottom plate,,onderplaat,bodemplaat,,umqadi osisisekelodonga olwahlulayo,,,likabha lelivundle phasi,,,ibhimu ebuvundla,,,,papetlatlase,,,tšhipifasethapamo,,,,,bumu ya maalo,,,,mhandziandlalelo,,
dsac_multi_engine_00071,bowstring truss,,boogsnaarkap,,,ikapu elibusaphetha,ikapu elibugophe,,luphahlasabutjoki,,,igobela lekapa,,,,tlhampi ya ditlhomeso,,,tlhakakobi,,tlhakasekabora,,,ṱhanganyedzavhura,,,,lwanguxivurha,lwanguxipendzana,
dsac_multi_engine_00072,breaker panel,,stroombrekerpaneel,,,ibhokisi yombane,,,sigubhu segezi,,,isigubhu segezi,ibhoksi legezi,,,bogolaganyetso,,,lepokisimohlagase,,,,,tshibogisinyisedzi,,,,phanelexihangalasi,,
dsac_multi_engine_00073,brick guard,,baksteenskerm,baksteenvangnet,,isigangizitena,,,sivimbelititini,,,isivimbeliintina,,,,sesireletsaditena,,,sešireletšatena,,,,,tshithivhelatshidina,,,,ritavalaswitina,,
dsac_multi_engine_00074,brick ledge,,steenlys,,,isandlalelizitena,,,sisekelilubondza lwangaphandle,,,isisekeliintina,,,,bokotamelotena,,,boalelotena,,,,,mutheo wa tshidina,maalo a tshidina,,,vuandlalelaxitina,,
dsac_multi_engine_00075,brick lintel,,baksteenlatei,,,ilentele,,,lilenteli lesitini,,,ilendlela lesitina,,,,llentlele,,,lentheletena,,lenthele,,,ḽintheḽe ya tshidina,,,,lendleleswitina,,
dsac_multi_engine_00076,brick mould,,steenvorm,,,isivalizikhewu phakathi kodonga nomgubasi,ibhokisi yezitena,iforom yezitena,sivalitikhala,sivalitisele,iforomu,isivaliinkhala,isivalimatjhuba,iforomo,,sekabatena,sebopelatena,foromo,morumokgabišo,,foromo,,sebopatena,tshidinamafanedza,foromo,,,ridakandzemo,foromo,
dsac_multi_engine_00077,brick tie,,steenbinder,,,isibambimadonga,,,sihlanganisitibondza,,,isihlanganisimaboda,isihlanganisimithangala,,,segokatena,,,setlematena,,,,,tshivhofhazwidina,,,,xibohaswitina,,
dsac_multi_engine_00078,bridge,,brug,,,ibhulorho,,,libhuloho,,,ibhlorho,,,,moratho,motshelakgabo,letsibogo,letšibogo,,leporogo,,moratho,muratho,biridzhi,buroho,,buloho,,
dsac_multi_engine_00079,bridge deck,,brugdek,,,umphezulu webhulorho,,,lingetulu lelibhuloho,,,ilingaphezulu lebhlorho,,,,magetla a moratho,magetla a letsibogo,,bogodimoporogo,,,,,luṱa lwa buroho,,,,tafula ra buloho,,
dsac_multi_engine_00080,bridging {stability and load distribution},,stutting,,,ukuxhasa,,,kungcingca,kukhonkha,,ukuqinisa,,,,tshetlelo,,,mokgwakgwahlišo,,mokgwatiišo,,,vhukhwaṱhisi,,,,nseketelo,,
dsac_multi_engine_00081,buck {subframe},,bok,,,isibambelimgubasi,,,lifremunchanti,sisekelifremu,,isisekelifremu,,,,letshegapati,,,sethekgakoseni,,,,,mutheo,,,,rimbatsongo,,
dsac_multi_engine_00082,building code,,boukode,,,imithetho yezokwakha,,,imitsetfo yetekwakha yamasipala,,,imithetjhwana yezokwakha yakwamasipala,,,,khouto ya dikago,,,melawanakago,,,,,mulayo wa kufhaṱele,,,,milawuxikatsa ya vuaki,,
dsac_multi_engine_00083,building paper,,boupapier,,,iphepha lokwakha,,,liphepha lekwakha,,,iphepha lokwakha,,,,pampiri ya dikago,,,pampirikagotšhireletši,,,,,bammbiritsireledzi,,,,phepha ro aka,,
dsac_multi_engine_00084,built-up roof,,gelaagde dak,opgeboude dak,,uphahla olwalekiweyo,,,luphahla lolungimibekelo,luphahla lolwendlalekile,,umfulelo olakanyeneko,umfulelo omalarhalarha,,,thulelelogodimo,,,tlhakagodimo,,thulelogodimo,,,ṱhanganyengedzedzwa,ṱhanganyingwa,,,lwanguxileyara,,
dsac_multi_engine_00085,butterfly roof,,vlinderdak,,,uphahla olububhabhathane,,,luphahlasaluvivane,,,umfulelo osaviyaviyani,,,,thulelorurubele,,,tlhakarurubele,,thulelorurubele,,,ṱhanganyedzatshisusu,,,,lwanguxiphaphatana,,
dsac_multi_engine_00086,butt joint,,stuikvoeg,stootvoeg,stuiklas,ukudibana ngqo,ukuhlangana ngqo,,lilunga-ngco,kuhlangana-ngco,,isihlanganisipatsi,ijoyinipatsi,,,molomaganyo,,,makopanothwii,,,,,tshiṱanganyi,tshiṱumanyi,,,nhlanganisamakun'wini,,
dsac_multi_engine_00087,buttress {reinforcement},,steunmuur,beer,,isomelezi,isizinzisi,,insikalubondza,sisekelalubondza,,isisekelimthangala,isisekeliboda,,,letshegopota,,,kokwana,,leboto,,,thikhaluvhondo,,,,xiseketelakhumbi,,
dsac_multi_engine_00088,bypass {road},,verbypad,omweg,,indlela ecwezelayo,indlela ephephayo,,umgwaco logegako,,,indlela egegedako,indlela ekhamba ngeqadi,,,tselakekologi,tselakefogi,,tselakefogo,,,,,badaphambuwi,,,,mpapalato,nceceleto,
dsac_multi_engine_00089,bypass doors,,skuifdeure,glydeure,,iingcango eziphambanayo,,,tivalo letiphambanako,,,iminyango ephambanako,,,,mabati-mafapaani,,,mabatifapanyi,,,,,mahothibuḓekana,,,,timbatimpapalatano,timbatinceceletano,
dsac_multi_engine_00090,caisson {a watertight retaining structure},,caisson,,,ikheyisini,,,ikhayisoni,,,ikhayisoni,,,,kheisene,,,kheisene,,,,,kheisoni,,,,xitlhengusamati,khayisoni,
dsac_multi_engine_00091,camber {arched surface},,kromming,ronding,,ukukekela kwendlela,,,lidvundvu,,,umndundumana oligobela,,,,kukumuru,,,mmotwanatsela,,khemba,,,nyolokhulungwa,khemba,,,xihukuva,,
dsac_multi_engine_00092,cantilever {beam},,kantelbalk,vrydraer,,umqadi oxhaswe calanye,intsika exhaswe calanye,,likabha lelilengako,,,ibhimu elengako,,,,leleke,,,moagokopo,,moagoriba,,,bimuthikhwathungo,,,,gomumuako,,
dsac_multi_engine_00093,casement {casement window},,swaairaam,,,ifestile evulekela ecaleni,ifestile ekhabela ecaleni,,lifasitelo lelivulekela eceleni,,,ifesidere elivulekela ngeqadi,,,,phefisi,,,lefaseterepulelothoko,,,,,fasiṱeremvulelalurumbu,,,,fasiterepfulelatlhelo,,
dsac_multi_engine_00094,cast-in-place <adj.> {cast-in-situ},,op die perseel gegiet,ter plaatse gegiet,,umakhelw' esizeni,umakhelw'esayithini,,makhelwendzaweni yesakhiwo,makhelendzaweni yekwakha,,umakhelwendaweni,,,,-letlhamelwasetsheng,-popelwasetsheng,,hlametšwegolefelong,,agetšwegolefelong,,,tshisikwapo,,,,endlelwavuakelweni,,
dsac_multi_engine_00095,caulking {sealing},,kalfaatwerk,afseëlwerk,kalfatering,ukutywina,,,kutfwebebisa,kuvala,,ukuvalabunamathisela,,,,dikabo,,,go thiba,,go tswalela,,,vhushati,tshishati,,,ndzemo,,
dsac_multi_engine_00096,cavity wall,,hol muur,spoumuur,,undongambini ocandwe sisikhewu,,,umkhatsitibondza,,,umthangala onomrhoso,,,,lobotaphago,,,sekgalagareboto,,,,,luvondobako,,,,khumbi ra vangwa,,
dsac_multi_engine_00097,ceiling,,plafon,,,isilingi,,,isilingi,,,isilinghi,,,,siling,,,siling,,tšhiratlhaka,,,siḽiṅi,,,,silin’i,,
dsac_multi_engine_00098,Celotex {fibrous board},,Celotex,,,iSelotheksi,,,Iselothksi,,,iSelotheksi,,,,Silothekese,,,Celotex,,,,,Celotex,,,,Celotex,,
dsac_multi_engine_00099,cement mortar,,sementdagha,sementmengsel,,udaka lwesamente,,,ludzaka lwasemende,,,idaka lesamende,,,,leragasamente,takasamente,,taka,,,,,daka,musuko wa semennde,,,ridaka ra semende,,
dsac_multi_engine_00100,ceramic tile,,keramiekteël,,,ithayili yeseramikhi,,,lithayili lelibumba,lithayili leseramikhi,,ithayili leseramikhi,,,,thaele ya seramiki,,,thaeleseramiki,,,,,thaiḽi ya seramiki,,,,thayili ya seramiki,,
dsac_multi_engine_00101,chase,,groef,muurgleuf,gleuf,umsele wemibhobho,,,umsele,umgodzi,umkhoco,umsele wamaphayiphu,,,,moseto,mogwao,,moseto,,,,,musele,,,,nkovotlantilamuakweni,,
dsac_multi_engine_00102,chemical engineering,,chemiese ingenieurswese,,,ubunjineli bemichiza,ubunjineli beekhemikhali,,bunjiniyela betemakhemikhali,bunjiniyela betebutsi,,ubunjiniyere bezamakhemikhali,,,,boenjenere jwa khemikhale,,,boentšenerekhemikhale,,,,,vhuinzhiniara ha zwa khemikhaḽa,,,,vunjhiniyara bya swa tikhemikali,,
dsac_multi_engine_00103,chipboard,,spaanderbord,,,ibhodi eyenziwe ngeenkcwela,itshiphubhodi,,ibhodi yesodasi,,,ibhodi yekafu,,,,botofofora,botofafara,,potofoforega,,tšhipipoto,,,tshipibodo,,,,chipibodo,,
dsac_multi_engine_00104,civil engineering,,siviele ingenieurswese,,,ubunjineli bezokwakha,,,bunjiniyela betekwakha,bunjiniyelatakhiwo,,ubunjiniyere bezokwakha,,,,boenjenere jwa dikago,,,boentšenerekakanyokago,,,,,vhuinzhiniara ha zwa siviḽi,,,,vunjhiniyara bya swa vumaki,,
dsac_multi_engine_00105,cladding,,bekleding,,,umalekosihombisi,,,umhlobisosakhiwo,,,umhlobisomnamathiselo,umkghabisomakhelelo,,,thitelontle,,,seapešamoago,,,,,vhunamokhavhiso,,,,xisirhelelankhavisakhumbi,,
dsac_multi_engine_00106,clerestory,,bobeuk,daklantern,,ifestile yophahla olukrobe kolunye,,,lifasitelo lelingephasi kweluphahla,,,ifesidere elingenzasi komfulelo,,,,letlhabaphefogodimo,tleleresetori,,lefaseterelekeleke,,tleresetori,,,klerestori,,,,tlileresitori,,
dsac_multi_engine_00107,clerestory roof,,bobeukdak,,,uphahla olukrobe kolunye,,,luphahla lolunemafasitelo,,,umfulelo onamafesidere,,,,letlhabaphefothulelong,tleleresetorithulelong,,tlhakatsepamolekeleke,,thulelotsepamoleke,,,ṱhanga ya klerestori,,,,lwangu ra tlileresitori,,
dsac_multi_engine_00108,coastal engineering,,kusingenieurswese,,,ubunjineli bezonxweme,,,bunjiniyela betelugu,,,ubunjiniyere beligu,,,,boenjenere jwa lobopo,,,boentšenerebopo,,,,,vhuinzhiniara ha zwa khunzikhunzini,,,,vunjhiniyara bya swa le ribuweni,,
dsac_multi_engine_00109,collapsible door,,voudeur,opvoudeur,,ucango olusongekayo,,,sivalomficito,sivalokostina,,umnyango obhincekako,ibadi elibhincekako,,,lebatilegonyedi,,,lebatiphuthwa,,,,,vothikhwethekani,,,,rivantixikositina,,
dsac_multi_engine_00110,collar {roof},,kraag,bek,,isinqandikuvuza,isithintelikuvuza,,sivimbelakuvuta,sivimbelamanti,ikhola,isikhandelimanzi,,,,motsulloko,,,kholara,,,,,khoḽara,,,,kholoro,,
dsac_multi_engine_00111,compaction {construction material},,verdigting,kompaktering,,ukugangatha,,,kungcingca,,,ukugangadela,ukudzidlhela,,,kato,,,go bata,,go kikitela,,,mugagadedzo,,,,nghandlo,,
dsac_multi_engine_00112,computer-aided design,Acronym CAD,rekenaargesteunde ontwerp,,,uyilo ngekhompyutha,,,luhlelomdvwebo lwangcondvomshini,kucamba ngangcondvomshini,,umtlamo owenziwe ngomtjhiningqondo,umtlamo owenziwe ngekhomphyutha,,,moralo-ka-khomphiutha,thalo-ka-khomphiuta,,moakanyetšo ka khomphyutha,,,,,nyolo thusedzwa nga khomphyutha,,,,dizayini hi khomphyutara,,
dsac_multi_engine_00113,computer engineering,,rekenaaringenieurswese,,,ubunjineli bezekhompyutha,,,bunjiniyela betekhompiyutha,bunjiniyela betengcondvomshini,,ubunjiniyere bezemitjhiningqondo,ubunjiniyere bezamakhomphyutha,,,boenjenere jwa dikhomphiutha,,,boentšenerekhomphyutha,,,,,vhuinzhiniara ha zwa khomphyutha,,,,vunjhiniyara bya swa khomphyutara,,
dsac_multi_engine_00114,concrete,,beton,,,ikonkriti,,,khonkholo,,,ikhonkhridi,,,,konkereite,,,khonkhoriti,,,,,khonkhirithi,,,,khonkhele,khonkhireti,
dsac_multi_engine_00115,concrete pump,,betonpomp,,,isimpompikonkriti,,,sifutsikhonkholo,simpompikhonkholo,,isipompikhonkhridi,,,,pompo ya konkereite,,,pompokhonkhoriti,,,,,bommbo ya khonkhirithi,,,,pompo ya khonkhireti,,
dsac_multi_engine_00116,conduit,,leipyp,,,umbhobho weengcingo zombane,,,liphayiphi lekushubha,ikhonduyithi,,iphayiphu lokutjhubhela,ikhonjuwithi,,,peipiphemedi,,,phaephetšhupela,,khontšuwiti,,,tshitsireledzathambo,khonduwenthi,,,phayiphitintambu,,
dsac_multi_engine_00117,construction,,konstruksie,bouwerk,,ukwakha,ulwakhiwo,,kwakha,,,ukwakha,,,,kago,boago,,boagi,,kago,kaho,,vhufhaṱi,,,,vuaki,,
dsac_multi_engine_00118,construction engineering,,konstruksie-ingenieurswese,,,ubunjineli bokwakha,,,bunjiniyela betekwakha,,,ubunjiniyere bezokwakha,,,,boenjenere jwa dikago,boenjenereboago,,boentšenerekago,,,,,vhuinzhiniara ha zwa vhufhaṱi,,,,vunjhiniyara bya swa vuaki,,
dsac_multi_engine_00119,control engineering,,beheeringenieurswese,,,ubunjineli bezolawulomitshini,,,bunjiniyela betekulawula,bunjiniyela betekuhlelembisa,,ubunjiniyere bezokulawula,,,,boenjenere jwa ditlhamaganyane,,,boentšeneremananeotshepedišo,,,,,vhuinzhiniara ha zwa vhulauli,,,,vunjhiniyara bya swa vulawuri,,
dsac_multi_engine_00120,control joint,,beheerlas,,,isithintelizintanda,,,silawulikuchekeka,sincandzakuchekeka,,isilawulikuthathamba,isivimbelikugazuka,isivimbelikusasamba,,kgokaganotaolo,tomaganotaolo,,seswarantšhamalokollo,,,,,ndaulaṱhanganyo,ṱhanganyondangamitwe,,,mahlanganavulawuri,,
dsac_multi_engine_00121,coping {protective cap},,dekstrook,deklaag,,umqukumbelo wodonga,umphetho wodonga,,sivikelilubondza,sivikelimanti,,isivikelisakhiwo,isivimbelisakhiwo,,,kuane,,,sešireletši,,,,,tshitibo,,,,xibvimbo,,
dsac_multi_engine_00122,corbel,,karbeel,korbeel,,ikhobheli,,,ikhobheli,,,ikhobheli,,,,khobele,,,khopele,,,,,khobeḽe,,,,khobele,,
dsac_multi_engine_00123,corner bead,,hoekkraallys,hoekkraal,,isihombisizikona,isomelezizikona,,sihlobisimakhona,,,isihlobisimakhona,isihlobisimahugu,,,setiisakhutlo,,,sekgwahlišakhutlo,,setiišakhutlo,,,tshipendeli,,,,xikhavisayinhla,,
dsac_multi_engine_00124,cornice,,kroonlys,,,ikhonisi,,,umphetfo wesilngi,ikhonisi,,umhlobisomphetho wesilinghi,ikhonisi,,,khonisi,,,khonisi,,,,,khonisi,,,,khonisi,,
dsac_multi_engine_00125,counterfort,buttress,beer,stutbeer,steunmuur,isixhasidonga,,,sisimisi,,,isiqinisi sesisekeliboda,,,,letshegopota,,,sethekgamoago,,kokwaneleboto,,,tshitikaluvhondo,,,,xitiyisakhumbi,,
dsac_multi_engine_00126,course {roof},,laag,,,ikhosi,,,lufulelomashingili,,,umfulelo wamatjhingili,,,,maalo,,,morulelohlatlagano,,,,,khoso,mutshilinzhi wa zwiḽeiti,,,khoso,,
dsac_multi_engine_00127,cramp,clamp,klamp,kramp,,isidibanisi,isibambi,iklempu,sichumanisi,iklempu,sihlanganisi,isihlanganisi,itlempe,,,tlamanyi,segokaganyi,,kherempe,,tlelempe,,,klempe,,,,tlilempe,,
dsac_multi_engine_00128,crane,,kraan,hyskraan,,isilenge,isifunquli kulwakhiwo,,ikhreyini,,,umaguga,ikhreyini,,,setlhatlosi,,,khereini,,,,,tshigaguli,,,,khireni,,
dsac_multi_engine_00129,crank,,krukstaaf,kruk,,umphambo wokujija,ikhrenki,,umkhrenko,,,isijikisi,umkrenko,,,mokerenke,,,mokerenke,,kherenke,kerenke,mokerenko,khrenke,,,,mukiringi,,
dsac_multi_engine_00130,cricket {roof},,rigdakkie,afleidak,,isiphambukisimanzi,,,silawulimanti seluphahla,ikhrikhethi,,isilawulimanzi somfulelo,,,,sefaposametsi,,,sefapošameetse,,sephayameetse,,,tshipambusamaḓi,tshikhelusamaḓi,,,khirikhete,,
dsac_multi_engine_00131,cripple {building frame},cripple jack rafter,kruppelstut,,,ikhripuli kulwakhiwo,,,lifremu lelifishane,ikhriphuli,,isisekelisahlukanisi,,,,setshegetsi,jeke,,khiriphole,,sethekgi,,,luvhondu tshiṱahe,,,,phuphumanghimana,,
dsac_multi_engine_00132,cross bridging,,kruisstutting,,,ukuxhasa ngokunqamlezisa,,,tiparagosiphambano,,,isiparagosiphambano,,,,tshetleditshekagano,,,thekgoputlano,,,,,tshibarago,,,,xiseketelahingakanyo,,
dsac_multi_engine_00133,cross gable,,dwarsgewel,,,uphahla olunqamlezileyo,uphahla olubumnqamlezo,,luphahlasiphambano,,,igebulisiphambano,,,,marulelo a momagano,,,thuleloputlano,,tlhakaputlano,,,ṱhangambuḓekanyi,,,,gebuluhingakanyo,,
dsac_multi_engine_00134,cross hipped roof,,kruisskilddak,,,uphahla olumacalamabini,uphahla olungu-L,,luphahla lolusakhonasikwele,,,umfulelomndunduma osiphambano,,,,thulelo ya sekotšhe,,,thuleloputlanontotoma,,tlhakaputlanontotoma,,,ṱhangamuṱumbambuḓekanyi,,,,lwangu tlhandlukahingakanyo,,
dsac_multi_engine_00135,culvert,,duiker,,,ikholvethi,ikholbhethi,,libhuloho lelinemgudvumanti,ikhalivethi,,umsele webhlorho,ikholbede,,,kholobete,,,kholebete,,,,,mulondotserisamaḓi,khaḽivethe,,,xibulohwana,,
dsac_multi_engine_00136,cupola {roof},,koepel,dom,,ikhaphola,,,ingcongwane,sicokondlu,,isidlhogoro somfulelo,ikhaphola,,,motlhotlho,motsotso,,ntlhohlo,,khupola,,,tshiedzamuṱovhori,kupoḽa,tshiedzamuṱumeri,,xihlungwana,khuphola,
dsac_multi_engine_00137,curb roof,,gebroke saaldak,,,uphahla olunesilawulimoya,,,luphahla lolumewukonyenti,luphahla lolumewukowuko,,umfulelwana weenlawulimmoya,umfulelwana womkhanyo,,,thulelo ya mathulamothulamo,,,thulelotatelano,,tlhakatatelano,,,ṱhanga ya khebe,,,,lwangumboyamonyingi,,
