id,eng__001,eng__002,afr__001,afr__002,afr__003,xho__001,xho__002,xho__003,ssw__001,ssw__002,ssw__003,nde__001,nde__002,nde__003,nde__004,tsn__001,tsn__002,tsn__003,nso__001,Tshivenda__-,nso__002,sot__-,nso__003,ven__001,ven__002,ven__003,ven__004,tso__001,tso__002,tso__003
dsac_multi_engine_00398,underpinning {support},,onderstutting,,,uxhasodonga,,,kwesekela ngaphasi sakhiwo lesikhona,kucinisa ngaphasi sakhiwo lesikhona,,ukusekela isakhiwo ngaphasi,,,,tshetlelotheo,,,thekgomotheo,,,,,thikhokwaṱhisedzi,,,,ntshekelo,,
dsac_multi_engine_00399,urban engineering,,stedelike ingenieurswese,,,ubunjineli ngezedolophu,,,bunjiniyela betemadolobha,,,ubunjiniyere bezamadorobho,,,,boenjenere jwa ditoropo,,,boentšeneremotsesetoropo,,,,,vhuinzhiniara ha zwa ḓorobo,,,,vunjhiniyara bya swa madoroba,,
dsac_multi_engine_00400,valley {roof or wall},,kiel,,,umsele wophahla,,,umhosha,umsele,,umsele,umrhoba,,,mokoro,,,moeditlhaka,,,,,khuḓatshululi,veḽi,,,nkova,,
dsac_multi_engine_00401,valley rafter {roof},,kielspar,,,irafta yomsele wophahla,,,likabha lemsele,likabha lemhosha,,isisekelikapa somsele,,,,tlhomeso ya mokoro,,,kapathekgamoedi,,,,,kapa ya khuḓatshululi,kapa ya veḽi,,,pulangikulu ra lwanguxinkova,,
dsac_multi_engine_00402,vault,,gewelf,,,uphahla olunobugophe,,,liphahlamhume,liphahlamhubhe,,umfulelogobela,,,,seobothulelo,,,thulelosekabora,,,,,ṱhanganyedzatshibode,,,,lwanguxiaka,,
dsac_multi_engine_00403,veneer,,fineer,,,isigqumiplanga,,,umhlobisopulango lobhacekwako,umhlobisopulango lonanyatsiselwako,,umhlobiso onanyathiselwako,,,,seapesakgong,,,mokgabišopolanka,,,,,ṱapiṱa,,,,nkhavisapulangini,,
dsac_multi_engine_00404,vent {circulation},,ontlugter,luggat,,intunja,ikroba,,siphefumulisi,,,isiphefumulisi,iventi,,,khemisi,,,phaephesehemiši,,,,,ṱapiṱa,,,,phayiphimphyuphyiso,,
dsac_multi_engine_00405,veranda,,veranda,stoep,,iveranda,,,livulande,,,amathuri,amawoba,iveranda,,mathudi,maribelo,,mathudi,,,,,guḓa,vurannḓa,,,vhuranda,,
dsac_multi_engine_00406,vitrolite {clear glass},,vitrolite,,,ifestile ehonjisiweyo,ivithrolayithi,,ivethrolayithi,,,ivithrolayithi,,,,vitrolaete,,,bithirolaete,,galasekgabišo,,,ngilasikhavhiso,,,,nghilazimbala,vhithirolayiti,
dsac_multi_engine_00407,voussoir,,boogsteen,wigsteen,boogklip,ilitye leatshi,ilitye lokwakha iatshi,,litje le-ashi,litje le-akhi,,ilitje le-atjhi,i-voussoir,,,letlapaseobo,,,leswikasekabora,,voussoir,,,tshidinatsendamiswa,tombotsendamiswa,,,ribyexiaka,,
dsac_multi_engine_00408,wainscot,,beskot,lambrisering,,umbhinqo wodonga wamaplanga,,,umhlobisopulango welingentasi lelubondza,,,umhlobisogodo ongaphezu komphethoboda,,,,lobotatlase,,,lebototlasetlasekgabišwa,,,,,mutengulo,,,,pulangintsemankhaviso,,
