"eng__001","eng__002","eng__003","eng__004","afr__001","afr__002","zul__001","zul__002","zul__003","xho__001","xho__002","xho__003","xho__004","ssw__001","ssw__002","ssw__003","ssw__004","nde__001","nde__002","nde__003","nde__004","tsn__001","tsn__002","tsn__003","tsn__004","nso__001","nso__002","nso__003","nso__004","nso__005","nso__006","sot__001","sot__002","sot__003","sot__004","sot__005","ven__001","ven__002","ven__003","ven__004","tso__001","tso__002"
"challenge n. {for ball possession}","","","","wedywering {om balbesit}","","ukubanga {ibhola}","ukulwela {ibhola}","","ubangiswano ngebhola","ukulwela ibhola","","","kubanga","","","","ukubangelana","","","","phegisano","","","","phenkgišano","pakišano","","","","","tsekisano","phephetsano","","","","u lwela {bola}","","","","mbangisano {bolo}",""
"challenge v. {for ball possession}","","","","wedywer {om balbesit}","","-banga","-lwela","","ukubangisana ngebhola","ukulwela ibhola","","","-banga","","","","-bangelana","","","","phegisana","","","","phenkgišana","bakišana","","","","","tsekisana","phephetsana","","","","u lwela","","","","vangisana",""
"change room","dressing room","tog room","","kleedkamer","","igumbi lokugqokela {abadlali}","indlu yokugqokela {abadlali}","","igumbi lokunxibela abadlali","igumbi lokutshintshela","","","intjintjawozi","","","","ikumba yokwembathela","","","","phaposiboaparelo","boaparelo jwa batshameki","","","phapošiboaparelo","","","","","","phaposi ya boitokiso","phaposi ya boitlhophiso","","","","lufhera lwa u ambarela","","","","kamara ro ambalela",""
"charge an opponent","","","","'n opponent storm","'n opponent stormloop","ukumaka","","","ukumaka","","","","kusukela imbangi","","","","-walazela umbangisani","","","","tlhasela motshamekakgatlhanong","","","","hlasela mophenkgišani","hlasela mmakišani","","","","","hlasela","futuhela","kgorohela","","","u lwela bola","","","","hlanganisa",""
"charge an opponent from behind","","","","'n opponent van agter storm","'n opponent van agter stormloop","ukumaka ngemuva","","","ukumaka uvela ngasemva","","","","kusukela imbangi ngemuva","","","","-walazela umbangisani ngemva","","","","-gwetlha","tlhasela motshamekakgatlhanong go tswa kwa morago","","","latelela mophenkgišani go tšwa ka morago","","","","","","ho hlasela kamorao","ho futuhela kamorao","ho kgorohela kamorao","","","u lwela nga murahu","","","","phija",""
"charge fairly","","","","korrek storm","korrek stormloop","ukumaka okuvumelekile","","","ukutyhalana ngokuvumelekileyo","","","","kusundvuta ngalokwemukelekile","","","","-maga kuhle","","","","tlhasela sentle","","","","phenkgišana ka maleba","bakišana ka maleba","","","","","theselana","ho bapadisa hantle","","","","u lwela lwo tendelwaho","","","","tshwimbirisana",""
"charge in a dangerous manner","","","","op gevaarlike wyse storm","op gevaarlike wyse stormloop","ukumaka okuyingozi","","","ukumaka ngokungenankathalo","ukumaka ngendlela eyingozi","","","kumakha lokuyingoti","","","","-maga ngendlela eyingozi","","","","tlhasela makgwakgwa","","","","phenkgišana ka mokgwa wa kotsi","bakišana ka mokgwa wa kotsi","hlasela ga kotsi","","","","tlhaselo e kotsi","phutuhelo e kotsi","kgorohelo e kotsi","","","u lwela nga nḓila ya khombo","","","","siva hi tihanyi",""
"chase the ball","","","","die bal jaag","","ukuhubha ibhola","ukujaha ibhola","","ukuleqa ibhola","","","","gijimisa ibhola","cosha ibhola","","","-gijimisa ibholo","","","","tebela kgwele","lelekisa kgwele","","","lelekiša kgwele","kitimiša kgwele","","","","","lelekisa bolo","","","","","u gidimela bola","","","","hlongorisa bolo",""
"chest trap v.","","","","bal op die bors vang","bal met die bors keer","-vimba ibhola ngesifuba","","","ukuthintela ibhola ngesifuba","ukunqanda ibhola ngesifuba","ukubamba ibhola ngesifuba","","-bamba ngesifuba","","","","-dlala ngesifuba","-bamba ngesifuba","","","laola ka mafatlha","tshwara ka mafatlha","","","emiša kgwele ka kgara","","","","","","thiba ka peta","kgina ka peta","laola ka peta","","","u langa nga khana","","","","siva hi xifuva",""
"chip n. {short or long}","","","","boogaangee {kort of lank}","","ukweqisa ibhola","","","ukutsibisa ibhola ngobuchule","ukuqabelisa ibhola ngobuchule","","","kucuphula ibhola","","","","ukweqisa ibholo","","","","tlodisokgwele","","","","tshedišo ya kgwele ka go e tsuputša","","","","","","ho kga bolo","","","","","u pfukisa bola","","","","ntluriso",""
"choice of ends n.","","","","speelkantkeuse","","ukukhetha amapali","","","ukukhetha iipali","ukukhetha icala","","","kukhetsa emapali","","","","ukukhetha amapali","","","","tikolosoledi","","","","kgetho ya go iša","kgetho ya lehlakore","","","","","ho kgetha lehlakore","","","","","u nanga masia","","","","nhlawulotlhelo ra tipala",""
"circumvent the law v.","","","","die reël omseil","die reël ontduik","-phula umthetho ngobuqili","","","ukuphepha isolotya lomthetho","","","","balekela umtsetfo","","","","-gegeda umthetho","","","","-tsietsamolao","","","","jabetša molao","","","","","","iphapanyetsa molao","ho etsa ihlwana","","","","u tinya mulayo","","","","honisa nawu",""
"club","","","","klub","","iqembu lebhola","","","iklabhu","iqela lebhola","","","licembu","","","","isiqhema","itlabhu","","","setlhopha","","","","sehlopha","","","","","","sehlopha","","","","","kiḽaba","","","","xipanu",""
"club assistant referee","","","","klubgrensregter","","umsizi kanompempe ojutshwe yiqembu","umsizi kanondweba ojutshwe yiqembu","","usekela-sompempe weklabhu","usekela-sompempe weqela lebhola","","","umsiti wasomfengwane welicembu","umsiti wasompempe welicembu","","","umsizisofengwana wesiqhema","","","","mothusamolaolamotshameko","mothusamoletsaphala wa setlhopha","","","mothušamalokwane wa sehlopha","","","","","","mothusi wa moteaphala wa sehlopha","mothusi wa moletsaphala wa sehlopha","mothusi wa molaolapapadi wa sehlopha","","","muthusamulangulamutambo wa kiḽaba","muthusamalogwane wa kiḽaba","","","mupfunetan'watipempe wa xipanu",""
"club committee","","","","klubkomitee","","isigungu seqembu lebhola","ikomidi leqembu lebhola","","ikomiti yeklabhu","ikomiti yeqela lebhola","","","ikomiti yelicembu","","","","ikomidi yesiqhema","","","","lekgotlhana la setlhopha","komiti ya setlhopha","","","komiti ya sehlopha","","","","","","komiti ya sehlopha","","","","","komiti ya kiḽaba","","","","komiti ya xipanu",""
"club official","","","","klubbeampte","","isikhulu seqembu","","","igosa leklabhu","igosa leqela lebhola","","","sikhulu selicembu","","","","isiphathiswa sesiqhema","","","","motlhankedi wa lekgotlana","motlhankedi wa setlhopha","","","mošomedi wa sehlopha","modiredi wa sehlopha","","","","","ofisiri ya sehlopha","moemedi wa sehlopha","","","","muofisiri wa kiḽaba","","","","xirho xa vufambisi bya xipanu",""
"coach n.","head coach","trainer","","afrigter","breier","umlolongi","umqeqeshi","","umqeqeshi","ukhowutshi","","","umceceshi","umlolongi","","","umbanduli","","","","mokatisi","","","","mohlahli","morutantšhi","","","","","mokwetlisi","","","","","mugudisi","","","","mudzaberi",""
"competition draw","","","","kompetisieloting","kompetisietrekking","ukuqhathwa kwamaqembu","","","uthelekiso lwamaqela","","","","kuchatsanisa emacembu","","","","umenyulo","umdoso wephaliswano","","","kgôgô","","","","matengwa a phadišano","","","","","","lotho ya tlhodisano","","","","","madeṅwa a muṱaṱisano","","","","mpananiso wa swipanu",""
