"eng__001","eng__002","eng__003","eng__004","afr__001","afr__002","zul__001","zul__002","zul__003","xho__001","xho__002","xho__003","xho__004","ssw__001","ssw__002","ssw__003","ssw__004","nde__001","nde__002","nde__003","nde__004","tsn__001","tsn__002","tsn__003","tsn__004","nso__001","nso__002","nso__003","nso__004","nso__005","nso__006","sot__001","sot__002","sot__003","sot__004","sot__005","ven__001","ven__002","ven__003","ven__004","tso__001","tso__002"
"draw n.","","","","onbesliste uitslag","","ukudlala ngokulingana","","","ukuba ntanganye","ukudlala ngokulingana","","","kudlala ngekulingana","","","","ukudlala ngokulingana","","","","maleka","","","","maleka","","","","","","maleka","","","","","u tamba u lingana","u wa mafhuri","","","ku tlanga ku ringana",""
"dressing room","change room","","","kleedkamer","","igumbi lokugqokela {abadlali}","indlu yokugqokela {abadlali}","","igumbi lokunxibela abadlali","igumbi lokutshintshela","","","intjintjawozi","","","","ikumba yokwembathela","","","","phaposiboaparelo","boaparelo jwa batshameki","","","phapošiboaparelo","","","","","","phaposi ya boitokiso","phaposi ya boitlhophiso","","","","lufhera lwa u ambarela","","","","kamara ro ambalela",""
"dribble v.","","","","dribbel","","-jika","-dribula","","ubuchule bokuphamba ngebhola","ukudribula","ukudriblisha","","-veyisa","-jika","-ntjintja","-drebula","-retjha","-dribula","","","go tshasa","go tšheya","go sega","go tiribola","tšhea","thelela","thala","","","","fetisa","fohla","","","","ḓaḓisa","","","","xandza {mutlangi}",""
"drop ball","","","","skeidsregtersbal","","ukubhampisa ibhola","ukugqoma ibhola","","ukuwiswa kwebhola ngusompempe kuqhubeke umdlalo","","","","kubhampa ibhola","","","","indlela yokuthomisa umdlalo ngusofengwana","","","","tigokgwele","","","","go tentiša kgwele","go pampiša kgwele","","","","","ho qadisa papadi hape","","","","","u bammbisa bola","","","","bolo yo wisiwa",""
"dummy run","","","","flousbeweging","flouslopie","ukudidisa","","","ukuphamba abadlali","ukubhidisa abadlali","","","kulahlisa umkhondvo","kudukisa umkhondvo","","","ukulahlekisa","ukudurhisa","","","go latlha","go phasamisa","","","mokitimo wa go gakantšha","","","","","","ho lahlehisa","","","","","u ḓaḓisa","","","","ku lahlekisa",""
"duration {match}","","","","duur {wedstryd}","tydsduur","isikhathi somdlalo","","","ixesha eliqingqelwe umdlalo","ixesha elisikelwe umdlalo","","","sikhatsi lesibekelwe umdlalo {sikhatsi}","","","","isikhathi esibekiweko {umdlalo}","","","","paka","","","","nakotekanyetšo","","","","","","nako (ya papadi)","","","","","tshifhinga {mutambo}","","","","nkarhi {wa ntlangu}",""
"emblem","","","","embleem","kenteken","uphawu","","","imbasa","","","","luphawu","imbeji","","","itshwayo","","","","sekano","","","","leswao","seka","emboleme","","","","letshwao","","","","","tshigaṱhalu","","","","mfungho",""
"equaliser","","","","gelykmaker","","igoli lokulinganisa","","","inqaku lokulinganisa","inqaku lokuba ntanganye","","","ligoli lekulinganisa","","","","igondelo lokulinganisa","","","","tekanyadino","","","","ntlha ya go lekalekanya dino","","","","","","ntlha ya tekano","","","","","tshikoro tsha u linganya","","","","golo yo ringanisa",""
"extra time","overtime","","","ekstra tyd","","isikhathi esengeziwe","","","ixesha elongeziweyo","","","","sikhatsi lesengetiwe","","","","isikhathi esingezelelweko","","","","paka e e okeditsweng","","","","nako ya kokeletšo","","","","","","nako e ekeditsweng","","","","","tshifhinga tsho engedzwaho","","","","nkarhi wo engetela",""
"Fédération Internationale de Football Association","Federation of International Football Associations","FIFA","","FIFA","Internasionale Sokkerfederasie","i-FIFA","iNhlangano Elawula Ezikanobhutshuzwayo Emhlabeni","","iFIFA","uMbutho waMazwe eHlabathi weBhola eKhatywayo","","","i-FIFA","Lubumbanotinhlangano Telibhola Letinyawo Temave Ngemave","","","i-FIFA","iHlangano yeBholo eRarhwako yeenHlangano zamaZwe ngamaZwe","","","FIFA","Mokgatlho wa Boditšhaba wa Kgwele ya Dinao","MBKD","","FIFA","Mokgatlokopano wa Boditšhabatšhaba wa Kgwele ya Maoto","","","","","FIFA","Mokgatlo wa Matjhaba wa Bolo","","","","FIFA","Ṱhanganelano ya Madzangano a Bola ya Milenzhe a Dzitshakatshaka","","","FIFA","Nhlangano wa Bolo wa Misava"
"FIFA fair play trophy","","","","FIFA-skoonspeltrofee","","indebe yokuziphatha kahle ye-FIFA","","","indebe yokuziphatha kakuhle yeFIFA","indebe yokudlala kakuhle yoMbutho waMazwe eHlabathi weBhola eKhatywayo","","","indzebe yekudlala kahle ye-FIFA","","","","unongorwana we-FIFA wokudlala kuhle","","","","Sekgele sa FIFA sa Motshameko o o phepa","Sejana sa FIFA sa Motshameko o o phepa","","","mogopo wa FIFA wa thaloko e botse","sebjana sa FIFA sa thaloko e botse","","","","","mohop e wa FIFA wa papadi e ntle","","","","","tshiphuga tsha FIFA tsha vhuḓifari havhuḓi","","","","khapu ya tlangelo ro basa ra FIFA",""
"FIFA world cup","","","","FIFA-wêreldbeker","","indebe yomhlaba ye-FIFA","","","indebe yehlabathi yeFIFA","indebe yehlabathi yoMbutho wamaZwe eHlabathi weBhola eKhatywayo","","","indzebe yemhlaba ye-FIFA","","","","ibhigiri yephasi ye-FIFA","","","","Sekgele sa Lefatshe sa FIFA","Sejana sa Lefatshe sa FIFA","","","mogopo wa FIFA wa lefase","sebjana sa FIFA sa lefase","","","","","mohop e wa lefatshe wa FIFA","","","","","Tshiphuga tsha Ḽifhasi tsha FIFA","","","","khapu ya misava ya FIFA",""
"final","","","","eindstryd","finaal","umdlalo wamanqamu","","","umdlalo wamanqam","umdlalo wamagqibela kankqoyi","","","umdlalo wemancamu","emancamu","","","umdlalo wokugcina","umdlalo wamaphelelo","","","makgaolakgang","","","","makgaolakgang","","","","","","makgaolakgang","","","","","makhaulatshele","makhaulakhani","","","ntlangu wo hetelela",""
"final leg","","","","finale been","finale rondte","umlenze wokugcina","","","umjikelo wokugqibela","umjikelo wamagqibela kankqoyi","","","umlente wekugcina","imidlalolichunge yekugcina","","","umlenze wokugcina","umlenze wamaphelelo","","","leoto la makgaolakgang","","","","legato la mafelelo la phadišano","leoto la mafelelo la phadišano","","","","","mokgahlelo wa makgaolakgang","papadi ya makgaolakgang tlhodisanong","","","","mulenzhe wa u fhedza","","","","nenge wo hetelela",""
"first division","","","","eerste liga","","isigaba sokuqala","","","iligi enganeno kweyoompondo zihlanjiwe","","","","sigaba sekucala seligi","","","","iligi yokuthoma","","","","lliki e kgolwane","","","","lliki ya mathomo ya dihlopha tša ka tlase","","","","","","divishene ya pele","","","","","khethekanyo ya u thoma","","","","ligi yo sungula",""
"first half {match}","","","","eerste helfte {wedstryd}","","isiwombe sokuqala","","","isiqingatha sokuqala somdlalo","isigaba sokuqala somdlalo","","","sigamu sekucala {umdlalo}","incenye yekucala","","","isiquntu sokuthoma {umdlalo}","","","","karolo ya ntlha","","","","karolo ya pele ya papadi","","","","","","karolo ya pele","","","","","luṱa lwa u thoma","","","","xiphemu xo sungula {xa ntlangu}",""
"first leg","","","","eerste been","","umlenze wokuqala","","","umjikelo wokuqala","","","","umlente wekucala","","","","umlenze wokuthoma","","","","leoto la ntlha","","","","legato la pele la phadišano","leoto la pele la phadišano","","","","","mokgahlelo wa pele","","","","","mulenzhe wa u thoma","","","","nenge wo sungula",""
"fixture","","","","wedstrydbepaling","","uhlelomdlalo","ukuhlelwa kwemidlalo","","uluhlu lwemidlalo","ucwangciso lwemidlalo","","","luhlelomidlalo","","","","irherho lemidlalo","","","","thulaganyotshameko","lenaneotshameko","","","peakanyetšo ya dipapadi","lenaneothulaganyo la dipapadi","","","","","lenane la dipapadi","","","","","nzudzanyo ya mutambo","","","","xikombamatlangelo",""
"flagpost","","","","vlagpaaltjie","","uthi lweduku","uthi lwefulegi","","uluthi lweflegi","","","","sikhonkhwane sembhelebhele","","","","ipali leflarha","","","","pale ya folaga","","","","thatana ya folaga","phatana ya folaga","","","","","palo ya folakga","","","","","tshiimisafuḽaga","thanda ya fuḽaga","","","pala ya mujeko",""
"flick v.","","","","aangee","","-dlulisa ngekhanda","-yeqisa ngekhanda","","ukuthwibila ibhola ngentloko","ukudlulisela ngemva ibhola ngentloko","","","-engcisa ibhola ngenhloko","","","","-eqisa ngehloko","","","","go tlodisa ka tlhogo","","","","go fetiša ka go tshediša kgwele ka hlogo","","","","","","tlodisa","","","","","u pfukisa bola nga ṱhoho","","","","tlurisa bolo hi nhloko",""
"footballer","","","","sokkerspeler","","umdlali kanobhutshuzwayo","","","umdlali webhola ekhatywayo","","","","umdlali webhola","","","","umdlali webholo erarhwako","","","","motshameki","","","","mmapadi wa kgwele ya maoto","sebapadi sa kgwele ya maoto","moraloki wa kgwele ya maoto","seraloki sa kgwele ya maoto","","","sebapadi","","","","","mutambi wa bola","","","","mutlangi wa bolo",""
"foot up","","","","voetfout","","ukuphakamisa unyawo","","","imposiso yokuphakamisa unyawo","","","","kuphakamisa lunyawo","","","","ukuphakamisa inyawo","","","","go tsholetsa leoto","","","","go emiša leoto ge o foša kgwele","","","","","","phoso ya ho phahamisa leoto","","","","","u takusa mulenzhe","","","","ku yimisela nenge ehenhla",""
"formation","","","","formasie","","ukuhleleka kwabadlali","","","ihlelo labadlali","","","","kuhleleka kwebadlali","luhlelembisobadlali","","","ukuhleleka kwabadlali","","","","thulaganyotshameko","sebopego","","","peakanyo ya babapadi ka lepatlelong","peakanyo ya baraloki ka lepatlelong","","","","","sebopeho","tlhophiso","","","","kuvhekanyele kwa vhatambi","","","","mayimelo ya vatlangi",""
"foul play","","","","gemene spel","vuilspel","ukudlala kabi","","","ukudlala kakubi","","","","kudlala kabi","","","","ukudlala kumbi","","","","tshameko e e sa dumelelwang","tshameko e e fosagetseng","","","papadi ya go se amogelege","thaloko ya go se amogelege","","","","","papadi e fosahetseng","","","","","u sa tamba zwavhuḓi","","","","tlangelo ro hoxeka",""
"foul throw","","","","foutingooi","","ukuphosa kabi","","","ukujula gwenxa","ukuphosa gwenxa","","","kuphosa kabi","","","","ukuphosa kumbi","","","","tatlhelo e e sa dumelelwang","tatlhelo e e fosagetseng","","","tahlelo ye e fošagetšego ya kgwele","","","","","","tahlelo e fosahetseng","","","","","vhukhakhi ha u posa","","","","hoxelo ro hoxeka",""
"fourth official","","","","vierde beampte","vierde skeidsregter","unompempe wesine","","","igosa lesine lomdlalo","","","","umlawulimdlalo wesine","","","","isiphathiswa sesine","","","","mothusamolaolamotshameko wa tlaleletso","mothusamoletsaphala wa tlaleletso","motlhankedi wa bone","mothusamotsereganyi wa tlaleletso","mothušamalokwane yo a lego pankeng","","","","","","ofisiri ya bone","","","","","muofisiri wa vhuṋa","","","","mupfunan`watipempe wa vumune",""
"fracture n.","","","","beenbreuk","fraktuur","ukuchachamba","ukuvaveka","ukuphuka","ukuchachamba kwethambo","","","","kufafabuka","kwephuka","","","ukwephuka","ukusasamba","","","thobego","","","","go robega lerapo","go palega ga lerapo","","","","","ho robeha","","","","","mvunḓeo","","","","mpandzeko",""
"free kick","","","","vryskop","","ukukhahlela okukhululekile","","","ibhola ekhatyelwa isohlwayo","","","","kukhahlela ungabangiswa","","","","umrarhosimahla","","","","thagotlhamalalo","","","","thago ya go se šitišwe","thagothwi","","","","","thaho e sa sitisweng","","","","","thahawoga","","","","ndzahonkankavanyeto",""
"free transfer","","","","gratis oorplasing","vry oorplasing","ukukhululwa komdlali mahhala","","","ukukhululwa komdlali felefele","ukukhululwa komdlali ngaphandle kwentlawulo","","","kukhululwa mahhala","","","","ukudluliselwa simahla","","","","tshutiso ya mahala","tshutiso ntle le tuelo","","","go išwa sehlopheng se sengwe ntle le tefo","","","","","","tokollo ntle le tefo","","","","","u pfuluwa mahala","","","","ku hundzisa mahala {mutlangi}",""
"friendly match","","","","vriendskaplike wedstryd","","umdlalo wobungani","umdlalo wesihle","","umdlalo wobuhlobo","","","","umdlalo webungani","","","","umdlalo wobungani","","","","motshameko wa botsalano","","","","papadi ya segwera","thaloko ya segwera","","","","","papadi ya setswalle","","","","","mutambo wa vhukonani","","","","ntlangu wa xinghana",""
"goal","","","","doel","","igoli","","","inqaku","","","","ligoli","","","","igondelo","","","","nno","","","","nno","ntlha","","","","","ntlha","","","","","tshikoro","","","","golo",""
"goal area","","","","doelgebied","","emapalini","","","umhlaba kanozinti","","","","indzawo yasomapali","indzawo yamendi","","","indawo kasomapali","indawo kamendi","","","karolodino","","","","lefelo la dino","","","","","","sebaka sa mekwallo","","","","","vhunwo","","","","xivandla xa le tipaleni",""
"goalkeeper","goalie","","","doelwagter","","unozinti","","","unozinti","ugoli","","","somapali","mendi","","","usomapali","umendi","","","moganadino","mothibadino","mosireletsadino","menti","moswaradino","","","","","","sethibathibane","","","","","mulindavhunwo","","","","n'watipala",""
"goalkeeper coach","","","","doelwagterafrigter","doelwagterbreier","umlolongi wonozinti","umqeqeshi wonozinti","","umqeqeshi kanozinti","","","","umceceshi wasomapali","umceceshi wamendi","umlolongi wasomapali","umlolongi wamendi","umbanduli kasomapali","umbanduli kamendi","","","mokatisamoganadino","mokatisamothibadino","mokatisamosireletsadino","mokatisamenti","mohlahlamoswaradino","morutantšhimoswaradino","","","","","mokwetlisi wa sethibathibane","","","","","mugudisamulindavhunwo","","","","mudzaberi wa n'watipala",""
"goal kick","","","","inskop uit doelgebied","","ukususwa kwebhola emapalini","","","ukuqala umdlalo kumhlaba kanozinti","","","","kususwa kwebhola emapalini","","","","ukuthomisa ukudlala kumendi","","","","thago go tswa dipaleng","go dima","","","thago go tšwa dipaleng","","","","","","thaho e qadisang papadi mekwallong","","","","","u takusa bola kha vhunwo","","","","bolo yo susiwa etipaleni",""
"goal line","","","","doellyn {binne doelhok}","","umugqa osemapalini","","","umda webala oneepali","umda webala onezinti","","","umugca wemapali","umlayini wemapali","umugca wemagoli","","umuda wamagondelo","","","","moladino","","","","mothalo wa bonošadino","","","","","","mola wa mekwallo","moedi wa mekwallo","","","","mutalo wa vhunwo","","","","ntila wa tipala",""
"goalpost","","","","doelpaal","","amapali","","","izinti","iipali","","","lipali","","","","ipali","","","","pale","kota","","","kota ya ka thoko ya bonošadinong","pala ya ka thoko ya bonošadinong","","","","","palo ya mekwallo","tshiya ya mekwallo","","","","pala ya vhunwo","","","","pala",""
"goalscorer","","","","doelskopper","","umshayigoli","","","umfaki-nqaku","","","","umshayiligoli","","","","umbethigondelo","","","","monosanno","","","","monwešanno","monošantlha","","","","","mohlabantlha","","","","","mukori","munwisi","","","muhowisi",""
"golden ball award","","","","gouebal-toekenning","","umklomelo womdlali ovelele","","","imbasa yebhola yegolide","","","","umklomelo wemdlali lohlabene","umklomelo wemdlali lovelele","","","unongorwana webholo wegolide","unongorwana webholo werhawuda","","","kabo ya motshameki yo o gaisitseng","","","","sefoka sa FIFA sa go fiwa moraloki yo mokaonekaone","sefoka sa FIFA sa go fiwa mmapadi yo mokaonekaone","","","","","kgau ya bolo ya kgauta","","","","","tshiphuga tsha bola ya musuku","","","","sagwadi ra mutlangi wo hlawuleka",""
"golden shoe award","golden boot award","","","goueskoen-toekenning","","umklomelo womshayimagoli ovelele","","","imbasa yesihlangu segolide","","","","umklomelo wemfakimagoli lohlabene","umklomelo wemfakimagoli lovelele","","","unongorwana wenyathelo legolide","unongorwana wenyathelo lerhawuda","","","kabo ya monosadino yo o gaisitseng","","","","sefoka sa FIFA sa go fiwa monošadino tše ntši","","","","","","kgau ya seeta sa kgauta","","","","","tshiphuga tsha tshienda tsha musuku","","","","sagwadi ra muhowisinkulu wa FIFA",""
"half-time","half-time interval","","","rustyd","","isikhathi sekhefu","","","isiqingatha somdlalo","ikhefu","","","likhefu","sikhatsi sekuphumula","","","isikhathi sokuphumula","","","","nako ya boikhutso","nako ya go kgwa mowa","","","nako ya go khutša","","","","","","nako ya kgefutso","","","","","tshifhinga tsha u awela","","","","nkarhi wo wisa",""
"handball","hand to the ball","","","handbal","","ukubamba ibhola ngesandla","","","ukudlala ibhola ngesandla","","","","kubamba ibhola ngemabomu","","","","ukubamba ibholo ngesandla","","","","letsogokgweleng","","","","go kgoma kgwele ka letsogo","go swara kgwele ka letsogo","go kgwatha kgwele ka letsogo","","","","ho tshwara bolo","","","","","u fara bola","","","","ku siva bolo hi voko",""
"hat trick","","","","driekuns","","amagoli amathathu omdlali oyedwa","","","ubuchule bokufaka amanqaku amathathu ngumdlali omnye","","","","magolimatsatfu","","","","ukugondela kathathu komdlali emdlalweni","ukukora kathathu komdlali emdlalweni","","","nosotharo {mo motshamekong o le mongwe}","","","","go nweša dino tše tharo papading ye tee","","","","","","dintlha tse tharo ka sebapadi","","","","","u nwisa luraru ha mutambi","","","","ku howisa kanharhu eka ntlangu wun`we",""
"header","","","","kopskoot","","ukungqofa ngekhanda","","","ukubetha ibhola ngentloko","","","","lenhloko","","","","ukuqhula ibholo ngehloko","","","","thula ka tlhogo","","","","kgwele ya hlogo","","","","","","ho thula bolo ka hlooho","","","","","u rwa bola nga ṱhoho","u tamba nga ṱhoho","","","ku gomola bolo",""
"home game","","","","tuiswedstryd","","umdlalo wasekhaya","","","umdlalo osekhaya","","","","umdlalo wasekhaya","","","","umdlalo wekhaya","","","","motshamekogae","","","","papadi ya gae","","","","","","papadi ya lehae","","","","","mutambo wa hayani","","","","ntlangu wa le kaya",""
"home ground","","","","tuisveld","","inkundla yasekhaya","","","ibala lasekhaya","","","","inkhundla yasekhaya","","","","itatawu lesiqhema","ikundla yesiqhema","","","lebalagae","","","","lepatlelo la gae","","","","","","lebala la lehae","","","","","mudavhi wa hayani","luvhanḓe lwa hayani","","","rivala ra le kaya",""
"home team","","","","tuisspan","","iqembu lasekhaya","","","iqela lebhola lasekhaya","","","","licembu lasekhaya","","","","isiqhema sekhaya","","","","setlhophagae","","","","sehlopha sa gae","","","","","","sehlopha sa lehae","","","","","vhaṋe vha haya","","","","xipanu xa le kaya",""
"hosting team","","","","gasheerspan","","iqembu elihanjelwe","iqembu elivakashelwe","","iqela elisingathe umdlalo","iqela elisindleke umdlalo","","","licembu lelisingatsako","licembu lelivakashelwe","","","isiqhema esivakatjhelweko","","","","setlhopha sa baamogelabaeng","","","","sehlopha sa benggae","","","","","","sehlopha se amohelang","","","","","thimu yo ḓelwaho","thimu yo dalelwaho","","","xipanu xa varhurheli",""
"impede v.","","","","blokkeer","","-vimba","-vala","","ukuthintela umdlali angadluli","ukuvalela umdlali angadluli","","","-vimbela","","","","-liya","","","","kgoreletsa","","","","šitiša","thibela","","","","","sitisa","kgina","thibela","","","thivhela","","","","kavanyeta",""
"indirect free kick","","","","indirekte vryskop","","ukususwa kwebhola elikhululekile ngaphambi kokuthi lingene emapalini","","","ibhola yesohlwayo emayingadlalwa ngumntu omnye","","","","makhahlelwa lokungenani ngulababili","","","","umrarhosimahla ongakanqophi","","","","thago e e sa tlhamalalang","","","","thagothwi ya go kgongwa ke dibapadi tše pedi goba go feta pele e leba dinong","","","","","","thaho e sa tobang","","","","","thaho i sa tendelwi u livha mapalani thwii","","","","ndzahonkankongomo",""
"infringement {rules}","violation","","","oortreding {reëls}","","ukuphula umthetho","","","isenzo solwaphulo-mthetho","","","","kwephula umtsetfo","","","","ukwephula umthetho","ukweqa umthetho","","","phoso","kgoreletso","","","tshelomolao","","","","","","tlolo ya molao","","","","","u pfuka mulayo","","","","ku tlula nawu",""
"injury","","","","besering","","ukulimala","","","umenzakalo","ukwenzakala","","","kulimala","","","","ukulimala","ukukhubala","","","khutlego","kgobalo","","","kgobalo","","","","","","temalo","kotsi","","","","fuvhalo","","","","ku vaviseka",""
"inswinger","","","","inswaaier","","ibhola eligobele ngaphakathi","","","ubuchule bokukhaba ibhola igobele ezipalini","","","","gobela ngekhatsi","gobelekhatsi","","","umsikelongaphakathi","","","","kobi","kobelagare","panana","","kgwele ya go gegela ka dinong","kgwele ya go kekela ka dinong","","","","","tswape","ho koropeletsa ka hare","","","","khuyela ngomu","tsongela","","","ku govela bolo etipaleni",""
"intercept","","","","onderskep {bal}","","ukuvimba ibhola","ukuthikameza","","ukuthintela ibhola","ukuqhawula ibhola","","","jubela ibhola","","","","-qintelisa","","","","thibela","thopa","kgatlhanyetsa","","thibelo ya kgwele","thibelo ya bolo","tšhitišo ya bolo","tšhitišo ya kgwele","","","ho kgaoletsa","","","","","u khakhisa","","","","kavanyeta",""
"interfere with play","","","","met spel inmeng","","ukuphazamisa umdlalo","","","ukuphazamisa umdlalo","","","","kuphazamisa umdlalo","","","","-liya umdlalo","","","","go kgoreletsa motshameko","","","","go šitiša papadi go tšwela pele","go thibela papadi go tšwela pele","","","","","sitisa papadi","","","","","u thithisa mutambo","","","","ku kavanyeta ntlangu",""
"international club competition","","","","internasionale klubkompetisie","","umqhudelwano wamaqembu omhlaba","","","ukhuphiswano lwamazwe ngamazwe lwamaqela ebhola","","","","umchudzelwano wemacembu emave","","","","iphaliswano leenqhema zamazwe ngamazwe","iphaliswano leenqhema zeentjhabatjhaba","","","kgaisano ya ditlhopha ya boditšhaba","","","","phadišano ya dihlopha tša boditšhabatšhaba","","","","","","tlhodisano ya dihlopha tsa matjhaba","","","","","muṱaṱisano wa kiḽaba dza dzitshakatshaka","","","","mphikizano wa swipanu swa matiko",""
"international committee","","","","internasionale komitee","","ikomidi lamazwe ngamazwe","","","ikomiti yamazwe ngamazwe","","","","ikomiti yemave","","","","ikomidi yamazwe ngamazwe","ikomidi yeentjhabatjhaba","","","komiti ya boditšhaba","","","","komiti ya boditšhabatšhaba","","","","","","komiti ya matjhaba","","","","","komiti ya dzitshakatshaka","","","","komiti ya matiko",""
"international match","","","","internasionale wedstryd","toetswedstryd","umdlalo ophakathi kwamazwe ngamazwe","","","umdlalo wamazwe ngamazwe","","","","umdlalo wemave","","","","umdlalo wamazwe ngamazwe","umdlalo weentjhabatjhaba","","","motshameko wa boditšhaba","","","","papadi ya boditšhabatšhaba","mmetšhe wa boditšhabatšhaba","","","","","papadi ya matjhaba","","","","","mutambo wa dzitshakatshaka","","","","ntlangu wa matiko",""
"international referee","","","","internasionale skeidsregter","toetsskeidsregter","unompempe wemidlalo yamazwe ngamazwe","unondweba wemidlalo yamazwe ngamazwe","","usompempe wamazwe ngamazwe","","","","somfengwane wemave","sompempe wemave","","","usofengwana wamazwe ngamazwe","usofengwana weentjhabatjhaba","","","molaolamotshameko wa boditšhaba","motsereganyi wa boditšhaba","moletsaphala wa boditšhaba","","malokwane wa boditšhabatšhaba","","","","","","moteaphala wa matjhaba","moletsaphala wa matjhaba","molaolapapadi wa matjhaba","","","malogwane wa dzitshakatshaka","mulangamutambo wa dzitshakatshaka","","","n`watipempe wa matiko",""
"jersey","","","","trui","","ijezi","","","ijezi","","","","lijezi","","","","ijezi","isikipa","","","sekhipa","jesi","","","jesi","sekhipa","","","","","jeresi","","","","","tshikhipha","dzhesi","","","jesi",""
"juggling","","","","jonglering","","ukugenda ibhola","","","ukuteka","ukudlalisa ngebhola emoyeni","","","kulilawula emoyeni","kuteka ibhola","","","ukuteka","","","","go teka","go dira mathaithai","","","thothompetša kgwele","totompetša kgwele","teka kgwele","","","","ho teka","ho bapadisa bolo moyeng","","","","u ṱeka","","","","ku lawula bolo emoyeni",""
"kick-off n. {centre line}","","","","afskop {middellyn}","","ukuqala komdlalo","","","ukuqalisa komdlalo","","","","kucala kwemdlalo","kususa umdlalo","","","ukuthoma komdlalo {ikaba yekundla}","","","","tshimololomotshameko","thankgololomotshameko","","","go thoma papadi","","","","","","ho qala papadi (molahare)","","","","","mathomo a mutambo","","","","ku sungula ntlangu",""
"knee guard","","","","knieskerm","knieskut","isivikeladolo","","","isikhuseli-dolo","","","","sivikeladvolo","","","","isivikelidolo","","","","sesireletsalengole","","","","sešireletšakhuru","","","","","","sesireletsalengole","","","","","tshitsireledzagona","","","","xisirhelelatsolo",""
"knock-out competition","","","","uitklopkompetisie","","umkhumulajezi","","","umkhulula-jezi","ukhuphiswano lokukhupha iqela elibethiweyo","","","umkhumulajezi","","","","iphaliswano lokukhuphana","","","","kgaisano ya mantshano","","","","phadišano ya mantšhanašakeng","","","","","","tlhodisano ya mantshano","","","","","muṱaṱisano wa u bvisana","","","","mphikizano wo humesana",""
"league","","","","liga","","iligi","","","iligi","","","","iligi","","","","iligi","","","","lliki","","","","lliki","","","","","","liki","","","","","ḽigi","","","","ligi",""
"left-footed player","","","","linksvoetige speler","","inxele","","","inxele","","","","lincele","","","","incele","","","","moleme","","","","moragakanngele","","","","","","sebapadi se bapalang ka leoto le letshehadi","leqejana","","","","nyamonde","","","","n`waximatsi",""
"leg {match}","","","","been {wedstryd}","","umlenze","","","umjikelo","","","","umlente","imidlaloluchunge yekugcina","","","umlenze","","","","leoto","","","","legato la phadišano","leoto la phadišano","","","","","mokgahlelo","","","","","mulenzhe","","","","nenge",""
"ligament","","","","ligament","","umsipha","","","umsipha","","","","umsipha","","","","umsipha","","","","mosifa","ntha","","","mošifa","","","","","","mosifa","","","","","mukala","","","","nsiha",""
"lob the ball","","","","die bal luglangs skop","","ukweqisa ibhola ngonyawo","","","ukutsibisa ibhola","","","","kwecisa ibhola","","","","-eqisa ibholo","-gobelisa ibholo","","","- tlodisa kgwele","- kuka kgwele","","","tshediša kgwele","","","","","","ho rothisa","","","","","u fhufhisa bola","","","","ku tlurisa bolo",""
"logo","","","","logo","","uphawu lweqembu","ilogo","","ilogo","uphawu","","","ilogo","luphawu","","","ilogo","","","","letshwaomoôno","","","","leswao","seka","loko","","","","letshwao","","","","","tshigaṱhalu","","","","mfungho",""
"long-range shot","","","","langafstand-doelskoot","","unyazi","imbumbulu","ishodi","ukukhabela ezipalini ukude","","","","kudvonsa intsambo","","","","ukurarha ukude","ukudosa intambo","","","lerumo","mogagamola","mogarola","","thagokgole","letanta","","","","","moharolla","sephunyaphunyane","","","","mushosho mulapfu","","","","ndzaho wa le kule",""
"man-of-the-match-award","","","","speler-van-die-wedstryd-toekenning","","umklomelo womdlali ovelele","","","imbasa yomdlali obalaseleyo","","","","umklomelo wemdlali lohlabene","","","","unongorwana womdlali ophume phambili","","","","kabo ya naledi ya letsatsi","","","","sefoka sa sebapadi sa letšatši","","","","","","kgau ya sebapadi se ipabotseng","","","","","tshiphuga tsha mutambi wa ḓuvha","","","","sagwadi ra mutlangi wa siku",""
"man-to-man","","","","man-tot-man","","indoda endodeni","","","ukumnxusa","ukumthi nca","","","umuntfu emuntfwini","hlala naye","shada naye","","ukumlala nje","ukumhlala enyonga","ukuqatha","","mothomothong","kgomarelomotho","go apara motho","","mothomothong","","","","","","ho matahana","mothomothong","","","","mutambi kha mutambi","","","","ku namarhela mutlangi",""
"marking {opponent}","","","","merk {opponent}","","ukumaka","","","ukumaka","","","","kuvala","kumakha","","","ukumaga","","","","go disa","go sama","go maka","","maka","nyalano","","","","","ho maka","ho disa","","","","u thivha","u vala","","","ku maka",""
"masters team","","","","veteranespan","","iqembu lomakadebona","iqembu lamakhehla","","iqela loompondo zihlanjiwe","iqela lamakhwahla","iqela loomakhwekhwetha","","licembu lalabakhulile","","","","isiqhema sabakhulu","","","","matsopa","setlhopha sa maoma","","","sehlopha sa dibapadi tša kgale","","","","","","sehlopha sa mekaubere","","","","","thimu ya vhaaluwa","","","","xipanu xa vatlangi va khale",""
"match","game","","","wedstryd","","umdlalo","","","umdlalo","","","","umdlalo","","","","umdlalo","","","","motshameko","","","","papadi","mmetšhe","","","","","papadi","","","","","mutambo","","","","ntlangu",""
"match commissioner","","","","wedstrydkommissaris","","umqaphimdlalo","","","umlawuli womdlalo","","","","nkhomishani wemdlalo","","","","umlawuli zombelele womdlalo","ukomtjhinara womdlalo","","","mookamamotshameko","","","","mokomišenare wa papadi","","","","","","khomishenara ya papadi","","","","","khomishinari wa mutambo","","","","mulanguteri wa ntlangu",""
