id,eng__001,eng__002,eng__003,afr__001,afr__002,afr__003,tsn__001,tsn__002,tsn__003,tsn__004,nso__001,nso__002,nso__003,nso__004,nso__005,nso__006,nso__007,nso__008,sot__001,sot__002,sot__003,sot__004
dsac_ns_sotho_00044,alternating current {electricity},,,wisselstroom,,,thefosano ya kelomotlakase,,,,moleamohlakgasephetoga,,,,,,,,phaphanyetsano,,,
dsac_ns_sotho_00045,altitude,,,hoogte,,,-bogodimo,,,,godimo,bophagamo,,,,,,,bophahamo,,,
dsac_ns_sotho_00046,aluminium,Al,,aluminium,Al,,aluminiamo,,,,aluminiamo,,,,,,,,aluminiamo,,,
dsac_ns_sotho_00047,ammeter {electricity},amperemeter,,ammeter,ampèremeter,,selekanyamaatla a motlakase,,,,amithara,,,,,,,,ametha,amitara,,
dsac_ns_sotho_00048,ammonia,,,ammoniak,,,amonia,,,,amonia,,,,,,,,amonia,,,
dsac_ns_sotho_00049,ammonium chloride,,,ammoniumchloried,,,amoniamo tleloraete,,,,amoniamtleloraete,,,,,,,,amoniamo tleloraete,,,
dsac_ns_sotho_00050,ammonium nitrate,,,ammoniumnitraat,,,amoniamo naetereiti,,,,amoniamnaethreite,,,,,,,,amoniamo naetereite,,,
dsac_ns_sotho_00051,ampere {electricity},amp,,ampère,,,selekano sa motlakase,empe,,,amp,ampere,,,,,,,empe,,,
dsac_ns_sotho_00052,amphibian,,,amfibie,,,setshelagobedi,,,,sephelameetsenglenageng,amfipiene,,,,,,,amfibia,phelopedi,,
dsac_ns_sotho_00053,amplifier,,,versterker,,,segodisamodumo,,,,seoketšamodumo,segodišamodumo,amplifaya,,,,,,amplifaya,,,
dsac_ns_sotho_00054,anaemia,,,bloedarmoede,anemie,,madimetsi,anemia,,,tlhaelelomadi,anemia,,,,,,,anemia,phokolo ya madi,,
dsac_ns_sotho_00055,anatomy,,,anatomie,,,thutapopego,,,,thutoditho,anathomi,,,,,,,anathomi,,,
dsac_ns_sotho_00056,anchor n. {shipping},,,anker,,,tshetlegi,ankere,,,tshetledi,kgwega ya sekepe,ankhara,,,,,,tshetledi,,,
dsac_ns_sotho_00057,anchor v.,,,anker gooi,,,setlega,,,,setlela,kgwaetša ka sekhutlo,enkhara,,,,,,setledisa,holeha,,
dsac_ns_sotho_00058,angle n. <symbol <>,,,hoek <simbool <>,,,sekhutlo,,,,sekhutlo,khutlo,enkele,,,,,,enkele,sekgutlo,,
dsac_ns_sotho_00059,anhydrous adj.,,,anhidries,,,tlhokametsi,,,,ya tlhokameetse,ya go gwagwalala,omeletšego,,,,,,ntle le metsi,,,
dsac_ns_sotho_00060,animal,,,dier,,,phologolo,,,,phoofolo,,,,,,,,phoofolo,,,
dsac_ns_sotho_00061,animal manure,,,mis,,,motshotelo,mmutelo,,,mmutedi,marole,mmutela,,,,,,moitedi,,,
dsac_ns_sotho_00062,animal skin,,,huid,vel,,letlalo la phologolo,,,,letlalo la phoofolo,mokgopha,,,,,,,letlalo la phoofolo,,,
dsac_ns_sotho_00063,annual plant,,,eenjarige plant,,,semela ka ngwaga,,,,semelaphelangwaga,,,,,,,,semela sa ngwahanngwe,,,
dsac_ns_sotho_00064,anode,,,anode,,,anoute,,,,anoute,anoude,,,,,,,anoute,,,
dsac_ns_sotho_00065,ant,,,mier,,,sikalootshoswane,,,,tšahoši,tšhošane,tšhošwane,,,,,,kokonyana,,,
dsac_ns_sotho_00066,antelope,buck,,wildsbok,,,sikaloopodi,,,,phalafala,,,,,,,,tshepe,letsa,,
dsac_ns_sotho_00067,antenna,,,antenne,voeler,,dinakana,,,,lenakana,anthena,,,,,,,lenakanakutlo,sephopholetsi,,
dsac_ns_sotho_00068,antenna {of radio},aerial,,antenne,lugdraad,,lonakaphetisi,,,,moteka,eriale,,,,,,,sephopholetsi,lesiba,lenaka,
dsac_ns_sotho_00069,anther,,,helmknop,anter,,ramodula,,,,modula,sethobonna sa leloba,anthere,,,,,,modula,anthere,,
dsac_ns_sotho_00070,ants’ nest,,,miernes,,,sentlhaga sa ditshoswane,,,,sehlaga sa ditšhoši,sehlaga sa ditšhošane,sehlaga sa ditšhošwane,,,,,,sehlaha sa dikokonyana,,,
dsac_ns_sotho_00071,apparatus,,,apparaat,,,sediriswa,,,,setlabakelo,sedirišwa,,,,,,,sesebediswa,,,
dsac_ns_sotho_00072,apple,,,appel,,,apole,,,,apola,apole,apolo,,,,,,apole,,,
dsac_ns_sotho_00073,appliance,,,toestel,,,sediriswa,,,,sedirišwa,setlabakelo,,,,,,,sesebediswa,,,
dsac_ns_sotho_00074,apricot,,,appelkoos,,,apolekosi,,,,apolkose,,,,,,,,apolekose,,,
dsac_ns_sotho_00075,aquarium,,,akwarium,,,sebolokatshedimetsing,,,,akhwariamo,bolotadiphelameetseng,,,,,,,akhwariamo,,,
dsac_ns_sotho_00076,arachnid,,,spinagtige,,,tshenekegikotorobedi,aragenita,,,aragnite,aragniti,,,,,,,arakgenita,,,
dsac_ns_sotho_00077,arch n.,,,boog,,,seobo,,,,kobi,akhe,atšhe,,,,,,mokoropetso,,,
dsac_ns_sotho_00078,arch v.,,,buig,,,oba,,,,koba,,,,,,,,koba,,,
dsac_ns_sotho_00079,arch bridge,,,boogbrug,,,moratho o o obegileng,,,,morathosekaatšhe,morathoakhe,,,,,,,borogo ba mokoropetso,,,
dsac_ns_sotho_00080,architect,,,argitek,,,ramaanokago,,,,mothaladipolane,moagiteke,,,,,,,moatjhiteke,,,
dsac_ns_sotho_00081,area,,,oppervlakte,,,boalo,,,,sekgoba,tikologo,,,,,,,karolo,sebaka,,
dsac_ns_sotho_00082,argon,,,argon,,,akone,,,,akone,,,,,,,,agone,,,
dsac_ns_sotho_00083,arrow,,,pyl,,,motsu,,,,mosebe,motsi,,,,,,,motsu,,,
dsac_ns_sotho_00084,arthropod,,,geleedpotige,,,atheropoto,,,,dimesehlwana,athrophoda,,,,,,,atherophoda,,,
dsac_ns_sotho_00085,artificial,,,kunsmatig,,,maitirelo,,,,ya maitirelo,,,,,,,,ya maiketsetso,,,
dsac_ns_sotho_00086,artificial fertiliser,,,kunsmis,,,monontsha wa maitirelo,,,,manyora a maitirelo,monontšhamaitirelo,senontšhamaitirelo,,,,,,monontsha wa maiketsetso,,,
dsac_ns_sotho_00087,artificial magnet,,,kunsmagneet,,,makenete wa maitirelo,,,,maknetemaitirelo,,,,,,,,setala sa maiketsetso,makenete wa maiketsetso,,
dsac_ns_sotho_00088,artificial product,,,nagemaakte produk,kunsmatige produk,,kuno ya maiterelo,,,,setšweletšwamaitirelo,,,,,,,,sehlahiswa sa maiketsetso,,,
dsac_ns_sotho_00089,asbestos,asb,,asbes,,,asebesetose,asb,,,asb,marela,marelela,lentsweboya,asbestose,,,,asebesetose,,,
dsac_ns_sotho_00090,ascorbic acid,vitamin C,,askorbiensuur,,,bithamine ya C,eseti ya asekhobiki,,,esiti ya askopiki,bodila bja askopiki,bithamine C,vithamine C,,,,,esete ya asekobiki,esiti ya asekobiki,vithamine C,
dsac_ns_sotho_00091,asexual reproduction,,,aseksuele voortplanting,,,tsadisontle le kgweelano,,,,boitswadišo ntle le kamano ya bonna le bosadi,,,,,,,,boikatiso ntle le motabo,,,
dsac_ns_sotho_00092,astronaut,,,ruimtevaarder,,,mosutlhalefaufau,,,,molefaufau,,,,,,,,rasepakapaka,,,
dsac_ns_sotho_00093,atmosphere,,,atmosfeer,lugruim,,lefaufau,,,,lefaufau,,,,,,,,atemosefere,,,
dsac_ns_sotho_00094,atom,,,atoom,,,athomo,,,,athomo,,,,,,,,athomo,,,
dsac_ns_sotho_00095,atomic energy,,,atoomenergie,,,maatla a seathomo,,,,maatla a athomo,,,,,,,,matla a athomo,,,
dsac_ns_sotho_00096,attract v.,,,aantrek,,,gogela,,,,gogela,,,,,,,,hohela,,,
dsac_ns_sotho_00097,attraction,,,aantrekking,,,kgogedi,,,,maatlakgogedi,,,,,,,,kgohelo,,,
dsac_ns_sotho_00098,attribute,,,eienskap,,,semelo,,,,sehlaodi,sekapontšhi,,,,,,,semelo,letshwao,,
dsac_ns_sotho_00099,automatic control,,,outomatiese beheer,,,taoloitirisi,,,,taoloseitiriši,taolo ya go itiriša,,,,,,,itaolang,,,
dsac_ns_sotho_00100,autotrophic adj.,,,outotroof,,,-itlamelang,-itirelang dijo,,,sa go itirela dijo,othotrofiki,,,,,,,tse iketsetsang dijo,,,
dsac_ns_sotho_00101,autumn,,,herfs,,,letlhafula,gwetla,,,lehlabula,seregane,,,,,,,hwetla,,,
dsac_ns_sotho_00102,average n.,,,gemiddeld,,,palogare,,,,palogare,,,,,,,,palohare,,,
dsac_ns_sotho_00103,awl,,,els,,,thoko,phunyo,,,morokola,moropola,tšhwana,tšhuduba,,,,,elese,lehlabo,,
dsac_ns_sotho_00104,axil,,,oksel,,,khutlophata,akesele,,,senoko sa mohlare,kutwana gare ga lehlogedi,eksili,,,,,,sekgutlo,,,
dsac_ns_sotho_00105,axis {plants},,,aksis,,,letlhogela,,,,pelwana,,,,,,,,pelo ya peo,,,
dsac_ns_sotho_00106,axis {measurement},,,as,aslyn,,molagare,,,,eksisi,,,,,,,,molahare,,,
dsac_ns_sotho_00107,axis {movement},,,spil,as,,ase,,,,ase,,,,,,,,ase,,,
dsac_ns_sotho_00108,baboon,,,bobbejaan,,,tshwene,,,,tšhwene,magoboko,magobjana,,,,,,tshwene,,,
dsac_ns_sotho_00109,bacterium,,,bakterie <meervoud: bakterieë>,,,dibaketiria,,,,baktheria,,,,,,,,baketheria <bongata: dibaktheria>,,,
dsac_ns_sotho_00110,bait,,,aas,,,jarelo,sejaretsi,,,segoketši,segwaletši,sejeletši,sekuruwetši,,,,,setjheisi,,,
dsac_ns_sotho_00111,bakelite,,,bakeliet,,,beikilaete,,,,beiklaete,,,,,,,,beikilaete,,,
dsac_ns_sotho_00112,baking powder,,,bakpoeier,,,bakapoere,,,,sekokomoši,komelo,lerojana la go paka,pediša,pakamphaota,,,,bakpoiri,,,
dsac_ns_sotho_00113,balance n. {apparatus},,,massameter,,,selekanyaboima,,,,sekala,,,,,,,,sekala,,,
dsac_ns_sotho_00114,balance n. {equilibrium},,,balans,,,tekatekano,,,,tekatekano,tekelelanyo,,,,,,,tekano,,,
dsac_ns_sotho_00115,balance v.,,,balanseer,,,itshetlela,itsetsepela,,,tsepamiša,tokaetša,petlapetla,theneketša,lekalekanetša,,,,lekalekanya,,,
dsac_ns_sotho_00116,balloon,,,ballon,,,baluni,sebudulwa,,,palune,,,,,,,,balunu,,,
dsac_ns_sotho_00117,bandage,,,verband,,,sefapo,,,,pantetši,panteši,,,,,,,banteiji,setlamisi,,
dsac_ns_sotho_00118,barbed hook,,,weerhaak,,,sekgwage se se mebitlwa,,,,kobimeetlwa,hukumeetlwa,,,,,,,huku e meutlwa,,,
dsac_ns_sotho_00119,bare patch,,,kaal kol,,,paa,lefetla,sebataola,,lekwala,segwara,mogala,molala,lefatla,,,,sebataolo,lefahla,,
dsac_ns_sotho_00120,bare wire,,,kaal draad,,,bothale,,,,lethale,motato,,,,,,,terata e phollatsi,,,
dsac_ns_sotho_00121,bark n.,,,boombas,,,lekwati,,,,lekwakwathe,letswamati,lekwamati,segaphi,,,,,lekgapetla,,,
dsac_ns_sotho_00122,bar magnet,,,staafmagneet,,,kgogedisemika,kgogedi,,,paamaknete,,,,,,,,setala sa setene,makenete o setene,,
dsac_ns_sotho_00123,barn,,,skuur,,,sefala,,,,sekiri,polokelo,leobo,setala sa dikgomo,,,,,sekiri,,,
dsac_ns_sotho_00124,barn owl,,,kerkuil,,,morubisi,,,,leribiši la sekiring,kgaribišane,,,,,,,sephooko sa sekiring,,,
dsac_ns_sotho_00125,base,,,basis,,,beisi,,,,peise,alkali,,,,,,,beisi,,,
dsac_ns_sotho_00126,battery,,,battery,,,beterii,lelatlha,legala,,lelahla,betri,petri,,,,,,beteri,,,
dsac_ns_sotho_00127,battery holder,battery box,,batterykas,,,setsholabeterii,,,,seswarapetri,seswarabetri,lepokisana la petri,lepokisana la betri,,,,,lekase la beteri,lebokose la beteri,,
dsac_ns_sotho_00128,beach,,,strand,,,lebopo,,,,khwithiwatle,pitšhi,,,,,,,lebopo la lewatle,,,
dsac_ns_sotho_00129,beady eye {e.g. of a bird or mouse},,,kraalogie,,,leitlhwana,,,,mahlwanathorophadima,,,,,,,,leihlo le tswerehileng,,,
dsac_ns_sotho_00130,beak,,,bek,,,molomo wa nonyane,,,,molomo wa nonyana,,,,,,,,molomo wa nonyana,,,
dsac_ns_sotho_00131,beaker,,,beker,,,bekere,,,,bikhara,,,,,,,,bikha,,,
dsac_ns_sotho_00132,beam n.,,,straal,,,lerang,,,,lehlasedi,,,,,,,,lehlasedi,,,
dsac_ns_sotho_00133,bean,,,boon,,,nawa,,,,nawa,,,,,,,,nawa,,,
dsac_ns_sotho_00134,beard {tuft of hairs or bristles on certain plants},,,baard,,,leledu,,,,maledu a lefela,maledu a lehea,meriri ya lehea,,,,,,bolepo,,,
dsac_ns_sotho_00135,beard {hair growing on the skin},,,baard,,,ditedu,,,,ditedu,maledu,leledu,,,,,,ditedu,,,
dsac_ns_sotho_00136,bee,,,by,,,notshe,,,,nose,,,,,,,,notshi,,,
dsac_ns_sotho_00137,beech,,,boekenhout,beukehout,,mofuta wa logong,,,,pitšhi,,,,,,,,bitjhi,,,
dsac_ns_sotho_00138,beehive,,,byekorf,,,phalo,,,,phago,sehlaga sa dinose,,,,,,,sehlaha sa dinotshi,,,
dsac_ns_sotho_00139,bell-jar,,,klokglas,,,jarakhurumedi,,,,pelejara,beljara,,,,,,,belja,,,
dsac_ns_sotho_00140,belt,,,band,,,lebanta,,,,lepanta,,,,,,,,lebanta,,,
dsac_ns_sotho_00141,bench,,,werkbank,bank,,tafolebodirelo,,,,tafola,pentšhe,,,,,,,bentjhe,,,
dsac_ns_sotho_00142,bench hook,,,bankhaak,,,tshegetsapetlelo,,,,seswarakota,,,,,,,,setshehetsi sa lepolanka,,,
dsac_ns_sotho_00143,bend v.,,,buig,,,kona,koba,oba,,koba,mena,,,,,,,koba,,,
dsac_ns_sotho_00144,bent adj.,,,gebuig,,,-obilweng,-konegileng,-kobegileng,,kobegilego,kgopamego,kobilwego,,,,,,kobehileng,,,
dsac_ns_sotho_00145,benzine {chemical substance},,,bensien,,,bensine,,,,pentsine,penzine,,,,,,,benzine,,,
dsac_ns_sotho_00146,beta carotene,,,betakaroteen,,,bitakarotini,,,,pitakhorothine,,,,,,,,bitha kharothini,,,
dsac_ns_sotho_00147,bicarbonate of soda,,,koeksoda,natriumbikarbonaat,,kukusota,,,,paekhaponete ya sota,,,,,,,,kuksota,,,
dsac_ns_sotho_00148,bicycle,,,fiets,,,gategate,baesekele,setobetobe,peretshitswana,paesekela,leotwana,ntlanya,peretšhitswana,,,,,baesekele,,,
dsac_ns_sotho_00149,bilharzia,,,bilharzia,,,thotamadi,belehasia,,,pilhazia,,,,,,,,belhaziya,,,
dsac_ns_sotho_00150,bind v.,,,bind,,,lomaganya,kgomaretsa,,,swaraganya,kgomaganya,kopanya,,,,,,tlama,,,
dsac_ns_sotho_00151,binoculars,,,verkyker,,,dibontshakgakala,diferekekere,dithusiponelakgakala,,dibontšhakgole,diferekeikere,,,,,,,sebontshahole,,,
dsac_ns_sotho_00152,biodegradable adj.,,,bioafbreekbaar,,,- bolang ka bonako,,,,bolago bonolo,bolago fela,senyegago fela,,,,,,bolang,,,
dsac_ns_sotho_00153,bird,,,voël,,,nonyane,,,,nonyana,nonyane,,,,,,,nonyana,,,
dsac_ns_sotho_00154,birdbath,,,voëlbad,,,bata ya dinonyane,letlotsana,,,bohlapelanonyana,bohlapelanonyane,,,,,,,bate ya dinonyana,,,
dsac_ns_sotho_00155,bird of prey,,,roofvoël,,,nong sejanama,nong e e jang nama,,,nonyanesejanama,nonyanasejanama,,,,,,,nonyana e jang nama,,,
dsac_ns_sotho_00156,birth,,,geboorte,,,botsalo,,,,pelego,tswalo,tlhatšo,,,,,,tswalo,,,
dsac_ns_sotho_00157,birth weight,,,geboortegewig,,,boketetsalo,boimatsalo,,,boima bja lesea le le sa tšwago go belegwa,,,,,,,,boima ba tswalo,,,
dsac_ns_sotho_00158,bitch,,,teef,,,ntšwa e namagadi,,,,mpšatshadi,,,,,,,,ntja e tshehadi,,,
dsac_ns_sotho_00159,black,,,swart,,,bontsho,,,,boso,,,,,,,,botsho,,,
dsac_ns_sotho_00160,blackjack,,,knapsekêrel,,,mokolonyane,,,,mogoti,moenyane,mošitiši,mmonyane,,,,,hlabahlabane,bohome,,
dsac_ns_sotho_00161,black oystercatcher,,,swart oestervanger,,,nong sejatlhapi,,,,nonyanaseswarakgetla,,,,,,,,sejakgofu,,,
dsac_ns_sotho_00162,blacksmith,,,grofsmid,ystersmid,,mothudi,,,,morudi,mothulatšhipi,mokgatlatšhipi,,,,,,setehi sa tshepe,,,
dsac_ns_sotho_00163,blade {fixed structure},,,blad,,,lofuka lwa lofetlho,,,,phaphathi,,,,,,,,lepheo,,,
dsac_ns_sotho_00164,blade {leaf},,,blaar,,,mogwang,,,,letlakalabjang,,,,,,,,lehlaku,,,
dsac_ns_sotho_00165,blade {cutting tool},,,lem,,,legare,,,,bogaleng,,,,,,,,lehare,,,
dsac_ns_sotho_00166,blanket,,,kombers,,,kobo,,,,kobo,lepai,,,,,,,kobo,,,
dsac_ns_sotho_00167,bleaching agent,bleach,,bleikmiddel,,,bolitšhi,sesweufatsi,,,segaloši,sešweufatši,,,,,,,sesweufatsi,,,
dsac_ns_sotho_00168,block,,,takelblok,blokstelsel,,katerole,,,,ploko,bloko,,,,,,,boloko,,,
dsac_ns_sotho_00169,block graph,,,blokgrafiek,,,bolokokirafu,,,,krafo ya ploko,krafo ya bloko,,,,,,,kerafo ya boloko,,,
dsac_ns_sotho_00170,blood,,,bloed,,,madi,,,,madi,,,,,,,,madi,,,
