id,eng__001,eng__002,eng__003,afr__001,afr__002,afr__003,ven__001,ven__002,ven__003,ven__004,tso__001,tso__002,tso__003,tso__004,tso__005,tso__006,tso__007
dsac_ns_4to6_01637,outlet point,,,uitlaatpunt,afvoerpunt,,fhethu ha vhubvo,,,,mbhovo,,,,,,
dsac_ns_4to6_01638,output,,,uitvoer,lewering,,zwibveledzwa,,,,mbuyelo,,,,,,
dsac_ns_4to6_01639,output component,,,leweringskomponent,,,tshishumiswa tsha zwibviswa,,,,xivuyerisi,,,,,,
dsac_ns_4to6_01640,outside,,,buitekant,,,nnḓa,,,,handle,,,,,,
dsac_ns_4to6_01641,oval adj.,,,ovaal,,,-ngaho gumba,-ovaḽa,,,xa xitandza,,,,,,
dsac_ns_4to6_01642,ovary,,,eierstok,,,tshifaragumba,tshidzulagumba,,,xitshikela-tandza,,,,,,
dsac_ns_4to6_01643,oven,,,oond,,,oveni,honndo,,,ovhene,,,,,,
dsac_ns_4to6_01644,overcast adj.,,,betrokke,,,-tiba,,,,mapapa,khidzimbela,,,,,
dsac_ns_4to6_01645,overnight,,,oornag,,,vhusiku hoṱhe,,,,vusiku,,,,,,
dsac_ns_4to6_01646,overpopulated,,,oorbevolk,,,tsitsikanaho,ṱanḓekanaho,,,ntalo-ntlulampimo,,,,,,
dsac_ns_4to6_01647,overweight,,,oorgewig,,,lemelesa,khwaṱhesa,,,ntiko-ntlulampimo,,,,,,
dsac_ns_4to6_01648,overwhelm,,,oorweldig,,,fhenya,kunda,,,ku heta ntamu,,,,,,
dsac_ns_4to6_01649,ovule,,,kiemsel,,,ovuḽu,gumba ḽitete,,,mbewukati,,,,,,
dsac_ns_4to6_01650,ovum,,,ovum,,,gumba,,,,mbewukati,,,,,,
dsac_ns_4to6_01651,owl,,,uil,,,gwitha,,,,xikhovha,,,,,,
dsac_ns_4to6_01652,oxide,,,oksied,,,oksaidi,,,,okisayidi,,,,,,
dsac_ns_4to6_01653,oxygen,,,suurstof,,,oksidzheni,gesedungi,,,okisijini,moya-tenga,,,,,
dsac_ns_4to6_01654,oyster,,,oester,,,khumba,oyisṱa,,,nhlampfi-xihumba,,,,,,
dsac_ns_4to6_01655,ozone,,,osoon,,,ozounu,,,,ozoni,,,,,,
dsac_ns_4to6_01656,ozone-friendly adj.,,,osoonvriendelik,,,-anḓana na ozounu,,,,xihlayisa-ozoni,,,,,,
dsac_ns_4to6_01657,ozone layer,,,osoonlaag,,,luvhemba lwa ozounu,,,,riandlalo ra ozoni,,,,,,
dsac_ns_4to6_01658,packaging,,,verpakking,,,tshifaredzi,tshihwali,,,xiphutselo,,,,,,
dsac_ns_4to6_01659,pad,,,kussing,,,khando,shimba,,,rhuva,,,,,,
dsac_ns_4to6_01660,paint n.,,,verf,,,pennde,,,,pende,,,,,,
dsac_ns_4to6_01661,paint brush,,,verfkwas,,,bulatsho ya u pennda,,,,burachi yo penda,,,,,,
dsac_ns_4to6_01662,palm tree,,,palmboom,,,mutshevho,,,,ncindzu,,,,,,
dsac_ns_4to6_01663,panda,,,panda,,,phanda,,,,panda,,,,,,
dsac_ns_4to6_01664,panel,,,paneel,,,phaneḽe,,,,xiphemu,,,,,,
dsac_ns_4to6_01665,panelled adj.,,,met panele,,,-vha phaneḽe,,,,xo avanyisiwa,,,,,,
dsac_ns_4to6_01666,panel pin,,,paneelspyker,,,phini,,,,xipikidyana,,,,,,
dsac_ns_4to6_01667,paper,,,papier,,,bammbiri,,,,phepha,,,,,,
dsac_ns_4to6_01668,paperweight,,,papiergewig,,,tshifarabammbiri,,,,xitshikilela-phepha,,,,,,
dsac_ns_4to6_01669,parachute,,,valskerm,,,pharashuthi,,,,pharachuti,xitshanisi,,,,,
dsac_ns_4to6_01670,paraffin,,,paraffien,,,pharafeni,,,,pharafini,,,,,,
dsac_ns_4to6_01671,paraffin stove,,,paraffienstofie,,,tshiṱofu tsha pharafeni,,,,xitofu xa pharafini,,,,,,
dsac_ns_4to6_01672,parallax,,,parallaks,,,pharaḽaksi,,,,paralakisi,,,,,,
dsac_ns_4to6_01673,parallel {e.g. lines},,,parallel,ewewydig,,vhambela,,,,ku nga hlangani,ku vambhelana,ku pheta,,,,
dsac_ns_4to6_01674,parallel {electricity},,,in parallel,parallel verbind,,pharaḽeḽe,,,,ku nga hlangani,,,,,,
dsac_ns_4to6_01675,parallel slits,,,parallelle gleuwe,,,ṋayo dzo vhambelaho,,,,mimbhovo yo ka yi nga hlangani,,,,,,
dsac_ns_4to6_01676,parallel veins {leaves},,,parallelle are,ewewydige are,,tsinga dzo vhambelaho,,,,minsiha yo ka yi nga hlangani,,,,,,
dsac_ns_4to6_01677,parasite,,,parasiet,,,pharasaithi,tshi tshilaho nga tshiṅwe,,,xidya-vongwe,xihanya hi swin’wana,,,,,
dsac_ns_4to6_01678,parent,,,ouer,,,mubebi,,,,mutswari,,,,,,
dsac_ns_4to6_01679,parental adj.,,,ouerlik,ouer,,-tsha mubebi,,,,xa vutswari,,,,,,
dsac_ns_4to6_01680,parental care,,,ouersorg,,,vhulondoli ha vhabebi,,,,nhlayiso wa vutswari,,,,,,
dsac_ns_4to6_01681,parent plant,,,moederplant,,,tshimelatshirangi,tshimela mme,,,ximilana-xidzi,,,,,,
dsac_ns_4to6_01682,particle,,,deeltjie,,,tshilavhi,,,,xiphemunyana,,,,,,
dsac_ns_4to6_01683,paste n.,,,gom,,,bwindi,gwindi,,,xidamarheto,xinamarheto,xikhomaniso,xinamaketo,,,
dsac_ns_4to6_01684,paste v.,,,plak,,,-nambatedza,,,,damarheta,namarheta,namaketa,,,,
dsac_ns_4to6_01685,pattern,,,patroon,,,phetheni,,,,pheteni,,,,,,
dsac_ns_4to6_01686,patterned adj. {e.g. animal skin},,,bont,,,-tsha phetheni,,,,xa mavala,,,,,,
dsac_ns_4to6_01687,paw,,,poot,,,shimba,,,,rhuva,,,,,,
dsac_ns_4to6_01688,peach,,,perske,,,beregisi,,,,perekisi,pencisi,,,,,
dsac_ns_4to6_01689,peach blossom,,,perskebloeisel,,,dzuvha ḽa beregisi,,,,xiluva xa muperekisi,xiluva xa mupencisi,,,,,
