id,eng__001,eng__002,eng__003,afr__001,afr__002,afr__003,ven__001,ven__002,ven__003,ven__004,tso__001,tso__002,tso__003,tso__004,tso__005,tso__006,tso__007
dsac_ns_4to6_00001,abdomen,,,abdomen,,,thumbuthumbu,,,,khwiri,,,,,,
dsac_ns_4to6_00002,absorb,,,absorbeer,,,tzwonzwa,nwa,,,tswonga,,,,,,
dsac_ns_4to6_00003,absorption n.,,,absorbering,absorpsie,,mutzwonzwo,munwelo,,,ntswongo,,,,,,
dsac_ns_4to6_00004,acacia,,,akasia,,,muunga,,,,nkonde,munga,muluwa,,,,
dsac_ns_4to6_00005,access n. {computers},,,toegang,,,tswikelo,,,,mpfumelelo,mfanelo,ku nghena,mfikelelo,,,
dsac_ns_4to6_00006,access v.,,,toegang verkry,,,-swikela,,,,pfumelela,nghena,fikelela,,,,
dsac_ns_4to6_00007,accumulate,,,ophoop,akkumuleer,,kuvhanganya,kuvhangana,engedza,khokha,hlengeleta,,,,,,
dsac_ns_4to6_00008,accumulator {battery},,,akkumulator,opgaarbattery,,tshikuvhanganyi,,,,xihlengeleta-gezi,xihlayisa-gezi,,,,,
dsac_ns_4to6_00009,accumulator {computer},,,akkumulator,,,akhumuḽeitha,,,,rhijisitara-xikhomphyuta,rhijisitara-xikhomphyutara,,,,,
dsac_ns_4to6_00010,accurate,,,akkuraat,noukeurig,,kwakwakwa,-one,,,khaqa!,xonaxona,kwatsa!,,,,
dsac_ns_4to6_00011,acid n.,,,suur,,,esidi,,,,rimunywana,asidi,esidi,,,,
dsac_ns_4to6_00012,acid rain,,,suurreën,,,mvula ya esidi,,,,mpfula asidi,mpfula rimunywana,mpfula esidi,,,,
dsac_ns_4to6_00013,acrylic paint,,,akrielverf,,,pennde ya akhreḽiki,,,,pende-mati,,,,,,
dsac_ns_4to6_00014,acrylic resin,,,akrielhars,,,ṋonzhe ya akhreḽiki,,,,xivumba-pulasitiki,,,,,,
dsac_ns_4to6_00015,additive,,,bymiddel,,,tshiengedzwa,,,,xiengetelo,xinyunyetelo,,,,,
dsac_ns_4to6_00016,adhesive,,,kleefmiddel,,,tshinambatedzi,,,,xidamarheti,xinamarheti,xinamaketi,,,,
dsac_ns_4to6_00017,adventitious root,fibrous root,bushy root,bywortel,,,mudzivudzi,,,,rimitsu-navalala,,,,,,
dsac_ns_4to6_00018,aeroplane,,,vliegtuig,,,ṱharabuḽei,bufho,,,xihaha-mpfhuka,,,,,,
dsac_ns_4to6_00019,agent {e.g. chemical},,,agens,,,tshishandukisi,,,,xivangi,xihundzuri,,,,,
dsac_ns_4to6_00020,agricultural product,,,landbouproduk,,,tshibveledzwa tsha vhulimi,,,,xirin’wa,xikumiwa xa vufuwi,xifun’wa,,,,
dsac_ns_4to6_00021,agriculture,,,landbou,,,vhulimi,,,,vurimi,,,,,,
dsac_ns_4to6_00022,air,,,lug,,,muya,mufhe,,,moya,,,,,,
dsac_ns_4to6_00023,air bubble n.,bubble,,blasie,lugblasie,,bulo,,,,ximbyarumbyaru,,,,,,
dsac_ns_4to6_00024,air-conditioning,,,lugversorging,,,ndango ya muya,,,,xilawula-mahiselo,,,,,,
dsac_ns_4to6_00025,aircraft,,,lugvaartuig,,,bufho,,,,xihahampfhuka,,,,,,
dsac_ns_4to6_00026,air current,,,lugstroom,,,lutsinga lwa muya,,,,moya-nkhuluko,,,,,,
dsac_ns_4to6_00027,air-cushion,,,lugkussing,,,khushini ya muya,tshisiamelo tsha muya,,,xikhigelo-moya,xiseketelo-moya,xinkwamana-moya,,,,
dsac_ns_4to6_00028,air drill,,,druklugboor,,,vhoro ya muya,,,,borho-moya,,,,,,
dsac_ns_4to6_00029,air flow,,,lugstroming,,,nyelelo ya muya,,,,nkhuluko-moya,,,,,,
dsac_ns_4to6_00030,air pollution,,,lugbesoedeling,,,tshikafhadzo ya muya,,,,nthyakiso-moya,,,,,,
dsac_ns_4to6_00031,airport,,,lughawe,,,vhukavhamabufho,vhukavhaṱharabuḽei,,,vuyima-swihahampfhuka,vuhahisela-swihahampfhuka,,,,,
dsac_ns_4to6_00032,air receiver {technology},,,lughouer,,,tshiṱanganedzamuya,,,,xitamela-moya,xiamukela-moya,,,,,
dsac_ns_4to6_00033,air reservoir,,,lugreservoir,,,tshifaramuya,,,,xihlayisa-moya,,,,,,
dsac_ns_4to6_00034,airtight adj.,,,lugdig,,,-valaho muya,,,,xo alela moya,xo tsimba moya,xo fundza moya,,,,
dsac_ns_4to6_00035,albatross,,,albatros,,,aḽibetrosi,,,,alibatirosi,,,,,,
dsac_ns_4to6_00036,alcohol,,,alkohol,,,aḽikhohoḽi,,,,xihoko,,,,,,
dsac_ns_4to6_00037,alcoholic drink,,,alkoholiese drank,,,tshikambi,,,,xinwiwa xa xihoko,,,,,,
dsac_ns_4to6_00038,alkali,,,alkali,,,alkaḽi,,,,kalaka,,,,,,
dsac_ns_4to6_00039,alkaline adj.,,,alkalies,,,-alkaḽaini,,,,xa kalaka,,,,,,
dsac_ns_4to6_00040,alligator,,,alligator,kaaiman,,ngweṋa,aḽigeitha,,,aligetara,,,,,,
dsac_ns_4to6_00041,alloy,,,allooi,legering,,aḽoyi,,,,aloyi,,,,,,
dsac_ns_4to6_00042,aloe,,,aalwyn,,,tshikhopha,bindamutshe,,,mhangana,,,,,,
dsac_ns_4to6_00043,aloe flower,,,aalwynblom,,,dzuvha ḽa tshikhopha,dzuvha ḽa bindamutshe,,,xiluva xa mhangana,,,,,,
dsac_ns_4to6_00044,alternating current {electricity},,,wisselstroom,,,lutsingaṱhanḓukanyi,lutsingatsielisani,,,nkhuluko-cincacinco {wa gezi},,,,,,
dsac_ns_4to6_00045,altitude,,,hoogte,,,vhunṱha,,,,vutlakuki,,,,,,
dsac_ns_4to6_00046,aluminium,Al,,aluminium,Al,,aḽuminiamu,,,,aluminiyamu,alamini,,,,,
dsac_ns_4to6_00047,ammeter {electricity},amperemeter,,ammeter,ampèremeter,,amitha,,,,xipima-nkhuluko {wa gezi},,,,,,
dsac_ns_4to6_00048,ammonia,,,ammoniak,,,amonia,,,,amoniya,,,,,,
dsac_ns_4to6_00049,ammonium chloride,,,ammoniumchloried,,,kuḽoraidi ya amonia,,,,tlilorayidi-moniya,,,,,,
dsac_ns_4to6_00050,ammonium nitrate,,,ammoniumnitraat,,,naiṱreithi ya amonia,,,,nayitireyiti-moniya,,,,,,
dsac_ns_4to6_00051,amp,ampere {electricity},,ampère,,,empere,,,,empe,,,,,,
dsac_ns_4to6_00052,amphibian,,,amfibie,,,tshitshilahuvhili,amfibia,,,xihanya-matini ni le handle,amfibiya,,,,,
dsac_ns_4to6_00053,amplifier,,,versterker,,,khudzamubvumo,,,,xikurisa-mpfumawulo,ximbvungunyisi,amburufaya,,,,
dsac_ns_4to6_00054,anaemia,,,bloedarmoede,anemie,,ṱhahelelo ya malofha,anemia,,,vukalangati,anemiya,,,,,
dsac_ns_4to6_00055,anatomy,,,anatomie,,,anathomi,ngudamuvhili,,,ntivo-swirho,anathomi,,,,,
dsac_ns_4to6_00056,anchor n. {shipping},,,anker,,,thikho,tshiimisi,,,nkuleko,nkhungo,nsoma,,,,
dsac_ns_4to6_00057,anchor v.,,,anker gooi,,,ima,-imisa,,,kuleka,boha,khunga,,,,
dsac_ns_4to6_00058,angle n.,,,hoek,,,engele,khuḓa,,,yinhla,engele,nhlohlwe,khona,,,
dsac_ns_4to6_00059,anhydrous adj.,,,anhidries,,,-omaho,,,,xo kala mati,xo hava mati,xo pfumala mati,,,,
dsac_ns_4to6_00060,animal,,,dier,,,phukha,,,,xiharhi,,,,,,
dsac_ns_4to6_00061,animal manure,,,mis,,,mupfudze wa phukha,,,,quva,,,,,,
dsac_ns_4to6_00062,animal skin,,,huid,vel,,mukumba,,,,dzovo,xikhumba,,,,,
dsac_ns_4to6_00063,annual plant,,,eenjarige plant,,,tshimela tsha ṅwaha,,,,ximila-nguvayin’we,,,,,,
dsac_ns_4to6_00064,anode,,,anode,,,anoudu,,,,anodi,,,,,,
dsac_ns_4to6_00065,ant,,,mier,,,lusunzi,sunzi,,,risokoti,nsokoti,vusosa,vusokoti,,,
dsac_ns_4to6_00066,antelope,buck,,wildsbok,,,mbavhala,,,,mhala,,,,,,
dsac_ns_4to6_00067,antenna,,,antenne,voeler,,tshiphuphuledzi,,,,xiambamberi,xitwi,xitembi,,,,
dsac_ns_4to6_00068,antenna{of radio},aerial,,antenne,lugdraad,,tshiphuphuledzi,,,,xiambamberi,xitwi,xitembi,,,,
dsac_ns_4to6_00069,anther,,,helmknop,anter,,vudzivula,,,,mfuku-rivandza,,,,,,
dsac_ns_4to6_00070,ants’ nest,,,miernes,,,tshiṱaha tsha masunzi,,,,xisaka xa vusokoti,,,,,,
dsac_ns_4to6_00071,apparatus,,,apparaat,,,tshishumiswa,,,,switirhisiwa,,,,,,
dsac_ns_4to6_00072,apple,,,appel,,,apuḽa,,,,apula,,,,,,
dsac_ns_4to6_00073,appliance,,,toestel,,,tshishumiswa,,,,xitirhiso,xitirhisiwa,,,,,
dsac_ns_4to6_00074,apricot,,,appelkoos,,,apuḽikoso,,,,apirikoti,,,,,,
dsac_ns_4to6_00075,aquarium,,,akwarium,,,akhwariamu,,,,vuhlayisela-swihanyamatini,akhwariyamu,,,,,
dsac_ns_4to6_00076,arachnid,,,spinagtige,,,aratshinidi,,,,ndyangu wa switsotswana,ndyangu wa swilumi,,,,,
dsac_ns_4to6_00077,arch n.,,,boog,,,-akha,,,,rikhotso,xigovo,xivurha,,,,
dsac_ns_4to6_00078,arch v.,,,buig,,,-ita akha,,,,gova,petsa,khotsa,,,,
dsac_ns_4to6_00079,arch bridge,,,boogbrug,,,buroho ya akha,,,,buloho-xivurha,,,,,,
dsac_ns_4to6_00080,architect,,,argitek,,,muatshithekithi,muoli wa pulane ya nnḓu,,,mupulana miako,,,,,,
dsac_ns_4to6_00081,area,,,oppervlakte,,,nyalo,,,,vuandlalo,byandlalo,xivandla,ndhawu,,,
dsac_ns_4to6_00082,argon,,,argon,,,agoni,,,,arigoni,,,,,,
dsac_ns_4to6_00083,arrow,,,pyl,,,musevhe,,,,nseve,,,,,,
dsac_ns_4to6_00084,arthropod,,,geleidpotige,,,athyiropoda,,,,xikala-longo,,,,,,
dsac_ns_4to6_00085,artificial,,,kunsmatig,,,tshiedza,,,,swo tumbuluxiwa hi vanhu,swo endliwa hi vanhu,,,,,
dsac_ns_4to6_00086,artificial fertiliser,,,kunsmis,,,manyoroedza,,,,manyoro,,,,,,
dsac_ns_4to6_00087,artificial magnet,,,kunsmagneet,,,maginetheedza,,,,maginete yo endliwa,,,,,,
dsac_ns_4to6_00088,artificial product,,,nagemaakte produk,kunsmatige produk,,tshibveledzwaedza,,,,xo endliwa hi munhu,,,,,,
dsac_ns_4to6_00089,asbestos,asb,,asbes,,,asbesitosi,ḽihevudzi,,,asibesitosi,marilarila,,,,,
dsac_ns_4to6_00090,ascorbic acid,vitamin C,,askorbiensuur,,,askobiki,esidi ya askobiki,,,vhitamini ya C,asidi ya asikobiki,esidi ya asikobiki,,,,
dsac_ns_4to6_00091,asexual reproduction,,,aseksuele voortplanting,,,mbebo hu si na vhudzekani,,,,andziso-nkalanhlangano,,,,,,
dsac_ns_4to6_00092,astronaut,,,ruimtevaarder,,,muendatshikhalani,,,,muhandzula-mpfhuka,mudavula-mpfhuka,,,,,
dsac_ns_4to6_00093,atmosphere,,,atmosfeer,lugruim,,dzingamufhe,,,,moya-khubu,,,,,,
dsac_ns_4to6_00094,atom,,,atoom,,,athomu,,,,athomo,,,,,,
dsac_ns_4to6_00095,atomic energy,,,atoomenergie,,,fulufulu ḽa athomu,,,,matimba ya athomo,ntamu wa athomo,,,,,
dsac_ns_4to6_00096,attract v.,,,aantrek,,,-kokodza,,,,koka,,,,,,
dsac_ns_4to6_00097,attraction,,,aantrekking,,,khokhodzo,,,,nkoko,nkokano,,,,,
dsac_ns_4to6_00098,attribute,,,eienskap,,,tshiṱaluli,,,,vubumabumelo,xihlawulekisi,,,,,
dsac_ns_4to6_00099,automatic control,,,outomatiese beheer,,,tshiḓilangi,,,,xitilawuri,,,,,,
dsac_ns_4to6_00100,autotrophic adj.,,,outotroof,,,-ḓiitelaho zwiḽiwa,,,,xo tiendlela swakudya,,,,,,
dsac_ns_4to6_00101,autumn,,,herfs,,,tshifhefho,,,,xixikana,,,,,,
dsac_ns_4to6_00102,average n.,,,gemiddeld,,,tshikati,,,,nhlayo-xikarhi,,,,,,
dsac_ns_4to6_00103,awl,,,els,,,murumbulo,,,,ntlhavo,xibovozi,,,,,
dsac_ns_4to6_00104,axil,,,oksel,,,ekiziḽi,,,,xiphandzi,phandzi,,,,,
dsac_ns_4to6_00105,axis {plants},,,aksis,,,ekizisi,,,,hluke,xihluke,,,,,
dsac_ns_4to6_00106,axis {measurement},,,as,aslyn,,ekizisi,,,,ekizisi,akisisi,,,,,
dsac_ns_4to6_00107,axis {movement},,,spil,as,,mutalokhethanyo,,,,xiseketeri,xiyimisi,phandzi,,,,
dsac_ns_4to6_00108,baboon,,,bobbejaan,,,pfeṋe,,,,mfenhe,,,,,,
dsac_ns_4to6_00109,bacterium,,,bakterie,,,tshisinisi,tshitzhili,,,xivirisi,xiborisi,,,,,
dsac_ns_4to6_00110,bait,,,aas,,,ndodo,tshikungi,,,ndzhongho,xidyerisi,,,,,
dsac_ns_4to6_00111,bakelite,,,bakeliet,,,bekḽaithi,,,,bekilayiti,,,,,,
dsac_ns_4to6_00112,baking powder,,,bakpoeier,,,mbilisa,,,,xikukumuxi,,,,,,
dsac_ns_4to6_00113,balance n. {apparatus},,,massameter,,,tshilinganyisi,,,,xiringanisi,xipimi,,,,,
dsac_ns_4to6_00114,balance n. {equilibrium},,,balans,,,ndinganyiso,,,,ndzingananiso,mpimananiso,,,,,
dsac_ns_4to6_00115,balance v.,,,balanseer,,,-linganyisa,,,,ringananisa,pimananisa,,,,,
dsac_ns_4to6_00116,balloon,,,ballon,,,baḽoni,,,,baloni,,,,,,
dsac_ns_4to6_00117,bandage,,,verband,,,banditshi,,,,bandichi,,,,,,
dsac_ns_4to6_00118,barbed hook,,,weerhaak,,,ngovhe ya mipfa,,,,mutwa wa darata,,,,,,
dsac_ns_4to6_00119,bare patch,,,kaal kol,,,lukangala,,,,ripala,rivala,rikwandzasi,mpandlha,,,
dsac_ns_4to6_00120,bare wire,,,kaal draad,,,ḓaraṱa tshayaphutheli,,,,darata ya gezi,,,,,,
dsac_ns_4to6_00121,bark n.,,,boombas,,,gwati,,,,rihanti,,,,,,
dsac_ns_4to6_00122,bar magnet,,,staafmagneet,,,magnethe wa baa,,,,maginete ya bara,,,,,,
dsac_ns_4to6_00123,barn,,,skuur,,,gushete,,,,dulu,xivala,xitlati,nturuka,tshanga,,
dsac_ns_4to6_00124,barn owl,,,kerkuil,,,tshikhwitha,gwitha,,,xikhovha,nkuhunu,mankhudu,,,,
dsac_ns_4to6_00125,base,,,basis,,,beisi,,,,xidzungisi,kalaka,,,,,
dsac_ns_4to6_00126,battery,,,battery,,,beṱiri,,,,betiri,,,,,,
dsac_ns_4to6_00127,battery holder,battery box,,batterykas,,,tshifarabeṱiri,,,,bokisi ra betiri,xikhoma-betiri,,,,,
dsac_ns_4to6_00128,beach,,,strand,,,bitshi,,,,ribuwu ra lwandle,rigiyagiya ra lwandle,,,,,
dsac_ns_4to6_00129,beady eye,,,kraalogie,,,ḽiṱo ḽiṱuku ḽi penyaho,,,,xitihlwana,,,,,,
dsac_ns_4to6_00130,beak,,,bek,,,mulomo wa tshiṋoni,,,,nomo wa xinyenyana,nomo wa huku,xijovoti,xijovoloti,,,
dsac_ns_4to6_00131,beaker,,,beker,,,bikha,,,,xinghilazana,,,,,,
dsac_ns_4to6_00132,beam n.,,,straal,,,bimu,matalazaza,masana,,minseve {ya dyambu},,,,,,
dsac_ns_4to6_00133,bean,,,boon,,,ṋawa,,,,nyawa,,,,,,
dsac_ns_4to6_00134,beard {tuft of hairs},,,baard,,,malebvudzi,,,,vululwani,vululwanyi,,,,,
dsac_ns_4to6_00135,beard {hair growing on skin},,,baard,,,ndebvu,,,,malebvu,malepfu,,,,,
dsac_ns_4to6_00136,bee,,,by,,,ṋotshi,,,,nyoxi,,,,,,
dsac_ns_4to6_00137,beech,,,boekenhout,beukehout,,mubitshi,,,,mubichi,,,,,,
dsac_ns_4to6_00138,beehive,,,byekorf,,,pfuwa,ṱhango,,,baku ra tinyoxi,ntsoko wa tinyoxi,,,,,
dsac_ns_4to6_00139,bell-jar,,,klokglas,,,beldzhaa,,,,xijarana,bodhlela,,,,,
dsac_ns_4to6_00140,belly button,navel,,naeltjie,,,ṋdzayo,,,,xivumbu,,,,,,
dsac_ns_4to6_00141,belt,,,band,,,bannda,,,,bandi,nkhamu,,,,,
dsac_ns_4to6_00142,bench,,,werkbank,bank,,bannga,,,,bence,benci,,,,,
dsac_ns_4to6_00143,bench hook,,,bankhaak,,,tsahela,,,,xisahelo,xisahelwana,,,,,
dsac_ns_4to6_00144,bend v.,,,buig,,,-khotha,,,,petsa,gova,khotsa,,,,
dsac_ns_4to6_00145,bent adj.,,,gebuig,,,-kombamaho,,,,xo khotseka,xo goveka,xo petseka,,,,
dsac_ns_4to6_00146,benzine,,,bensien,,,bennzina,,,,benzini,,,,,,
dsac_ns_4to6_00147,beta carotene,,,betakaroteen,,,kharothina ya betha,,,,karotini ya bita,,,,,,
dsac_ns_4to6_00148,bicarbonate of soda,,,koeksoda,natriumbikarbonaat,,soda ya u bika,,,,khukhusoda,,,,,,
dsac_ns_4to6_00149,bicycle,,,fiets,,,lukanyakanya,baisigira,,,xikanyakanya,bayisikiri,,,,,
dsac_ns_4to6_00150,bilharzia,,,bilharzia,,,muṱamboṱambo,tshifunga,,,ndzhundzhwana,muthundanghazi,bilihaziya,,,,
dsac_ns_4to6_00151,bind v.,,,bind,,,-ṱanganya,,,,khomanisa,,,,,,
dsac_ns_4to6_00152,binoculars,,,verkyker,,,maforokiki,,,,bayinokhula,xivonakule,,,,,
dsac_ns_4to6_00153,biodegradable adj.,,,bioafbreekbaar,,,-tshisiniseaho,,,,xa swibolwa,,,,,,
dsac_ns_4to6_00154,bird,,,voël,,,tshiṋoni,,,,xinyenyana,nyenyana,,,,,
dsac_ns_4to6_00155,birdbath,,,voëlbad,,,tshiṱambelazwiṋoni,ṱhambelazwiṋoni,,,xihlambela-swinyenyana,,,,,,
dsac_ns_4to6_00156,bird of prey,,,roofvoël,,,tshiṋoni tshidyaṋama,,,,nyenyana yo dya nyama,nyenyana yo hlota,xinyenyana xo dya nyama,xinyenyana xo hlota,,,
dsac_ns_4to6_00157,birth,,,geboorte,,,mbebo,,,,ku tumbuluka,ku tswariwa,ku velekiwa,,,,
dsac_ns_4to6_00158,birth weight,,,geboortegewig,,,tshilemetshambebo,,,,ntiko wo velekiwa,,,,,,
dsac_ns_4to6_00159,bitch,,,teef,,,mmbwa ya tsadzi,,,,nkati,,,,,,
dsac_ns_4to6_00160,black,,,swart,,,-tswu,,,,ntima,,,,,,
dsac_ns_4to6_00161,blackjack,,,knapsekêrel,,,mushidzhi,,,,muxiji,,,,,,
dsac_ns_4to6_00162,black oystercatcher,,,swart oestervanger,,,ḽiṋulakhovhe,,,,nyenyana yo dya swihumbana,xinyenyana xo dya swihumbana,,,,,
dsac_ns_4to6_00163,blacksmith,,,grofsmid,ystersmid,,mufulatsimbi,,,,mufuri,,,,,,
dsac_ns_4to6_00164,blade {fixed structure},,,blad,,,bande,baphathi,buḽeidi,,ripapa,,,,,,
dsac_ns_4to6_00165,blade {leaf},,,blaar,,,baphathi,,,,kamba,tluka,khamba,,,,
dsac_ns_4to6_00166,blade {cutting tool},,,lem,,,vhuhalini,,,,rikari,xisinghwani,xikaringana,xirhezana,,,
dsac_ns_4to6_00167,blanket,,,kombers,,,nguvho,,,,nkumba,xuka,vholo,,,,
dsac_ns_4to6_00168,bleach,bleaching agent,,bleikmiddel,,,tshihalulusi,,,,xibasisi,xitengisi,,,,,
dsac_ns_4to6_00169,block,,,takelblok,blokstelsel,,buḽoko,,,,xipima-ntikelo,phuli,,,,,
dsac_ns_4to6_00170,block graph,,,blokgrafiek,,,girafu ya zwidanga,,,,girafu ya tibuloko,,,,,,
dsac_ns_4to6_00171,blood,,,bloed,,,malofha,,,,ngati,,,,,,
dsac_ns_4to6_00172,blood cell,,,bloedsel,,,sele ya malofha,,,,sele ya ngati,xiphemuntsongo xa ngati,,,,,
dsac_ns_4to6_00173,blood flow,,,bloedvloei,,,muelelo wa malofha,,,,makhulukelo ya ngati,,,,,,
dsac_ns_4to6_00174,bloodstream,,,bloedstroom,,,lutsinga lwa malofha,,,,nkhuluko wa ngati,vukhuluki bya ngati,,,,,
dsac_ns_4to6_00175,blood vessel,,,bloedvat,,,lutsinga,,,,nsiha wa ngati,,,,,,
dsac_ns_4to6_00176,bloom n.,,,blom,,,dzuvha,,,,mbhaleko,nhluko,hluke,,,,
dsac_ns_4to6_00177,bloom v.,,,blom,bloei,,-fhufhuma,,,,buloma,baleka,hluka,,,,
dsac_ns_4to6_00178,blossom n.,,,bloeisel,,,phuphumo,,,,mbhaleko,ndzhumbuko,xirhumbuko,,,,
dsac_ns_4to6_00179,blossom v.,,,bloei,,,-fhufhuma,,,,rhumbuka,baleka,,,,,
dsac_ns_4to6_00180,blotting paper,,,kladpapier,,,bammbiritswonzwa,bammbiri ḽa u tzwonzwa,,,phepha ro tswonga,xitswongi,,,,,
dsac_ns_4to6_00181,blow v.,,,waai,,,-vhudzula,,,,hunga,huhutela,fufutela,,,,
dsac_ns_4to6_00182,blow off,,,wegwaai,,,-wisa,,,,dzudzeka,hungeka,,,,,
dsac_ns_4to6_00183,blubber,,,walvisspek,,,mapfura a khovhe,,,,mafurha ya nkavangaheti,,,,,,
dsac_ns_4to6_00184,blue,,,blou,,,muvhala wa lutombo,muvhala wa denga,,,wasi,,,,,,
dsac_ns_4to6_00185,blue-black,,,blouswart,,,lutombodombelela,,,,wasidzwii,,,,,,
dsac_ns_4to6_00186,blue wildebeest,,,blouwildebees,,,khongoni,,,,hongonyi,,,,,,
dsac_ns_4to6_00187,blunt nail,,,stomp nael,,,lwala lwo gomalaho,,,,nwala wo bvinyeka,n’wala yo bvinyeka,,,,,
dsac_ns_4to6_00188,boat,,,boot,,,gungwa,,,,byatso,xikwekwetsu,,,,,
dsac_ns_4to6_00189,body,,,liggaam,,,muvhili,,,,miri,muzimba,,,,,
dsac_ns_4to6_00190,body shape,,,liggaamsvorm,,,mbonalo ya muvhili,tshivhumbeo tsha muvhili,,,xivumbeko xa miri,,,,,,
dsac_ns_4to6_00191,body temperature,,,liggaamstemperatuur,,,thempharetsha ya muvhili,,,,mahiselo ya miri,,,,,,
dsac_ns_4to6_00192,boil,,,kook,,,vhilisa,,,,vila,pupuma,huhuma,,,,
dsac_ns_4to6_00193,boiled water,,,gekookte water,,,maḓi o vhiliswaho,,,,mati yo virisiwa,,,,,,
dsac_ns_4to6_00194,boiling water,,,kokende water,,,maḓi a vhilaho,,,,mati yo vila,mati yo kaluma,,,,,
dsac_ns_4to6_00195,borehole,,,boorgat,,,dindi ḽa maḓi ḽo vhoriwaho,bidzi,,,pitsi,xibababa,borho,,,,
dsac_ns_4to6_00196,botanist,,,botanis,,,mugudazwimela,,,,mutiva-swimila,mutokota-swimila,,,,,
dsac_ns_4to6_00197,bottle,,,bottel,,,boḓelo,,,,bodhlela,,,,,,
dsac_ns_4to6_00198,bottle bank,,,bottelbank,,,vhuvhulungamaboḓelo,,,,xitlati xa mabodhlela,dulu ra mabodhlela,,,,,
dsac_ns_4to6_00199,bottom,,,onderkant,,,tshiraho,,,,tshaku,,,,,,
dsac_ns_4to6_00200,bottom layer,,,onderste laag,,,luvhemba lwa nga fhasi,,,,byandlalo-tshakwini,,,,,,
dsac_ns_4to6_00201,bow,,,boog,,,vhura,,,,vurha,,,,,,
dsac_ns_4to6_00202,bowl,,,bak,,,baweḽe,sambelo,mudzio,,nkambana,ndhichi,borota,,,,
dsac_ns_4to6_00203,brace,,,spanstuk,,,tshiṱumi,,,,ngoti,xikhomaniso,ntambhu,,,,
dsac_ns_4to6_00204,brackish adj.,,,brak,,,-dungaho,,,,xa rimunyu,,,,,,
dsac_ns_4to6_00205,brackish water,,,brakwater,,,maḓi a dungaho,,,,mati ya rimunyu,mati yo dzunga,mati yo dzungela,,,,
dsac_ns_4to6_00206,bract,,,dekblaar,,,kuṱari,burakithi,,,tluka ra xiluva,,,,,,
dsac_ns_4to6_00207,brad,,,kleinkopspyker,,,tshibigiri,,,,xipikiri,,,,,,
dsac_ns_4to6_00208,bradawl,,,spykerels,,,murumbulo,,,,ntlhavu,risungunu,,,,,
dsac_ns_4to6_00209,brake {vehicle},,,rem,,,biriki,,,,xiyimisi,biriki,,,,,
dsac_ns_4to6_00210,bran,,,semels,,,mufumbu,,,,makapa,vudyangwana,,,,,
dsac_ns_4to6_00211,branch n.,,,tak,,,davhi,,,,rhavi,gaji,,,,,
dsac_ns_4to6_00212,branch v.,,,vertak,,,-khethekana,-fhandekana,,,phatluka,avana,,,,,
dsac_ns_4to6_00213,branch vein,,,sytak,,,ḓadzwana,ḓadzwane,,,xirhabyana,xindzhabyana,,,,,
dsac_ns_4to6_00214,brand name,,,handelsnaam,,,dzinaḽithusi,,,,vito ra ximakiwa,mfungho wa ximakiwa,,,,,
dsac_ns_4to6_00215,brass,,,geelkoper,,,brasi,,,,burasi,,,,,,
dsac_ns_4to6_00216,bread,,,brood,,,vhurotho,tshinkwa,,,xinkwa,pawa,mbhunyana,,,,
dsac_ns_4to6_00217,breadth,,,breedte,,,vhuphara,,,,vuanami,,,,,,
dsac_ns_4to6_00218,break v.,,,breek,,,-vunḓa,-kwasha,,,tshova,faya,phatlula,,,,
dsac_ns_4to6_00219,breaker,,,brander,,,ḽigabelo,,,,gandlati,,,,,,
dsac_ns_4to6_00220,bream {fish},,,kurper,,,kapa,,,,nhlampfi-pyatlalala,,,,,,
dsac_ns_4to6_00221,breath n.,,,asem,,,mufemo,,,,moya,hefemulo,,,,,
dsac_ns_4to6_00222,breathe v.,,,asemhaal,,,-fema,,,,hefemula,,,,,,
dsac_ns_4to6_00223,breathing,,,asemhaling,,,u fema,,,,ku hefemula,,,,,,
dsac_ns_4to6_00224,breed v.,,,teel,,,-hwela,-bebisa,,,tswala,tswalelana,hlanta,tumbuluxa,b’eka,,
dsac_ns_4to6_00225,breeding,,,teelt,teling,,u hwedza,u bebisa,,,matswalelo,ntswalelano,maandziselo,,,,
dsac_ns_4to6_00226,brick,,,baksteen,,,tshidina,,,,xitina,,,,,,
dsac_ns_4to6_00227,bricklayer,,,messelaar,,,mufhaṱi,,,,meselani,muaki,,,,,
dsac_ns_4to6_00228,bridge n.,,,brug,,,buroho,muratho,,,buloho,muracho,vuracho,,,,
dsac_ns_4to6_00229,brittle,,,bros,,,-kwasheaho,,,,xo tshoveka hi ku olova,,,,,,
dsac_ns_4to6_00230,bromothymol blue,,,broomtimol,,,bromothymolbuḽuu,,,,buromotimolo ya wasi,,,,,,
dsac_ns_4to6_00231,brood v.,,,broei,,,-alamela,,,,fukamela,byamela,,,,,
dsac_ns_4to6_00232,broody,,,broeis,,,alamelaho,nyalamelo,,,vufukameri,vubyameri,,,,,
dsac_ns_4to6_00233,brown rat,,,bruinrot,,,buku,,,,xihuluri,,,,,,
dsac_ns_4to6_00234,brush,,,kwas,,,bulatsho,,,,burachi,,,,,,
dsac_ns_4to6_00235,brush,,,kreupelhout,,,zwiṱaka,,,,xikhwatana,xigungwana,xijanana,majana,,,
dsac_ns_4to6_00236,bucket,,,emmer,,,bakete,,,,bakiti,bakete,,,,,
