id,eng__001,eng__002,eng__003,eng__004,eng__005,eng__006,eng__007,eng__008,Sesotho__-,Setswana__-,Syonym__-,Tshivenda__-,afr__001,afr__002,afr__003,afr__004,afr__005,afr__006,nde__001,nde__002,nde__003,nde__004,nso__001,nso__002,nso__003,nso__004,nso__005,nso__006,nso__007,nso__008,sot__-,sot__001,sot__002,sot__003,sot__004,sot__005,sot__006,sot__007,ssw__001,ssw__002,ssw__003,ssw__004,ssw__005,tsn__001,tsn__002,tsn__003,tsn__004,tsn__005,tsn__006,tso__001,tso__002,tso__003,tso__004,tso__005,tso__006,tso__007,ven__001,ven__002,ven__003,ven__004,ven__005,ven__006,ven__007,ven__008,ven__009,xho__001,xho__002,xho__003,xho__004,xho__005,xho__006,xho__007,xho__008,zul__001,zul__002,zul__003,zul__004,zul__005
dsac_lif_00015,adolescence,,,,,,,,,,,,adolessensie,,,,,,ubutlawu,ubuja,,,botšwa mahlalagading,,,,,,,,,ho tswa phakweng,,,,,,,kutfomba,,,,,bosima,,,,,,nkarhi wa xijaha,nkarhi wa xinhwana,,,,,,vhuṱhannga,vhukomba,,,,,,,,ukufikisa,,,,,,,,ububhungu,ubutshitshi,ubuqhumamponjwana,,
dsac_lif_00016,adult,,,,,,,,,,,,volwassene,,,,,,umuntu omkhulu,,,,mogolo,,,,,,,,,moholo,,,,,,,umuntfu lomdzala,,,,,mogolo,,,,,,lonkulu,,,,,,,mualuwa,,,,,,,,,umntu omdala,,,,,,,,umuntu omdala,umdala,,,
dsac_lif_00017,adulthood,,,,,,,,,,,,volwassenheid,,,,,,ubukhulu,,,,bogolo,,,,,,,,,boholo,,,,,,,budzala,,,,,bogolo,,,,,,vukulu,,,,,,,vhualuwa,,,,,,,,,ubudala,,,,,,,,ubudala,,,,
dsac_lif_00018,adventure,,,,,,,,,,,,avontuur,ondervinding,belewenis,,,,igabazo,isenzo esiyingozi,,,bolekadigale,,,,,,,,,ho lekaleka,,,,,,,kutimbandzakanya esigigabeni lesingaba yingoti,kwenta intfo longakaze uyente,kutimbandzakanya esigigabeni lesingaba yingoti,,,tekelelo,,,,,,rivonavona,,,,,,,vhuḓifungi,,,,,,,,,udelo-ngozi,imfuna-mava,,,,,,,umdlalo onobungozi,,,,
dsac_lif_00019,advertise,,,,,,,,,,,,adverteer,reklame maak,,,,,-khangisa,-bukisa,-qalisa,,-kwalakwatša,,,,,,,,,-bapatsa,,,,,,,khangisa,,,,,phasalatša,bapatsa,,,,,navetisa,,,,,,,kungedzela,,,,,,,,,-azisa,bhengeza,papasha,,,,,,ukukhangisa,,,,
dsac_lif_00020,advice,,,,,,,,,,,,raad,advies,,,,,iseluleko,isiyeleliso,isilemukiso,,keletšo,,,,,,,,,keletso,,,,,,,seluleko,,,,,kgakololo,,,,,,xitsundzuxo,xilemukiso,,,,,,ngeletshedzo,,,,,,,,,icebiso,icebo,ingcebiso,,,,,,iseluleko,,,,
dsac_lif_00021,affect,,,,,,,,,,,,raak,affekteer,inwerk op,,,,-thinta,-qaphazela,,,-huetša,,,,,,,,,-ama,,,,,,,tsintsa,,,,,tlhotlheletsa,ama,,,,,vangela,kucetela,,,,,,kwama,,,,,,,,,chaphazela,phembelela,,,,,,,ukuthinta,,,,
dsac_lif_00022,African,,,,,,,,,,,,Afrikaan,,,,,,umuNtu,Um-Afrika,,,MoAfrika,,,,,,,,,moAfrika,,,,,,,Umafrika,,,,,Moaforika,,,,,,Muafrika,,,,,,,Muafrika,,,,,,,,,umAfrika,,,,,,,,um-Afrika,,,,
dsac_lif_00023,age,,,,,,,,,,,,ouderdom,leeftyd,,,,,ubudala,ubukhulu ngeminyaka,,,mengwaga,,,,,,,,,dilemo,,,,,,,iminyaka,budzala,,,,dingwaga,bogolo,,,,,vukhale,,,,,,,vhukale,miṅwaha,,,,,,,,ubudala,,,,,,,,ubudala,,,,
dsac_lif_00024,aggression,,,,,,,,,,,,aggressie,,,,,,ipehla,inturhu,,,boromolani,,,,,,,,,dikgoka,,,,,,,budlova,buhonga,,,,kgakalo,,,,,,mbholovo,,,,,,,u sinyuwa,,,,,,,,,udlakathiso,ugonyamelo,ubudlova,ubundlongodlongo,,,,,ubudlova,,,,
dsac_lif_00025,agricultural revolution,,,,,,,,,,,,landbourevolusie,landbourewolusie,,,,,itjhuguluko kezokulima nokufuya,,,,phetogokgolotemong,,,,,,,,,diphetoho bohwaing,diphetoho temong,,,,,,ingucuko kutekulima,,,,,diphetogotemo,,,,,,ncinco wa swa vurimi,ncinco wa swa vufuwi,,,,,,tshanduko kha zwa vhulimivhufuwi,,,,,,,,,inguqu kwezolimo,,,,,,,,izinguquko kwezolimo,,,,
dsac_lif_00026,aim <v.>,,,,,,,,,,,,mik,,,,,,-korola,-nqophisa,,,-nepa,,,,,,,,,-korola,-tobisa,,,,,,cipha,kala,hlosa,,,korola,,,,,,pakanisa,korola,kongomisa,,,,,korola,livhisa,,,,,,,,jolisa,,,,,,,,ukukala,,,,
dsac_lif_00027,alcoholic <n.>,,,,,,,,,,,,alkoholis,,,,,,isirhurhulelitjwala,ikghoba lotjwala,,,letagwa,,,,,,,,,lehlena,,,,,,,sidzakwa,,,,,letagwa,,,,,,xidakwa,,,,,,,tshidakwa,,,,,,,,,inxila,indlamanzi,ikhoboka lotywala,,,,,,indlamanzi,ijikankezo,isidakwa,,
dsac_lif_00028,Alcoholics Anonymous,AA,,,,,,,,,,,Alkoholiste Anoniem,AA,,,,,iHlangano eLumulisa abaPhila ngoTjwala,iHlangano yabaSebenzisa iinDaki,i-AA,,Mokgatlo wa Keletšo ka Dinotagi,,,,,,,,,Mokgatlo wa Twantsho ya Bokgoba ba Tahi,AA,,,,,,Inhlangano Lesita Labagcilatwa Tjwala,I-AA,,,,Mokgatlhotwantshotagi,,,,,,Nhlangano wo Lwisana na Xihoko,,,,,,,Dzangano ḽa u thusa u litsha Zwikambi,AA,,,,,,,,iAlcoholics Anonymous,i-AA,,,,,,,i-Alcoholics Anonymous,i-AA,,,
dsac_lif_00029,alcoholism,,,,,,,,,,,,alkoholisme,,,,,,ubudakwa,,,,tirišompe ya bjala,,,,,,,,,bohlena,,,,,,,budzakwa,,,,,botagwa,,,,,,vudakwa,,,,,,,vhudakwa,,,,,,,,,ubunxila,ubundlamanzi,,,,,,,ubundlamanzi,ubujikankezo,ubudakwa,,
dsac_lif_00030,alert,,,,,,,,,,,,waaksaam,op en wakker,wakker,,,,-yelelako,-tjhejako,,,-lala o laotšwe,-bolala o laotšwe,,,,,,,,-fadimeha,,,,,,,caphela,lemuka,vuka,,,sejaro,,,,,,lemuka,,,,,,,fhaṱuwa,,,,,,,,,-the qwa,vundla,xhobisa,,,,,,ukuqaphela,,,,
dsac_lif_00031,allergy,,,,,,,,,,,,allergie,,,,,,ukwaliwa,i-aleji,,,aletši,,,,,,,,,aleji,,,,,,,kutondvwa,kwaliwa,i-aleji,,,tshwaetso,,,,,,aleji,,,,,,,vhuila,aḽedzhi,,,,,,,,isaliso,ialeji,,,,,,,isihlungu,isaliwo,,,
dsac_lif_00032,altar,,,,,,,,,,,,altaar,,,,,,i-althari,,,,aletare,,,,,,,,,aletare,,,,,,,lilati,i-alithari,,,,aletara,,,,,,gandzelo,altari,,,,,,aḽeṱare,,,,,,,,,isibingelelo,iolthara,,,,,,,i-althari,,,,
dsac_lif_00033,amaNdebele,,,,,,,,,,,,Ndebele,,,,,,amaNdebele,,,,amaNdebele,,,,,,,,,Matebele,,,,,,,Emandebele,,,,,Matebele,,,,,,Mandhevele,,,,,,,Mandevhele,,,,,,,,,amaNdebele,,,,,,,,amaNdebele,,,,
dsac_lif_00034,amaXhosa,,,,,,,,,,,,Xhosa,,,,,,amaXhosa,,,,amaXhosa,,,,,,,,,Maqhotsa,,,,,,,Emachosa,,,,,Mathosa,,,,,,Maqhoza,,,,,,,Mathoza,,,,,,,,,amaXhosa,,,,,,,,amaXhosa,,,,
dsac_lif_00035,ambition,,,,,,,,,,,,ambisie,,,,,,itjisakalo,,,,phišegelo,,,,,,,,,tjheseho,,,,,,,inshisakalo,lilukuluku,,,,keletsokgolo,,,,,,navelo,ntsakelo,,,,,,lutamo,,,,,,,,,ulangazelelo,ibhongo,umnqweno,,,,,,ilukuluku,ukulangazelela,,,
dsac_lif_00036,ambulance,,,,,,,,,,,,ambulans,,,,,,i-ambulesi,,,,ampulentshe,,,,,,,,,ambulense,,,,,,,sitfwalatigulane,i-ambulesi,,,,emelense,,,,,,ambulense,,,,,,,ambulese,ambulentse,,,,,,,,inqwelo yezigulane,iambulensi,,,,,,,isithuthiziguli,i-ambulensi,,,
dsac_lif_00037,Amnesty International,,,,,,,,,,,,Amnestie Internasionaal,,,,,,iHlangano yamaZwengamazwe yokuColelanisa,,,,Tokollo ya Boditšhabatšhaba,Tshwarelo ya Boditšhabatšhaba,,,,,,,,Mokgatlo wa Tshwarelano wa Matjhaba,,,,,,,Inhlangano Yashwele Yemhlabawonkhe,,,,,Boitshwarelo jwa Boditšhaba,Mokgatlhotshwarelo Boditšhaba,,,,,Nhlangano wa Ndzivalelano wa Matiko ya Misava,,,,,,,Dzangano ḽa vhupfumedzani ḽa Dzitshakatshaka,,,,,,,,,iAmnesty International,,,,,,,,i-Amnesty International,,,,
dsac_lif_00038,amuse,,,,,,,,,,,,vermaak,amuseer,,,,,-hlekisa,-kara,,,-segiša,,,,,,,,,-qabola,-tshehisa,,,,,,hlekisa,chaza,kilakita,,,tshegisa,,,,,,hlekisa,n'wayiterisa,,,,,,seisa,ṅwethudza,,,,,,,,hlekisa,-onwabisa,yolisa,,,,,,ukukitaza,,,,
